;GO:0036376;GO:0032692;GO:1904179;GO:0009313;GO:0006682;GO:0042136;GO:1902714;GO:0003333;GO:0009436;GO:0019481;GO:0019482;GO:0071417;GO:0050435;GO:0035435;GO:0042426;GO:0046628;GO:1904064;GO:0065003;GO:0050728;GO:0006212;GO:0006210;GO:1903017;GO:1904985;GO:0046500;GO:1904468;GO:0006579;GO:0007269;GO:0090181;GO:0032715;GO:0006569;GO:0001558;GO:2000649;GO:0034971;GO:0035543;GO:0015711;GO:0051259;GO:0072615;GO:0036112;GO:0045429;GO:0090314;GO:0046477;GO:0022900;GO:0043124;GO:0045944;GO:0008206;GO:0043401;GO:0006544;GO:0032703;GO:0072488;GO:0071398;GO:1990822;GO:0043252;GO:0033477;GO:0035774;GO:0032787;GO:1905695;GO:0034162;GO:0070858;GO:0055089;GO:0008295;GO:0045956;GO:0046135;GO:0071267;GO:0010804;GO:0010248;GO:0050900;GO:0051957;GO:0018003;GO:0015812;GO:0032414;GO:0015811;GO:0015874;GO:2001250;GO:0015872;GO:0006487;GO:0006520;GO:1901787;GO:0045329;GO:0046415;GO:0006367;GO:0006637;GO:0051289;GO:0015747;GO:0035356;GO:0015760;GO:0032088;GO:0034142;GO:0038185;GO:0043312;GO:0042742;GO:0007589;GO:1990573;GO:0097055;GO:0007219;GO:0010628;GO:0051692;GO:0001080;GO:0015879;GO:0015697;GO:2001275;GO:0034255;GO:1905004;GO:0000122;GO:0006855;GO:0019265;GO:0071638;GO:0015721;GO:0016139;GO:1905012;GO:0007043;GO:0006633;GO:0006479;GO:0071222;GO:0043066;GO:0045087;GO:0006749;GO:0006508;GO:0015739;GO:0035725;GO:0033388;GO:0050666
GO:0032715;0.0;0.8571428571428571;0.5714285714285714;0.0;0.0;0.3076923076923077;0.6666666666666666;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.25;0.4;0.375;0.0;0.5333333333333333;0.0;0.0;0.2857142857142857;0.5333333333333333;0.0;0.6666666666666666;0.0;0.125;0.4;1.0;0.0;0.46153846153846156;0.23529411764705882;0.0;0.375;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.5;0.3157894736842105;0.0;0.14285714285714285;0.23529411764705882;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.3333333333333333;0.1;0.47058823529411764;0.26666666666666666;0.0;0.3333333333333333;0.0;0.0;0.5;0.0;0.0;0.375;0.0;0.0;0.375;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.1;0.14285714285714285;0.0;0.0;0.3076923076923077;0.0;0.0;0.14285714285714285;0.42857142857142855;0.0;0.1;0.0;0.0;0.35294117647058826;0.42857142857142855;0.0;0.42105263157894735;0.0;0.21052631578947367;0.8;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.375
GO:0006569;0.0;0.0;0.0;0.5;0.38095238095238093;0.375;0.0;0.0;0.7368421052631579;0.782608695652174;0.7777777777777778;0.25;0.47058823529411764;0.0;0.8421052631578947;0.0;0.0;0.13333333333333333;0.0;0.5;0.5;0.0;0.0;0.375;0.0;0.625;0.21052631578947367;0.0;0.0;1.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.125;0.09523809523809523;0.3333333333333333;0.0;0.0;0.5;0.4;0.0;0.0;0.4444444444444444;0.23529411764705882;0.8;0.0;0.0;0.23529411764705882;0.0;0.0;0.5;0.0;0.7058823529411765;0.0;0.17391304347826086;0.0;0.0;0.7;0.0;0.5263157894736842;0.6086956521739131;0.0;0.0;0.125;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.8235294117647058;0.35294117647058826;0.47058823529411764;0.5;0.4;0.375;0.1111111111111111;0.0;0.21052631578947367;0.0;0.0;0.17391304347826086;0.23529411764705882;0.1;0.0;0.0;0.18181818181818182;0.47058823529411764;0.23529411764705882;0.0;0.47058823529411764;0.17391304347826086;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.7272727272727273;0.0;0.0;0.47058823529411764;0.0;0.125;0.3157894736842105;0.3157894736842105;0.11764705882352941;0.0;0.0;0.47058823529411764;0.5;0.0;0.0;0.7619047619047619;0.0
GO:0001558;0.0;0.46153846153846156;0.46153846153846156;0.0;0.0;0.3333333333333333;0.47058823529411764;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.26666666666666666;0.5714285714285714;0.4;0.0;0.42857142857142855;0.0;0.0;0.3076923076923077;0.5714285714285714;0.0;0.47058823529411764;0.0;0.13333333333333333;0.42857142857142855;0.46153846153846156;0.0;1.0;0.25;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.5333333333333333;0.35294117647058826;0.0;0.0;0.5333333333333333;0.4444444444444444;0.0;0.15384615384615385;0.25;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.47058823529411764;0.10526315789473684;0.5;0.2857142857142857;0.0;0.47058823529411764;0.0;0.0;0.5333333333333333;0.0;0.0;0.4;0.0;0.0;0.4;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.3157894736842105;0.10526315789473684;0.15384615384615385;0.0;0.0;0.3333333333333333;0.0;0.0;0.15384615384615385;0.46153846153846156;0.0;0.10526315789473684;0.0;0.0;0.5;0.6153846153846154;0.0;0.4444444444444444;0.0;0.2222222222222222;0.42857142857142855;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333
GO:2000649;0.0;0.23529411764705882;0.23529411764705882;0.0;0.0;0.25;0.47619047619047616;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.21052631578947367;0.2222222222222222;0.8421052631578947;0.0;0.2222222222222222;0.0;0.0;0.35294117647058826;0.2222222222222222;0.0;0.47619047619047616;0.0;0.10526315789473684;0.2222222222222222;0.23529411764705882;0.0;0.25;1.0;0.0;0.5263157894736842;0.0;0.0;0.0;0.0;0.21052631578947367;0.47619047619047616;0.0;0.0;0.21052631578947367;0.18181818181818182;0.0;0.11764705882352941;0.2;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.19047619047619047;0.08695652173913043;0.2;0.2222222222222222;0.0;0.47619047619047616;0.0;0.0;0.21052631578947367;0.0;0.0;0.631578947368421;0.0;0.0;0.8421052631578947;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.2608695652173913;0.08695652173913043;0.11764705882352941;0.0;0.0;0.25;0.0;0.0;0.11764705882352941;0.23529411764705882;0.0;0.08695652173913043;0.0;0.0;0.6;0.23529411764705882;0.0;0.18181818181818182;0.0;0.18181818181818182;0.2222222222222222;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367
GO:0034971;0.0;0.0;0.0;0.1111111111111111;0.17391304347826086;0.2222222222222222;0.0;0.0;0.19047619047619047;0.08;0.2;0.1111111111111111;0.10526315789473684;0.0;0.19047619047619047;0.0;0.0;0.11764705882352941;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.1111111111111111;0.0;0.2222222222222222;0.09523809523809523;0.0;0.0;0.18181818181818182;0.0;0.0;1.0;0.0;0.0;0.1111111111111111;0.08695652173913043;0.1;0.0;0.0;0.18181818181818182;0.11764705882352941;0.0;0.0;0.1;0.10526315789473684;0.18181818181818182;0.0;0.0;0.21052631578947367;0.0;0.0;0.2222222222222222;0.0;0.21052631578947367;0.0;0.08;0.0;0.0;0.09090909090909091;0.0;0.19047619047619047;0.16;0.0;0.0;0.1111111111111111;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.10526315789473684;0.21052631578947367;0.10526315789473684;0.2222222222222222;0.09090909090909091;0.2222222222222222;0.1;0.0;0.19047619047619047;0.0;0.0;0.08;0.10526315789473684;0.09090909090909091;0.0;0.0;0.16666666666666666;0.10526315789473684;0.10526315789473684;0.0;0.21052631578947367;0.08;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.16666666666666666;0.0;0.0;0.10526315789473684;0.0;0.1111111111111111;0.19047619047619047;0.8571428571428571;0.10526315789473684;0.0;0.0;0.21052631578947367;0.1111111111111111;0.0;0.0;0.08695652173913043;0.0
GO:0035543;0.0;0.375;0.5;0.0;0.0;0.26666666666666666;0.5;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.2222222222222222;0.5882352941176471;0.6666666666666666;0.0;0.35294117647058826;0.0;0.0;0.25;0.47058823529411764;0.0;0.5;0.0;0.1111111111111111;0.35294117647058826;0.375;0.0;0.6666666666666666;0.5263157894736842;0.0;1.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.6;0.0;0.0;0.4444444444444444;0.38095238095238093;0.0;0.125;0.21052631578947367;0.375;0.0;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.5;0.09090909090909091;0.42105263157894735;0.23529411764705882;0.0;0.6;0.0;0.0;0.4444444444444444;0.0;0.0;0.6666666666666666;0.0;0.0;0.6666666666666666;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.2727272727272727;0.09090909090909091;0.125;0.0;0.0;0.26666666666666666;0.0;0.0;0.125;0.5;0.0;0.09090909090909091;0.0;0.0;0.5263157894736842;0.5;0.0;0.38095238095238093;0.0;0.19047619047619047;0.35294117647058826;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444
GO:0015711;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.8235294117647058;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.7777777777777778;0.9333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.8235294117647058;0.0;0.5555555555555556;0.6666666666666666;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9333333333333333;0.0;0.6666666666666666;0.0;0.0;0.0;0.11764705882352941;0.0;0.6153846153846154;0.5263157894736842;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.6666666666666666;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.8235294117647058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.875;0.625;0.0;0.0
GO:0051259;0.0;0.0;0.0;0.0;0.11764705882352941;0.16666666666666666;0.0;0.0;0.13333333333333333;0.10526315789473684;0.14285714285714285;0.16666666666666666;0.15384615384615385;0.0;0.13333333333333333;0.0;0.0;0.9090909090909091;0.0;0.125;0.125;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.13333333333333333;0.0;0.0;0.125;0.0;0.0;0.1111111111111111;0.0;0.0;1.0;0.11764705882352941;0.14285714285714285;0.0;0.0;0.125;0.18181818181818182;0.0;0.0;0.14285714285714285;0.15384615384615385;0.125;0.0;0.0;0.15384615384615385;0.0;0.0;0.16666666666666666;0.0;0.15384615384615385;0.0;0.10526315789473684;0.0;0.0;0.125;0.0;0.13333333333333333;0.10526315789473684;0.0;0.0;0.16666666666666666;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.15384615384615385;0.15384615384615385;0.15384615384615385;0.16666666666666666;0.125;0.16666666666666666;0.14285714285714285;0.0;0.13333333333333333;0.0;0.0;0.10526315789473684;0.15384615384615385;0.125;0.0;0.0;0.2222222222222222;0.0;0.15384615384615385;0.0;0.15384615384615385;0.10526315789473684;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.16666666666666666;0.13333333333333333;0.13333333333333333;0.15384615384615385;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.11764705882352941;0.0
GO:0072615;0.09523809523809523;0.0;0.0;0.0;0.09090909090909091;0.11764705882352941;0.0;0.09523809523809523;0.1;0.08333333333333333;0.10526315789473684;0.11764705882352941;0.1111111111111111;0.1;0.1;0.0;0.0;0.125;0.0;0.09523809523809523;0.09523809523809523;0.0;0.0;0.11764705882352941;0.0;0.11764705882352941;0.1;0.0;0.0;0.09523809523809523;0.0;0.0;0.08695652173913043;0.0;0.1111111111111111;0.11764705882352941;1.0;0.10526315789473684;0.0;0.0;0.09523809523809523;0.125;0.0;0.0;0.10526315789473684;0.1111111111111111;0.09523809523809523;0.0;0.10526315789473684;0.1111111111111111;0.09090909090909091;0.10526315789473684;0.11764705882352941;0.0;0.1111111111111111;0.0;0.08333333333333333;0.0;0.0;0.09523809523809523;0.0;0.1;0.08333333333333333;0.0;0.1111111111111111;0.11764705882352941;0.0;0.08695652173913043;0.09523809523809523;0.0;0.09090909090909091;0.10526315789473684;0.0;0.10526315789473684;0.1;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.09523809523809523;0.11764705882352941;0.10526315789473684;0.10526315789473684;0.1;0.10526315789473684;0.0;0.08333333333333333;0.1111111111111111;0.09523809523809523;0.0;0.11764705882352941;0.17391304347826086;0.0;0.1111111111111111;0.0;0.1111111111111111;0.08333333333333333;0.09523809523809523;0.10526315789473684;0.0;0.0;0.1;0.0;0.11764705882352941;0.08695652173913043;0.0;0.09523809523809523;0.0;0.0;0.11764705882352941;0.1;0.1;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.1;0.1;0.09090909090909091;0.0
GO:0036112;0.0;0.0;0.0;0.42857142857142855;0.3157894736842105;0.42857142857142855;0.0;0.0;0.35294117647058826;0.2857142857142857;0.375;0.14285714285714285;0.4;0.0;0.35294117647058826;0.0;0.0;0.15384615384615385;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.7142857142857143;0.0;0.42857142857142855;0.11764705882352941;0.0;0.0;0.3333333333333333;0.0;0.0;0.1;0.0;0.0;0.14285714285714285;0.10526315789473684;1.0;0.0;0.0;0.3333333333333333;0.3076923076923077;0.0;0.0;0.375;0.13333333333333333;0.3333333333333333;0.0;0.0;0.26666666666666666;0.0;0.0;0.5714285714285714;0.0;0.4;0.0;0.09523809523809523;0.0;0.0;0.2222222222222222;0.0;0.35294117647058826;0.2857142857142857;0.0;0.0;0.14285714285714285;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.4;0.8;0.4;0.42857142857142855;0.3333333333333333;0.8571428571428571;0.125;0.0;0.23529411764705882;0.0;0.0;0.09523809523809523;0.13333333333333333;0.1111111111111111;0.0;0.0;0.2;0.4;0.13333333333333333;0.0;0.4;0.09523809523809523;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.3;0.0;0.0;0.4;0.0;0.14285714285714285;0.35294117647058826;0.23529411764705882;0.13333333333333333;0.0;0.0;0.5333333333333333;0.42857142857142855;0.0;0.0;0.21052631578947367;0.0
GO:0045429;0.0;0.375;0.5;0.0;0.0;0.5333333333333333;0.4;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.4444444444444444;0.5882352941176471;0.4444444444444444;0.0;0.35294117647058826;0.0;0.0;0.25;0.7058823529411765;0.0;0.4;0.0;0.4444444444444444;0.47058823529411764;0.375;0.0;0.5333333333333333;0.21052631578947367;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;1.0;0.4;0.0;0.0;0.4444444444444444;0.6666666666666666;0.0;0.5;0.42105263157894735;0.375;0.0;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.7;0.09090909090909091;0.631578947368421;0.35294117647058826;0.0;0.5;0.0;0.0;0.4444444444444444;0.0;0.0;0.4444444444444444;0.0;0.0;0.4444444444444444;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.5454545454545454;0.09090909090909091;0.5;0.0;0.0;0.4;0.0;0.0;0.5;0.625;0.0;0.6363636363636364;0.0;0.0;0.5263157894736842;0.625;0.0;0.5714285714285714;0.0;0.38095238095238093;0.35294117647058826;0.0;0.0;0.631578947368421;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556
GO:0090314;0.0;0.3333333333333333;0.4444444444444444;0.0;0.0;0.23529411764705882;0.6363636363636364;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.2;0.42105263157894735;0.6;0.0;0.3157894736842105;0.0;0.0;0.2222222222222222;0.3157894736842105;0.0;0.6363636363636364;0.0;0.1;0.3157894736842105;0.3333333333333333;0.0;0.35294117647058826;0.47619047619047616;0.0;0.6;0.0;0.0;0.0;0.0;0.4;1.0;0.0;0.0;0.3;0.34782608695652173;0.0;0.1111111111111111;0.19047619047619047;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.34782608695652173;0.0;0.36363636363636365;0.08333333333333333;0.2857142857142857;0.21052631578947367;0.0;0.5454545454545454;0.0;0.0;0.3;0.0;0.0;0.6;0.0;0.0;0.6;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.25;0.08333333333333333;0.1111111111111111;0.0;0.0;0.23529411764705882;0.0;0.0;0.1111111111111111;0.4444444444444444;0.0;0.08333333333333333;0.0;0.0;0.38095238095238093;0.3333333333333333;0.0;0.2608695652173913;0.0;0.17391304347826086;0.3157894736842105;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.3
GO:0046477;0.0;0.0;0.0;0.5;0.8571428571428571;0.375;0.0;0.0;0.42105263157894735;0.43478260869565216;0.4444444444444444;0.25;0.5882352941176471;0.0;0.5263157894736842;0.0;0.0;0.13333333333333333;0.0;0.5;0.5;0.0;0.0;0.375;0.0;0.625;0.21052631578947367;0.0;0.0;0.5;0.0;0.0;0.18181818181818182;0.0;0.0;0.125;0.09523809523809523;0.3333333333333333;0.0;0.0;1.0;0.4;0.0;0.0;0.4444444444444444;0.23529411764705882;0.3;0.0;0.0;0.23529411764705882;0.0;0.0;0.5;0.0;0.35294117647058826;0.0;0.17391304347826086;0.0;0.0;0.3;0.0;0.5263157894736842;0.34782608695652173;0.0;0.0;0.125;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.47058823529411764;0.35294117647058826;0.47058823529411764;0.5;0.4;0.375;0.1111111111111111;0.0;0.21052631578947367;0.0;0.0;0.17391304347826086;0.23529411764705882;0.1;0.0;0.0;0.18181818181818182;0.47058823529411764;0.23529411764705882;0.0;0.47058823529411764;0.17391304347826086;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.2727272727272727;0.0;0.0;0.5882352941176471;0.0;0.125;0.5263157894736842;0.3157894736842105;0.11764705882352941;0.0;0.0;0.5882352941176471;0.5;0.0;0.0;0.2857142857142857;0.0
GO:0022900;0.0;0.0;0.0;0.36363636363636365;0.375;0.5454545454545454;0.0;0.0;0.42857142857142855;0.3333333333333333;0.46153846153846156;0.18181818181818182;0.3333333333333333;0.0;0.42857142857142855;0.0;0.0;0.2;0.0;0.4;0.4;0.0;0.0;0.36363636363636365;0.0;0.5454545454545454;0.14285714285714285;0.0;0.0;0.4;0.0;0.0;0.11764705882352941;0.0;0.0;0.18181818181818182;0.125;0.3076923076923077;0.0;0.0;0.4;1.0;0.0;0.0;0.3076923076923077;0.16666666666666666;0.4;0.0;0.0;0.3333333333333333;0.0;0.0;0.5454545454545454;0.0;0.5;0.0;0.1111111111111111;0.0;0.0;0.26666666666666666;0.0;0.42857142857142855;0.3333333333333333;0.0;0.0;0.18181818181818182;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.3333333333333333;0.5;0.3333333333333333;0.5454545454545454;0.26666666666666666;0.5454545454545454;0.15384615384615385;0.0;0.2857142857142857;0.0;0.0;0.1111111111111111;0.16666666666666666;0.13333333333333333;0.0;0.0;0.23529411764705882;0.3333333333333333;0.16666666666666666;0.0;0.5;0.1111111111111111;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.35294117647058826;0.0;0.0;0.3333333333333333;0.0;0.18181818181818182;0.42857142857142855;0.2857142857142857;0.16666666666666666;0.0;0.0;0.5;0.36363636363636365;0.0;0.0;0.25;0.0
GO:0043124;0.0;0.5;0.375;0.0;0.0;0.26666666666666666;0.4;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.2222222222222222;0.7058823529411765;0.3333333333333333;0.0;0.5882352941176471;0.0;0.0;0.25;0.5882352941176471;0.0;0.5;0.0;0.1111111111111111;0.35294117647058826;0.5;0.0;0.5333333333333333;0.21052631578947367;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.4444444444444444;0.3;0.0;0.0;1.0;0.38095238095238093;0.0;0.125;0.21052631578947367;0.5;0.0;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.4;0.09090909090909091;0.5263157894736842;0.23529411764705882;0.0;0.4;0.0;0.0;0.7777777777777778;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.36363636363636365;0.09090909090909091;0.125;0.0;0.0;0.26666666666666666;0.0;0.0;0.125;0.375;0.0;0.09090909090909091;0.0;0.0;0.42105263157894735;0.5;0.0;0.47619047619047616;0.0;0.19047619047619047;0.47058823529411764;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444
GO:0045944;0.0;0.3157894736842105;0.42105263157894735;0.0;0.0;0.2222222222222222;0.34782608695652173;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.19047619047619047;0.4;0.38095238095238093;0.0;0.3;0.0;0.0;0.21052631578947367;0.6;0.0;0.34782608695652173;0.0;0.09523809523809523;0.4;0.3157894736842105;0.0;0.4444444444444444;0.18181818181818182;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.6666666666666666;0.34782608695652173;0.0;0.0;0.38095238095238093;1.0;0.0;0.42105263157894735;0.18181818181818182;0.3157894736842105;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.6086956521739131;0.08;0.5454545454545454;0.2;0.0;0.34782608695652173;0.0;0.0;0.38095238095238093;0.0;0.0;0.38095238095238093;0.0;0.0;0.38095238095238093;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.8;0.08;0.42105263157894735;0.0;0.0;0.2222222222222222;0.0;0.0;0.42105263157894735;0.7368421052631579;0.0;0.88;0.0;0.0;0.36363636363636365;0.42105263157894735;0.0;0.9166666666666666;0.0;0.16666666666666666;0.3;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.47619047619047616
GO:0008206;0.0;0.0;0.0;0.42857142857142855;0.42105263157894735;0.2857142857142857;0.0;0.0;0.8235294117647058;0.5714285714285714;0.75;0.14285714285714285;0.4;0.0;0.35294117647058826;0.0;0.0;0.15384615384615385;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.42857142857142855;0.0;0.42857142857142855;0.11764705882352941;0.0;0.0;0.4444444444444444;0.0;0.0;0.1;0.0;0.0;0.14285714285714285;0.10526315789473684;0.375;0.0;0.0;0.4444444444444444;0.3076923076923077;0.0;0.0;1.0;0.13333333333333333;0.2222222222222222;0.0;0.0;0.13333333333333333;0.0;0.0;0.42857142857142855;0.0;0.9333333333333333;0.0;0.09523809523809523;0.0;0.0;0.2222222222222222;0.0;0.47058823529411764;0.5714285714285714;0.0;0.0;0.14285714285714285;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.8;0.4;0.4;0.5714285714285714;0.4444444444444444;0.42857142857142855;0.125;0.0;0.11764705882352941;0.0;0.0;0.09523809523809523;0.13333333333333333;0.1111111111111111;0.0;0.0;0.2;0.4;0.13333333333333333;0.0;0.4;0.09523809523809523;0.0;0.0;0.0;0.0;0.8235294117647058;0.0;0.0;0.2;0.0;0.0;0.4;0.0;0.14285714285714285;0.8235294117647058;0.23529411764705882;0.13333333333333333;0.0;0.0;0.4;0.42857142857142855;0.0;0.0;0.631578947368421;0.0
GO:0043401;0.0;0.14285714285714285;0.14285714285714285;0.0;0.2222222222222222;0.3076923076923077;0.4444444444444444;0.0;0.25;0.1;0.26666666666666666;0.15384615384615385;0.14285714285714285;0.0;0.25;0.5333333333333333;0.125;0.16666666666666666;0.13333333333333333;0.23529411764705882;0.23529411764705882;0.14285714285714285;0.13333333333333333;0.15384615384615385;0.4444444444444444;0.3076923076923077;0.125;0.13333333333333333;0.14285714285714285;0.23529411764705882;0.15384615384615385;0.11764705882352941;0.10526315789473684;0.125;0.0;0.15384615384615385;0.1111111111111111;0.13333333333333333;0.5;0.1111111111111111;0.23529411764705882;0.16666666666666666;0.125;0.42105263157894735;0.13333333333333333;1.0;0.23529411764705882;0.14285714285714285;0.0;0.2857142857142857;0.0;0.0;0.3076923076923077;0.10526315789473684;0.2857142857142857;0.4444444444444444;0.1;0.47058823529411764;0.13333333333333333;0.11764705882352941;0.4444444444444444;0.25;0.2;0.125;0.0;0.15384615384615385;0.125;0.21052631578947367;0.0;0.125;0.0;0.0;0.1111111111111111;0.0;0.125;0.14285714285714285;0.2857142857142857;0.14285714285714285;0.3076923076923077;0.11764705882352941;0.3076923076923077;0.13333333333333333;0.0;0.25;0.0;0.1;0.1;0.14285714285714285;0.11764705882352941;0.0;0.15384615384615385;0.21052631578947367;0.0;0.14285714285714285;0.14285714285714285;0.2857142857142857;0.1;0.0;0.0;0.47058823529411764;0.14285714285714285;0.25;0.10526315789473684;0.0;0.21052631578947367;0.13333333333333333;0.0;0.0;0.11764705882352941;0.15384615384615385;0.25;0.125;0.14285714285714285;0.5333333333333333;0.0;0.2857142857142857;0.0;0.0;0.0;0.1111111111111111;0.5
