;GO:0003091;GO:0090336;GO:0036378;GO:0042737;GO:0009750;GO:0042738;GO:0042572;GO:0042376;GO:0042574;GO:0046697;GO:0042377;GO:0043542;GO:0090050;GO:0045766;GO:0050873;GO:0071498;GO:0043154;GO:0031915;GO:0016098;GO:0051926;GO:0051968;GO:0071456;GO:0070207;GO:0010575;GO:0033138;GO:0042307;GO:0031394;GO:0032088;GO:0008631;GO:0043312;GO:0046466;GO:0009404;GO:0046427;GO:0071284;GO:1990776;GO:0001516;GO:0032355;GO:0006809;GO:0031622;GO:0033327;GO:0016125;GO:0071407;GO:0030336;GO:0071449;GO:0045429;GO:0033280;GO:0042759;GO:0008285;GO:0055078;GO:0045907;GO:0045786;GO:0008202;GO:1901687;GO:0000038;GO:1902219;GO:0090271;GO:0045986;GO:0045987;GO:0048661;GO:0071471;GO:0097267;GO:0034605;GO:0042360;GO:0002933;GO:0042361;GO:0019221;GO:0051384;GO:2000377;GO:0034644;GO:0070542;GO:0070301;GO:0032304;GO:0032227;GO:0071318;GO:0032305;GO:0071636;GO:0036101;GO:0008210;GO:0090362;GO:0061304;GO:0009822;GO:0033629;GO:0019371;GO:0071260;GO:0008209;GO:0019373;GO:0019372;GO:0006749;GO:0043065;GO:0006706;GO:0097756;GO:0032496;GO:0034356;GO:0030199;GO:0010243
GO:0042307;0.09090909090909091;0.2727272727272727;0.08333333333333333;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.25;0.3;0.0;0.0;0.15384615384615385;0.1;0.0;0.36363636363636365;0.3;0.0;0.0;0.3;0.23076923076923078;1.0;0.23076923076923078;0.2;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.08333333333333333;0.3;0.0;0.0;0.0;0.25;0.0;0.2727272727272727;0.0;0.0;0.2;0.07142857142857142;0.3;0.2;0.0;0.0;0.0;0.16666666666666666;0.3;0.18181818181818182;0.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.36363636363636365;0.18181818181818182;0.0;0.4444444444444444;0.3;0.0;0.08333333333333333;0.3;0.0;0.0;0.2;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0
GO:0031394;0.07692307692307693;0.3333333333333333;0.07142857142857142;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.25;0.0;0.0;0.21428571428571427;0.08333333333333333;0.0;0.15384615384615385;0.3333333333333333;0.0;0.0;0.25;0.38461538461538464;0.23076923076923078;1.0;0.35714285714285715;0.23076923076923078;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.07142857142857142;0.25;0.0;0.0;0.0;0.23076923076923078;0.0;0.6;0.0;0.0;0.2727272727272727;0.0625;0.25;0.2727272727272727;0.0;0.0;0.0;0.23076923076923078;0.25;0.15384615384615385;0.25;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.15384615384615385;0.23076923076923078;0.0;0.25;0.25;0.0;0.07142857142857142;0.25;0.0;0.0;0.25;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032088;0.1111111111111111;0.2;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.2222222222222222;0.0;0.0;0.3;0.125;0.0;0.375;0.2222222222222222;0.0;0.0;0.2222222222222222;0.16666666666666666;0.2;0.35714285714285715;1.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.1;0.2222222222222222;0.0;0.0;0.0;0.375;0.0;0.4166666666666667;0.0;0.0;0.42857142857142855;0.08333333333333333;0.0;0.42857142857142855;0.0;0.0;0.0;0.3;0.2222222222222222;0.375;0.2222222222222222;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.375;0.375;0.0;0.2222222222222222;0.2222222222222222;0.0;0.1;0.2222222222222222;0.0;0.0;0.375;0.0;0.0;0.1;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008631;0.0;0.0;0.2;0.2;0.0;0.0;0.2;0.16666666666666666;0.2;0.0;0.14285714285714285;0.0;0.0;0.0;0.16666666666666666;0.2;0.25;0.0;0.14285714285714285;0.0;0.0;0.2;0.0;0.0;0.23076923076923078;0.0;0.23076923076923078;0.0;1.0;0.0;0.16666666666666666;0.25;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.2;0.2;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.2;0.0
GO:0043312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046466;0.0;0.0;0.2857142857142857;0.5;0.0;0.42857142857142855;0.2857142857142857;0.42857142857142855;0.2857142857142857;0.0;0.375;0.0;0.0;0.0;0.1111111111111111;0.125;0.0;0.0;0.375;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;1.0;0.3333333333333333;0.0;0.1;0.0;0.3;0.0;0.25;0.0;0.0;0.375;0.1111111111111111;0.0;0.1;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.42857142857142855;0.25;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.3333333333333333;0.125;0.2857142857142857;0.42857142857142855;0.375;0.16666666666666666;0.0;0.0;0.09090909090909091;0.0;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.0;0.5;0.2857142857142857;0.0;0.0;0.42857142857142855;0.0;0.5;0.1111111111111111;0.2857142857142857;0.3333333333333333;0.42857142857142855;0.2857142857142857;0.0;0.5714285714285714;0.0;0.0;0.16666666666666666;0.125;0.0
GO:0009404;0.0;0.0;0.4;0.4;0.0;0.0;0.4;0.3333333333333333;0.4;0.0;0.2857142857142857;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.2857142857142857;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;1.0;0.0;0.125;0.0;0.2222222222222222;0.0;0.3333333333333333;0.0;0.0;0.16666666666666666;0.14285714285714285;0.0;0.125;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.125;0.16666666666666666;0.4;0.3333333333333333;0.2857142857142857;0.25;0.0;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.4;0.0;0.0;0.3333333333333333;0.0;0.5;0.14285714285714285;0.4;0.125;0.14285714285714285;0.4;0.0;0.14285714285714285;0.0;0.0;0.2;0.16666666666666666;0.0
GO:0046427;0.08333333333333333;0.3333333333333333;0.07692307692307693;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.2727272727272727;0.0;0.0;0.21428571428571427;0.25;0.0;0.16666666666666666;0.4;0.0;0.0;0.2727272727272727;0.2857142857142857;0.25;0.2857142857142857;0.18181818181818182;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.2727272727272727;0.0;0.0;0.0;0.23076923076923078;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.06666666666666667;0.2727272727272727;0.2727272727272727;0.0;0.0;0.0;0.45454545454545453;0.2727272727272727;0.16666666666666666;0.2727272727272727;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.16666666666666666;0.2727272727272727;0.0;0.2727272727272727;0.2727272727272727;0.0;0.07692307692307693;0.2727272727272727;0.0;0.0;0.25;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071284;0.0;0.0;0.1111111111111111;0.1111111111111111;0.18181818181818182;0.0;0.1111111111111111;0.1;0.1111111111111111;0.0;0.09090909090909091;0.0;0.0;0.0;0.1;0.25;0.0;0.0;0.09090909090909091;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.1;0.125;0.0;1.0;0.2;0.07692307692307693;0.25;0.1;0.0;0.0;0.0;0.375;0.0;0.3333333333333333;0.0;0.25;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.25;0.1111111111111111;0.1;0.09090909090909091;0.14285714285714285;0.18181818181818182;0.0;0.18181818181818182;0.25;0.375;0.0;0.0;0.375;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.1;0.0;0.14285714285714285;0.2222222222222222;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.25;0.07142857142857142;0.1111111111111111;0.25
GO:1990776;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.375;0.0;0.375;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.125;0.0;0.0;0.0;0.0;0.375;0.0;0.1;0.42857142857142855;0.3333333333333333;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.5714285714285714
GO:0001516;0.0;0.0;0.2222222222222222;0.2;0.0;0.0;0.2;0.18181818181818182;0.2222222222222222;0.0;0.16666666666666666;0.0;0.0;0.0;0.08333333333333333;0.09090909090909091;0.0;0.0;0.2727272727272727;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.2222222222222222;0.0;0.07692307692307693;0.0;1.0;0.0;0.2222222222222222;0.0;0.0;0.3;0.08333333333333333;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.5;0.09090909090909091;0.2222222222222222;0.3;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.08333333333333333;0.0;0.0;0.5;0.3;0.0;0.0;0.2;0.0;0.5555555555555556;0.0;0.3;0.5;0.5;0.2;0.0;0.3;0.0;0.0;0.23076923076923078;0.09090909090909091;0.0
GO:0032355;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.42857142857142855;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.5;0.0;0.1111111111111111;0.6666666666666666;0.42857142857142855;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.5
GO:0006809;0.2222222222222222;0.08333333333333333;0.5;0.5;0.0;0.42857142857142855;0.2857142857142857;0.25;0.2857142857142857;0.0;0.2222222222222222;0.0;0.07692307692307693;0.09090909090909091;0.1111111111111111;0.125;0.07692307692307693;0.25;0.2222222222222222;0.09090909090909091;0.09090909090909091;0.125;0.0;0.09090909090909091;0.07142857142857142;0.08333333333333333;0.07142857142857142;0.1;0.0;0.0;0.25;0.3333333333333333;0.07692307692307693;0.1;0.0;0.2222222222222222;0.0;1.0;0.2222222222222222;0.0;0.14285714285714285;0.1111111111111111;0.09090909090909091;0.0;0.375;0.0;0.25;0.1;0.16666666666666666;0.0;0.1;0.14285714285714285;0.42857142857142855;0.25;0.08333333333333333;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.1111111111111111;0.1111111111111111;0.125;0.2857142857142857;0.25;0.2222222222222222;0.0;0.0;0.1;0.0;0.0;0.1111111111111111;0.09090909090909091;0.09090909090909091;0.1111111111111111;0.09090909090909091;0.09090909090909091;0.125;0.2857142857142857;0.09090909090909091;0.0;0.42857142857142855;0.1;0.2;0.0;0.2857142857142857;0.1111111111111111;0.125;0.2857142857142857;0.08333333333333333;0.125;0.0;0.0;0.4;0.125;0.0
GO:0031622;0.25;0.3;0.2222222222222222;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.4;0.5;0.0;0.0;0.16666666666666666;0.2857142857142857;0.0;0.2;0.3333333333333333;0.0;0.0;0.5;0.25;0.3;0.25;0.2222222222222222;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.2222222222222222;1.0;0.0;0.0;0.0;0.2;0.0;0.25;0.0;0.0;0.2222222222222222;0.18181818181818182;0.5;0.2222222222222222;0.0;0.0;0.0;0.3076923076923077;0.5;0.3333333333333333;0.5;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.2;0.2;0.0;0.3333333333333333;0.5;0.0;0.2222222222222222;0.5;0.0;0.0;0.2222222222222222;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0
GO:0033327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0016125;0.0;0.0;0.5;0.14285714285714285;0.0;0.0;0.42857142857142855;0.25;0.3333333333333333;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.16666666666666666;0.0;0.0;0.0;0.3;0.0;0.14285714285714285;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.8;0.2857142857142857;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.6;0.375;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.6666666666666666;0.0;0.0;0.2857142857142857;0.0;0.5;0.0;0.6666666666666666;0.25;0.375;0.2857142857142857;0.0;0.6666666666666666;0.0;0.0;0.2727272727272727;0.0;0.0
GO:0071407;0.0;0.0;0.125;0.125;0.3333333333333333;0.0;0.125;0.1111111111111111;0.125;0.0;0.1;0.0;0.0;0.0;0.1111111111111111;0.2857142857142857;0.0;0.0;0.1;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.1111111111111111;0.14285714285714285;0.0;0.375;0.375;0.08333333333333333;0.6666666666666666;0.1111111111111111;0.0;0.0;0.0;1.0;0.0;0.42857142857142855;0.0;0.6666666666666666;0.1;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.2857142857142857;0.125;0.1111111111111111;0.1;0.16666666666666666;0.5;0.0;0.2;0.42857142857142855;0.42857142857142855;0.0;0.0;0.8333333333333334;0.0;0.0;0.0;0.125;0.0;0.0;0.1111111111111111;0.0;0.16666666666666666;0.25;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.42857142857142855;0.07692307692307693;0.125;0.5
GO:0030336;0.1;0.2727272727272727;0.09090909090909091;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.2;0.0;0.0;0.36363636363636365;0.1111111111111111;0.0;0.3333333333333333;0.2727272727272727;0.0;0.0;0.2;0.23076923076923078;0.25;0.23076923076923078;0.375;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.09090909090909091;0.2;0.0;0.0;0.0;1.0;0.0;0.2727272727272727;0.0;0.0;0.5;0.07692307692307693;0.0;0.5;0.0;0.0;0.0;0.3333333333333333;0.2;0.3333333333333333;0.2;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.4;0.0;0.2727272727272727;0.2;0.0;0.09090909090909091;0.2;0.0;0.0;0.4444444444444444;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071449;0.0;0.0;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.0;0.1111111111111111;0.1;0.1111111111111111;0.0;0.09090909090909091;0.0;0.0;0.0;0.1;0.42857142857142855;0.0;0.0;0.09090909090909091;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.125;0.0;0.3333333333333333;0.375;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;1.0;0.0;0.42857142857142855;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.42857142857142855;0.1111111111111111;0.1;0.09090909090909091;0.0;0.3333333333333333;0.0;0.18181818181818182;0.42857142857142855;0.5;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.1;0.0;0.0;0.2222222222222222;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.42857142857142855;0.07142857142857142;0.1111111111111111;0.5
GO:0045429;0.25;0.4;0.2222222222222222;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.25;0.3;0.0;0.0;0.25;0.2857142857142857;0.0;0.18181818181818182;0.4;0.0;0.0;0.3;0.45454545454545453;0.2727272727272727;0.6;0.4166666666666667;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.25;0.0;0.0;0.0;0.2727272727272727;0.0;1.0;0.0;0.0;0.3333333333333333;0.18181818181818182;0.3;0.3333333333333333;0.0;0.0;0.0;0.2727272727272727;0.3;0.18181818181818182;0.3;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.625;0.0;0.0;0.0;0.18181818181818182;0.2727272727272727;0.0;0.3;0.3;0.0;0.2222222222222222;0.3;0.0;0.0;0.3;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
GO:0033280;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.42857142857142855;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.42857142857142855;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.5;0.0;0.1111111111111111;0.6;0.42857142857142855;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.5
GO:0042759;0.0;0.0;0.4444444444444444;0.25;0.0;0.0;0.25;0.2222222222222222;0.25;0.0;0.2;0.0;0.0;0.0;0.1;0.1111111111111111;0.0;0.0;0.3333333333333333;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.375;0.2857142857142857;0.0;0.09090909090909091;0.0;0.5555555555555556;0.0;0.25;0.0;0.0;0.375;0.1;0.0;0.09090909090909091;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.375;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.1;0.625;0.1111111111111111;0.25;0.375;0.2;0.14285714285714285;0.0;0.0;0.08333333333333333;0.0;0.1;0.0;0.0;0.1;0.0;0.0;0.625;0.375;0.0;0.0;0.2222222222222222;0.0;0.5714285714285714;0.1;0.375;0.625;0.5714285714285714;0.25;0.0;0.375;0.0;0.0;0.25;0.1111111111111111;0.0
GO:0008285;0.1111111111111111;0.3333333333333333;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.2222222222222222;0.0;0.0;0.4444444444444444;0.125;0.0;0.375;0.3333333333333333;0.0;0.0;0.2222222222222222;0.2727272727272727;0.2;0.2727272727272727;0.42857142857142855;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.1;0.2222222222222222;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.0;1.0;0.08333333333333333;0.0;0.6666666666666666;0.0;0.0;0.0;0.3333333333333333;0.2222222222222222;0.375;0.2222222222222222;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.42857142857142855;0.0;0.0;0.0;0.375;0.5;0.0;0.2222222222222222;0.2222222222222222;0.0;0.1;0.2222222222222222;0.0;0.0;0.5714285714285714;0.0;0.0;0.1;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0055078;0.36363636363636365;0.07142857142857142;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.06666666666666667;0.07692307692307693;0.0;0.0;0.06666666666666667;0.2;0.0;0.07692307692307693;0.07692307692307693;0.0;0.0;0.07692307692307693;0.0625;0.07142857142857142;0.0625;0.08333333333333333;0.0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.16666666666666666;0.18181818181818182;0.0;0.0;0.0;0.07692307692307693;0.0;0.18181818181818182;0.0;0.0;0.08333333333333333;1.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.07142857142857142;0.07692307692307693;0.07692307692307693;0.07692307692307693;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.07692307692307693;0.07692307692307693;0.0;0.07692307692307693;0.07692307692307693;0.0;0.16666666666666666;0.07692307692307693;0.0;0.0;0.08333333333333333;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045907;0.4;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.5;0.25;0.3;0.25;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.3333333333333333;0.5;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045786;0.1111111111111111;0.3333333333333333;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.2222222222222222;0.0;0.0;0.4444444444444444;0.125;0.0;0.375;0.3333333333333333;0.0;0.0;0.2222222222222222;0.2727272727272727;0.2;0.2727272727272727;0.42857142857142855;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.1;0.2222222222222222;0.0;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.0;0.6666666666666666;0.08333333333333333;0.0;1.0;0.0;0.0;0.0;0.3333333333333333;0.2222222222222222;0.375;0.2222222222222222;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.42857142857142855;0.0;0.0;0.0;0.375;0.5;0.0;0.2222222222222222;0.2222222222222222;0.0;0.1;0.2222222222222222;0.0;0.0;0.5714285714285714;0.0;0.0;0.1;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0008202;0.0;0.0;0.5714285714285714;0.14285714285714285;0.0;0.0;0.14285714285714285;0.25;0.3333333333333333;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.16666666666666666;0.0;0.0;0.0;0.3333333333333333;0.0;0.14285714285714285;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;1.0;0.2857142857142857;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.6;0.42857142857142855;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.8;0.0;0.0;0.2857142857142857;0.0;0.6;0.0;0.8;0.3333333333333333;0.42857142857142855;0.2857142857142857;0.0;0.8;0.0;0.0;0.3;0.0;0.0
