;GO:0006281;GO:0030071;GO:0015031;GO:0043542;GO:0006886;GO:0090051;GO:0043547;GO:0006957;GO:0030100;GO:0016576;GO:0048280;GO:0045739;GO:0042509;GO:0050728;GO:0051260;GO:0045732;GO:0008631;GO:0007266;GO:0006897;GO:0048208;GO:0097498;GO:0006888;GO:0051056;GO:0006606;GO:0048013;GO:0031145;GO:0034498;GO:2000249;GO:0035023;GO:1901164;GO:0031063;GO:0043486;GO:0006465;GO:0097192;GO:0038096;GO:0030449;GO:0097345;GO:0019221;GO:0000082;GO:0033674;GO:0035335;GO:2001240;GO:0070979;GO:0006351;GO:0007162;GO:0090166;GO:0006470;GO:0006355;GO:0006357;GO:0097352;GO:0045087;GO:0048278;GO:0046330;GO:0043065;GO:0034314;GO:0030036
GO:0070979;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.3081136762725405;0.0;0.0;0.0;0.3081136762725405;0.0;0.3356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.3356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.43852901558847923;0.3356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.0;0.43852901558847923;0.0;1.0;0.3660149997115376;0.0;0.3356143810225276;0.48300749985576874;0.0;0.0;0.3356143810225276;0.0;0.3081136762725405;0.0;0.0;0.3356143810225276;0.3081136762725405
GO:0006351;0.6000000000000001;0.0;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.48300749985576874;0.0;0.3660149997115376;1.0;0.0;0.8;0.5356143810225276;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.6000000000000001
GO:0007162;0.0;0.48300749985576874;0.0;0.0;0.0;0.4;0.4;0.4;0.6000000000000001;0.0;0.0;0.48300749985576874;0.4;0.5356143810225276;0.0;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.4;0.6000000000000001;0.43852901558847923;0.0;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.0;0.4;0.0;0.5356143810225276;0.0;0.0;1.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.0
GO:0090166;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.43852901558847923;0.0;0.3356143810225276;0.8;0.0;1.0;0.48300749985576874;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.6830074998557688
GO:0006470;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.0;1.0;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.6830074998557688;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;1.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.48300749985576874;1.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.43852901558847923
GO:0006355;0.0;0.4;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.48300749985576874;0.0;0.0;0.5356143810225276;0.4;0.4;0.0;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.43852901558847923;0.0;0.4;0.0;0.3660149997115376;0.0;0.0;0.48300749985576874;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.3660149997115376;0.4;0.43852901558847923;0.0
GO:0006357;0.0;0.3660149997115376;0.0;0.0;0.0;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.43852901558847923;0.0;0.0;0.48300749985576874;0.3660149997115376;0.3660149997115376;0.0;0.48300749985576874;0.4;0.4;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.4;0.3081136762725405;0.4;0.4;0.0;0.0;0.4;0.4;0.5356143810225276;0.43852901558847923;0.4;0.0;0.3660149997115376;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.4;0.0
GO:0097352;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.43852901558847923;0.0;0.3356143810225276;0.8;0.0;0.8;0.48300749985576874;0.0;0.0;1.0;0.0;0.8;0.0;0.0;0.8;0.6830074998557688
GO:0045087;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
GO:0048278;0.48300749985576874;0.0;0.6000000000000001;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.5356143810225276;0.8;0.0;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.4;0.0;0.3081136762725405;0.8;0.0;0.8;0.43852901558847923;0.0;0.0;0.8;0.0;1.0;0.0;0.0;0.8;0.6000000000000001
GO:0046330;0.0;0.3660149997115376;0.0;0.0;0.0;0.2830074998557688;0.2830074998557688;0.3660149997115376;0.43852901558847923;0.0;0.0;0.43852901558847923;0.48300749985576874;0.4;0.0;0.43852901558847923;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.4;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.0;0.0;0.4;0.3660149997115376;0.3660149997115376;0.4;0.4;0.0;0.5356143810225276;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.0;1.0;0.3660149997115376;0.3660149997115376;0.0
GO:0043065;0.0;0.4;0.0;0.0;0.0;0.3081136762725405;0.3081136762725405;0.3660149997115376;0.48300749985576874;0.0;0.0;0.5356143810225276;0.3356143810225276;0.3660149997115376;0.0;0.43852901558847923;0.4;0.4;0.0;0.0;0.0;0.0;0.4;0.0;0.4;0.0;0.0;0.43852901558847923;0.3356143810225276;0.4;0.3660149997115376;0.0;0.0;0.43852901558847923;0.4;0.4;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.4;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;1.0;0.4;0.0
GO:0034314;0.5356143810225276;0.4;0.0;0.8;0.0;0.3660149997115376;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.8;0.8;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.8;0.43852901558847923;0.8;0.8;0.0;0.8;0.0;0.0;0.43852901558847923;0.0;0.8;0.8;0.0;0.48300749985576874;0.3660149997115376;0.48300749985576874;0.3660149997115376;0.8;0.8;0.8;0.8;0.48300749985576874;0.8;0.8;0.8;0.43852901558847923;0.43852901558847923;0.4;0.3356143810225276;0.8;0.5356143810225276;0.8;0.48300749985576874;0.43852901558847923;0.4;0.8;0.0;0.8;0.3660149997115376;0.4;1.0;0.6830074998557688
GO:0030036;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.0;0.6830074998557688;0.6830074998557688;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.6830074998557688;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.6000000000000001;0.6830074998557688;0.6830074998557688;0.0;0.6830074998557688;0.6830074998557688;0.6830074998557688;0.0;0.4;0.0;0.3081136762725405;0.6000000000000001;0.0;0.6830074998557688;0.43852901558847923;0.0;0.0;0.6830074998557688;0.0;0.6000000000000001;0.0;0.0;0.6830074998557688;1.0
