;GO:0045727;GO:0015031;GO:0006366;GO:0006363;GO:0045444;GO:0042059;GO:0045766;GO:0001666;GO:0051289;GO:0045892;GO:0045893;GO:0032287;GO:0032288;GO:0017148;GO:0055007;GO:0016578;GO:0034063;GO:0035750;GO:0006493;GO:0060271;GO:0008156;GO:0042147;GO:0006974;GO:0060754;GO:0006334;GO:0048010;GO:0043162;GO:0072332;GO:0048255;GO:0070830;GO:0030178;GO:0010469;GO:0072659;GO:0043966;GO:0006260;GO:1902455;GO:0000122;GO:0002576;GO:0006417;GO:0051781;GO:0048026;GO:0050930;GO:0070936;GO:0071629;GO:0006351;GO:0038084;GO:0044267;GO:0006513;GO:0006357;GO:0001934;GO:0043065;GO:0070534;GO:0001938
GO:0071629;0.0;0.0;0.36363636363636365;0.2857142857142857;0.25;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.1111111111111111;0.11764705882352941;0.0;0.1111111111111111;0.09090909090909091;0.10526315789473684;0.0;0.5;0.1111111111111111;0.0;0.0;0.25;0.0;0.10526315789473684;0.1;0.47619047619047616;0.10526315789473684;0.0;0.1111111111111111;0.0;0.0;0.0;0.08333333333333333;0.5263157894736842;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.43478260869565216;1.0;0.38095238095238093;0.1;0.5882352941176471;0.45454545454545453;0.0;0.0;0.0;0.43478260869565216;0.0
GO:0006351;0.0;0.0;0.9523809523809523;0.4;0.13333333333333333;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.11764705882352941;0.125;0.0;0.11764705882352941;0.09523809523809523;0.1111111111111111;0.0;0.10526315789473684;0.11764705882352941;0.0;0.0;0.13333333333333333;0.0;0.1111111111111111;0.10526315789473684;0.1;0.1111111111111111;0.0;0.11764705882352941;0.0;0.0;0.0;0.08695652173913043;0.6666666666666666;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.36363636363636365;0.38095238095238093;1.0;0.10526315789473684;0.5;0.38095238095238093;0.0;0.0;0.0;0.36363636363636365;0.0
GO:0038084;0.1111111111111111;0.0;0.1;0.10526315789473684;0.2857142857142857;0.1111111111111111;0.11764705882352941;0.0;0.11764705882352941;0.1;0.1;0.125;0.13333333333333333;0.1111111111111111;0.125;0.1;0.11764705882352941;0.0;0.1111111111111111;0.125;0.1111111111111111;0.0;0.2857142857142857;0.1;0.11764705882352941;0.1111111111111111;0.10526315789473684;0.11764705882352941;0.1;0.125;0.11764705882352941;0.125;0.0;0.09090909090909091;0.23529411764705882;0.13333333333333333;0.09523809523809523;0.2222222222222222;0.11764705882352941;0.13333333333333333;0.1;0.1111111111111111;0.19047619047619047;0.1;0.10526315789473684;1.0;0.26666666666666666;0.2;0.1;0.10526315789473684;0.11764705882352941;0.19047619047619047;0.11764705882352941
GO:0044267;0.0;0.0;0.47058823529411764;0.375;0.36363636363636365;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.3076923076923077;0.3333333333333333;0.0;0.15384615384615385;0.7058823529411765;0.14285714285714285;0.0;0.6666666666666666;0.15384615384615385;0.0;0.0;0.36363636363636365;0.0;0.2857142857142857;0.26666666666666666;0.625;0.2857142857142857;0.0;0.3076923076923077;0.0;0.0;0.0;0.631578947368421;0.7142857142857143;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.6666666666666666;0.5882352941176471;0.5;0.26666666666666666;1.0;0.7058823529411765;0.0;0.0;0.0;0.6666666666666666;0.0
GO:0006513;0.0;0.0;0.36363636363636365;0.2857142857142857;0.25;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.2222222222222222;0.23529411764705882;0.0;0.1111111111111111;0.6363636363636364;0.10526315789473684;0.0;0.7;0.1111111111111111;0.0;0.0;0.25;0.0;0.21052631578947367;0.2;0.47619047619047616;0.21052631578947367;0.0;0.2222222222222222;0.0;0.0;0.0;0.5833333333333334;0.5263157894736842;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.8695652173913043;0.45454545454545453;0.38095238095238093;0.2;0.7058823529411765;1.0;0.0;0.0;0.0;0.8695652173913043;0.0
GO:0006357;0.7;0.0;0.0;0.0;0.0;0.4;0.3157894736842105;0.0;0.0;0.9090909090909091;0.9090909090909091;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.2727272727272727;0.0;0.1;0.0;0.10526315789473684;0.5454545454545454;0.0;0.42105263157894735;0.2222222222222222;0.0;0.0;0.0;0.35294117647058826;0.9565217391304348;0.0;0.7368421052631579;0.47058823529411764;0.5454545454545454;0.3;0.0;0.0;0.0;0.1;0.0;0.0;1.0;0.47619047619047616;0.42105263157894735;0.0;0.42105263157894735
GO:0001934;0.8421052631578947;0.0;0.0;0.0;0.0;0.42105263157894735;0.4444444444444444;0.0;0.0;0.47619047619047616;0.5714285714285714;0.0;0.0;0.7368421052631579;0.0;0.0;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;0.38095238095238093;0.0;0.10526315789473684;0.0;0.1111111111111111;0.5714285714285714;0.0;0.4444444444444444;0.47058823529411764;0.0;0.0;0.0;0.375;0.45454545454545453;0.0;0.7777777777777778;0.625;0.5714285714285714;0.42105263157894735;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.47619047619047616;1.0;0.5555555555555556;0.0;0.5555555555555556
GO:0043065;0.5882352941176471;0.0;0.0;0.0;0.0;0.47058823529411764;0.5;0.0;0.0;0.42105263157894735;0.42105263157894735;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.42105263157894735;0.0;0.11764705882352941;0.0;0.125;0.42105263157894735;0.0;0.5;0.5333333333333333;0.0;0.0;0.0;0.42857142857142855;0.4;0.0;0.5;0.7142857142857143;0.5263157894736842;0.47058823529411764;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.42105263157894735;0.5555555555555556;1.0;0.0;0.625
GO:0070534;0.0;0.0;0.34782608695652173;0.2727272727272727;0.23529411764705882;0.0;0.0;0.0;0.1;0.0;0.0;0.21052631578947367;0.2222222222222222;0.0;0.10526315789473684;0.6086956521739131;0.1;0.0;0.6666666666666666;0.10526315789473684;0.0;0.0;0.23529411764705882;0.0;0.2;0.19047619047619047;0.45454545454545453;0.2;0.0;0.21052631578947367;0.0;0.0;0.0;0.56;0.5;0.0;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.9166666666666666;0.43478260869565216;0.36363636363636365;0.19047619047619047;0.6666666666666666;0.8695652173913043;0.0;0.0;0.0;1.0;0.0
GO:0001938;0.5882352941176471;0.0;0.0;0.0;0.0;0.47058823529411764;0.5;0.0;0.0;0.42105263157894735;0.42105263157894735;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.42105263157894735;0.0;0.11764705882352941;0.0;0.125;0.42105263157894735;0.0;0.5;0.5333333333333333;0.0;0.0;0.0;0.42857142857142855;0.4;0.0;0.5;0.7142857142857143;0.5263157894736842;0.47058823529411764;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.42105263157894735;0.5555555555555556;0.625;0.0;1.0
