;GO:0007050;GO:0014064;GO:1901387;GO:0015031;GO:0006168;GO:0051091;GO:0042136;GO:0006886;GO:0043547;GO:0001666;GO:0070244;GO:0071650;GO:0046100;GO:0010811;GO:0018279;GO:0019367;GO:0034626;GO:0034625;GO:0030148;GO:1905077;GO:0060271;GO:0032482;GO:0051260;GO:0006178;GO:0021941;GO:0046621;GO:1904468;GO:0042147;GO:1900425;GO:0001881;GO:1903779;GO:0051610;GO:0071321;GO:0071641;GO:0010628;GO:0001516;GO:0032355;GO:0071644;GO:0018146;GO:0032310;GO:0006809;GO:0034498;GO:0034219;GO:0030334;GO:2000562;GO:0072659;GO:0008360;GO:0014003;GO:0045665;GO:0045787;GO:1903426;GO:0045666;GO:0042310;GO:1905403;GO:0045944;GO:0048739;GO:0099131;GO:0097067;GO:0002576;GO:0072086;GO:0051583;GO:0003429;GO:0070863;GO:2000774;GO:0035338;GO:0010951;GO:0032227;GO:0019547;GO:0035176;GO:0032263;GO:0006351;GO:0032264;GO:0050706;GO:0030041;GO:0090481;GO:0042761;GO:0009267;GO:0090160;GO:0006357;GO:0007517;GO:0019371;GO:0071300;GO:0001657;GO:0000050;GO:0045087;GO:0030032;GO:0035725;GO:2000666;GO:0016266;GO:0002829;GO:0055117;GO:0032456;GO:0031643
GO:0030334;0.047799631016701725;0.19673256925640645;0.19673256925640645;0.0;0.0;0.047799631016701725;0.036692364793703955;0.0;0.036692364793703955;0.0;0.047799631016701725;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.19673256925640645;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.042064647228987374;0.19673256925640645;0.0;0.042064647228987374;0.0;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.0;0.0;1.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.19673256925640645;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.19673256925640645;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19673256925640645;0.0;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725
GO:2000562;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.0;0.0;0.047799631016701725;0.036692364793703955;0.0;0.036692364793703955;0.0;0.13839445927415203;0.12804570306913615;0.0;0.340893655699179;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.33566363481728667;0.12804570306913615;0.13839445927415203;0.0;0.12804570306913615;0.0;0.042064647228987374;0.036692364793703955;0.0;0.12804570306913615;0.042064647228987374;0.0;0.0;0.12804570306913615;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;1.0;0.0;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.042064647228987374;0.047799631016701725;0.0;0.13839445927415203;0.13839445927415203;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.38719244885860515;0.042064647228987374;0.0;0.047799631016701725
GO:0072659;0.0;0.0;0.0;0.2288532216884073;0.0;0.0;0.0;0.2288532216884073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2147074070362994;0.0;0.0;0.0;0.13331334997803274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13331334997803274;0.0;0.2147074070362994;0.13331334997803274;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13331334997803274;0.0;0.13331334997803274;0.0;0.13331334997803274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13331334997803274;0.0;0.0;0.2147074070362994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13331334997803274;0.0;0.0;0.0;0.0;0.2147074070362994;0.0
GO:0008360;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.0;0.0;0.047799631016701725;0.16702085169111647;0.0;0.036692364793703955;0.0;0.047799631016701725;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.20397374928165476;0.20397374928165476;0.047799631016701725;0.0;0.042064647228987374;0.0;0.042064647228987374;0.16702085169111647;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.042064647228987374;0.0;0.0;0.16702085169111647;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;1.0;0.0;0.20397374928165476;0.047799631016701725;0.047799631016701725;0.20397374928165476;0.16702085169111647;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.16702085169111647;0.0;0.042064647228987374;0.20397374928165476;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.042064647228987374;0.042064647228987374;0.0;0.20397374928165476
GO:0014003;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33659487123215237;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.16985210689062205;0.01468324974140624;0.01468324974140624;0.16985210689062205;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0
GO:0045665;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.0;0.0;0.047799631016701725;0.036692364793703955;0.0;0.036692364793703955;0.0;0.13839445927415203;0.2868411840981557;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.2868411840981557;0.0;0.047799631016701725;0.0;0.0;0.42079187538250784;0.30550822320801124;0.2868411840981557;0.0;0.12804570306913615;0.0;0.18922943134840794;0.036692364793703955;0.0;0.2868411840981557;0.042064647228987374;0.0;0.0;0.2868411840981557;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.20397374928165476;0.0;1.0;0.047799631016701725;0.047799631016701725;0.34386328635089514;0.036692364793703955;0.13839445927415203;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.042064647228987374;0.20397374928165476;0.0;0.13839445927415203;0.13839445927415203;0.0;0.0;0.0;0.0;0.0;0.18922943134840794;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2868411840981557;0.0;0.12804570306913615;0.18922943134840794;0.0;0.3120402220030647
GO:0045787;0.28025216105938716;0.12755981097713553;0.11511873865597294;0.0;0.0;0.11511873865597294;0.036692364793703955;0.0;0.036692364793703955;0.0;0.047799631016701725;0.042064647228987374;0.0;0.11511873865597294;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.042064647228987374;0.0;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.11511873865597294;0.0;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;1.0;0.047799631016701725;0.12755981097713553;0.036692364793703955;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.11511873865597294;0.12755981097713553;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.042064647228987374;0.042064647228987374;0.0;0.12755981097713553
GO:1903426;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.0;0.0;0.14052726254022924;0.036692364793703955;0.0;0.036692364793703955;0.0;0.047799631016701725;0.042064647228987374;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.042064647228987374;0.0;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.09795404577404272;0.0;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;1.0;0.047799631016701725;0.036692364793703955;0.047799631016701725;0.14052726254022924;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.042064647228987374;0.047799631016701725;0.0;0.10577604256148812;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.14052726254022924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.042064647228987374;0.042064647228987374;0.0;0.047799631016701725
GO:0045666;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.0;0.0;0.11511873865597294;0.036692364793703955;0.0;0.036692364793703955;0.0;0.047799631016701725;0.18922943134840794;0.0;0.11511873865597294;0.0;0.0;0.0;0.0;0.0;0.18922943134840794;0.0;0.047799631016701725;0.0;0.0;0.3120402220030647;0.20397374928165476;0.18922943134840794;0.0;0.042064647228987374;0.0;0.18922943134840794;0.036692364793703955;0.0;0.18922943134840794;0.11511873865597294;0.0;0.0;0.18922943134840794;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.20397374928165476;0.0;0.34386328635089514;0.12755981097713553;0.047799631016701725;1.0;0.036692364793703955;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.11511873865597294;0.2688665324497557;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.18922943134840794;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18922943134840794;0.0;0.042064647228987374;0.18922943134840794;0.0;0.36685396453112845
GO:0042310;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.16702085169111647;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.036692364793703955;0.16702085169111647;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.0;0.0;0.16702085169111647;0.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.16702085169111647;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;1.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.0;0.1642658631441654;0.16702085169111647;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955
GO:1905403;0.13839445927415203;0.047799631016701725;0.042064647228987374;0.0;0.0;0.047799631016701725;0.036692364793703955;0.0;0.036692364793703955;0.0;0.6886059619001038;0.12804570306913615;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.0;0.12804570306913615;0.0;0.042064647228987374;0.036692364793703955;0.0;0.12804570306913615;0.042064647228987374;0.0;0.0;0.12804570306913615;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.036692364793703955;1.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.042064647228987374;0.047799631016701725;0.0;0.13839445927415203;0.13839445927415203;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.12804570306913615;0.042064647228987374;0.0;0.047799631016701725
GO:0045944;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.0;0.0;0.15831211565824807;0.036692364793703955;0.0;0.036692364793703955;0.0;0.047799631016701725;0.042064647228987374;0.0;0.11511873865597294;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.0;0.042064647228987374;0.0;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.2298366916985153;0.0;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.047799631016701725;0.0;0.047799631016701725;0.12755981097713553;0.14052726254022924;0.12755981097713553;0.036692364793703955;0.047799631016701725;1.0;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.11511873865597294;0.12755981097713553;0.0;0.10900961301269105;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.193449319138058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.042064647228987374;0.042064647228987374;0.0;0.12755981097713553
GO:0048739;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.33659487123215237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.1890450431733396;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.16985210689062205;0.01468324974140624;0.01468324974140624;0.16985210689062205;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0
GO:0099131;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2671917332720723;0.0;0.14698621595948655;0.272550487440867;0.0;0.0;0.13331334997803274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.14698621595948655;0.0;0.2671917332720723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.272550487440867;0.0;0.0;0.14698621595948655;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33566363481728667;0.0;0.0;0.0;0.0;0.14698621595948655;0.0
GO:0097067;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.11807622278079505;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.33202122880245893;0.0;0.0;0.01468324974140624;0.33550924974192214;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;1.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.1912422969752877;0.0;0.0;0.0;0.01468324974140624;0.26838521347675653;0.0;0.01468324974140624;0.11807622278079505;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0
GO:0002576;0.01468324974140624;0.0;0.0;0.14698621595948655;0.01468324974140624;0.0;0.01468324974140624;0.14698621595948655;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.23890105842610806;0.0;0.01468324974140624;0.0;0.14698621595948655;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.28780428060229335;0.01468324974140624;0.23890105842610806;0.14698621595948655;0.0;0.0;0.13331334997803274;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.14698621595948655;0.01468324974140624;1.0;0.0;0.14698621595948655;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.14698621595948655;0.01468324974140624;0.01468324974140624;0.23890105842610806;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.14698621595948655;0.0;0.01468324974140624;0.0;0.0;0.23890105842610806;0.0
GO:0072086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1642658631441654;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051583;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.23717602614496414;0.0;0.036692364793703955;0.4340444084350962;0.23836258345490577;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.036692364793703955;0.0;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.23836258345490577;0.036692364793703955;0.0;0.036692364793703955;0.8009721289664703;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.036692364793703955;0.0;0.2671917332720723;0.4340444084350962;0.23836258345490577;0.21812588790229387;0.036692364793703955;0.036692364793703955;0.13331334997803274;0.16702085169111647;0.0;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.036692364793703955;0.16702085169111647;0.036692364793703955;0.036692364793703955;0.0;0.2671917332720723;0.0;0.14698621595948655;0.0;1.0;0.0;0.036692364793703955;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.23717602614496414;0.0;0.0;0.23836258345490577;0.036692364793703955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.31265525748836853;0.036692364793703955;0.0;0.036692364793703955;0.036692364793703955;0.23836258345490577;0.036692364793703955
GO:0003429;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.12408495164008174;0.01468324974140624;0.12408495164008174;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.1890450431733396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1890450431733396;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;1.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.12408495164008174;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.1302612429746404;0.01468324974140624;0.01468324974140624;0.1302612429746404;0.01468324974140624;0.0;0.12408495164008174;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0
GO:0070863;0.042064647228987374;0.3033452914461477;0.3033452914461477;0.0;0.0;0.11511873865597294;0.036692364793703955;0.0;0.036692364793703955;0.0;0.042064647228987374;0.042064647228987374;0.0;0.11511873865597294;0.0;0.0;0.0;0.0;0.0;0.3388013070303909;0.0;0.042064647228987374;0.0;0.0;0.042064647228987374;0.042064647228987374;0.3388013070303909;0.0;0.042064647228987374;0.0;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.11511873865597294;0.0;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.0;0.0;0.19673256925640645;0.042064647228987374;0.0;0.042064647228987374;0.0;0.042064647228987374;0.11511873865597294;0.042064647228987374;0.11511873865597294;0.036692364793703955;0.042064647228987374;0.11511873865597294;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;1.0;0.11511873865597294;0.0;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.3388013070303909;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3388013070303909;0.0;0.042064647228987374;0.042064647228987374;0.0;0.11511873865597294
GO:2000774;0.047799631016701725;0.12755981097713553;0.11511873865597294;0.0;0.0;0.11511873865597294;0.036692364793703955;0.0;0.036692364793703955;0.0;0.047799631016701725;0.042064647228987374;0.0;0.11511873865597294;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.20397374928165476;0.20397374928165476;0.047799631016701725;0.0;0.2611260707055071;0.0;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.11511873865597294;0.0;0.0;0.042064647228987374;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.20397374928165476;0.0;0.20397374928165476;0.12755981097713553;0.047799631016701725;0.2688665324497557;0.036692364793703955;0.047799631016701725;0.12755981097713553;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.11511873865597294;1.0;0.0;0.047799631016701725;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.1492331351584338;0.042064647228987374;0.0;0.2688665324497557
GO:0035338;0.01468324974140624;0.0;0.0;0.0;0.14450116634992752;0.0;0.14450116634992752;0.0;0.0;0.0;0.0;0.0;0.06886689890529227;0.0;0.06886689890529227;0.14450116634992752;0.14450116634992752;0.14450116634992752;0.14450116634992752;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.14450116634992752;0.0;0.0;0.0;0.0;0.0;0.06886689890529227;0.0;0.0;0.01468324974140624;0.0;0.0;0.5518059082353989;0.0;0.0;0.4705829239211909;0.0;0.14450116634992752;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;1.0;0.0;0.0;0.06886689890529227;0.0;0.21990385799841924;0.14450116634992752;0.21990385799841924;0.0;0.01468324974140624;0.0;0.14450116634992752;0.01468324974140624;0.0;0.0;0.0;0.4828467087500229;0.01468324974140624;0.0;0.14450116634992752;0.0;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.0;0.0;0.0
GO:0010951;0.13839445927415203;0.047799631016701725;0.17530917548795347;0.0;0.0;0.17530917548795347;0.036692364793703955;0.0;0.26943094905830245;0.0;0.13839445927415203;0.12804570306913615;0.0;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.047799631016701725;0.0;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.0;0.12804570306913615;0.0;0.042064647228987374;0.036692364793703955;0.0;0.12804570306913615;0.10567815125427765;0.0;0.0;0.12804570306913615;0.0;0.0;0.036692364793703955;0.0;0.0;0.047799631016701725;0.13839445927415203;0.0;0.047799631016701725;0.0;0.13839445927415203;0.047799631016701725;0.10577604256148812;0.047799631016701725;0.036692364793703955;0.13839445927415203;0.10900961301269105;0.0;0.0;0.0;0.0;0.0;0.036692364793703955;0.0;0.042064647228987374;0.047799631016701725;0.0;1.0;0.13839445927415203;0.0;0.0;0.0;0.0;0.0;0.047799631016701725;0.0;0.0;0.0;0.0;0.0;0.10900961301269105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13839445927415203;0.0;0.12804570306913615;0.042064647228987374;0.0;0.047799631016701725
