;GO:2000480;GO:0090179;GO:0016925;GO:0032693;GO:0046854;GO:0022008;GO:1902950;GO:0002237;GO:0001666;GO:0045892;GO:0001942;GO:0006958;GO:0002638;GO:0070207;GO:0019886;GO:0035556;GO:0033138;GO:0050710;GO:0032600;GO:0042308;GO:0007264;GO:0065004;GO:1902564;GO:0051260;GO:0007268;GO:0007266;GO:0009967;GO:0032956;GO:0002922;GO:0002768;GO:2000768;GO:0002924;GO:0001959;GO:0034614;GO:0051897;GO:0051017;GO:0051898;GO:0043406;GO:0035023;GO:0060267;GO:0045947;GO:0008284;GO:0045786;GO:0097190;GO:0045666;GO:0097193;GO:0038096;GO:0045944;GO:0010918;GO:0030889;GO:0048147;GO:0060828;GO:0070588;GO:2000774;GO:0050855;GO:0050731;GO:0050853;GO:0031295;GO:1900165;GO:0048701;GO:1904646;GO:0051281;GO:0043410;GO:0050982;GO:0002587;GO:0002224;GO:0002622;GO:0050860;GO:0001811;GO:0072112;GO:0016064;GO:0050869;GO:0001814;GO:0019731;GO:0050900;GO:0030595;GO:2001199;GO:0034394;GO:0061098;GO:0007179;GO:1901300;GO:0006366;GO:0090251;GO:0006367;GO:0002322;GO:0050871;GO:0051289;GO:0035914;GO:0002316;GO:0043031;GO:0016055;GO:0032485;GO:0019722;GO:0048041;GO:0071219;GO:0043318;GO:0007186;GO:0030183;GO:0042100;GO:0006898;GO:0042104;GO:0042986;GO:0032913;GO:0007218;GO:0051573;GO:0010628;GO:0002605;GO:0032597;GO:0072139;GO:0010469;GO:0031666;GO:0050766;GO:0030336;GO:0016567;GO:0050765;GO:0046718;GO:0006468;GO:0010839;GO:0000122;GO:0030449;GO:0000086;GO:0034644;GO:0018298;GO:0071356;GO:0035335;GO:0032467;GO:0050829;GO:0032461;GO:0006351;GO:0006355;GO:0007169;GO:0007565;GO:1905898;GO:0002430;GO:1901216;GO:0007204;GO:0009617;GO:0042094;GO:0071222;GO:0045087;GO:0070098;GO:0043066;GO:0042130;GO:0046330;GO:0043065;GO:0045088;GO:0071902
GO:0001942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006958;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;1.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.5555555555555556;0.0;0.0;0.36363636363636365;0.0;0.16666666666666666;0.36363636363636365;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.4;0.0;0.0;0.25;0.0;0.0;0.14285714285714285;0.0;0.36363636363636365;0.2;0.0;0.0;0.0;0.36363636363636365;0.2857142857142857;0.0;0.2857142857142857;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.16666666666666666;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.0;0.4;0.0;0.14285714285714285;0.3333333333333333;0.14285714285714285;0.3;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.0;0.3076923076923077;0.0;0.4444444444444444;0.0
GO:0002638;0.2;0.0;0.0;0.3;0.0;0.0;0.125;0.0;0.0;0.2727272727272727;0.0;0.0;1.0;0.0;0.0;0.0;0.14285714285714285;0.3;0.0;0.3;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.2;0.2;0.3;0.3;0.16666666666666666;0.4;0.2;0.0;0.16666666666666666;0.0;0.2727272727272727;0.15384615384615385;0.15384615384615385;0.2;0.25;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.15384615384615385;0.09090909090909091;0.36363636363636365;0.3;0.18181818181818182;0.0;0.2;0.3;0.14285714285714285;0.0;0.25;0.2727272727272727;0.0;0.0;0.18181818181818182;0.16666666666666666;0.0;0.4;0.0;0.3333333333333333;0.4444444444444444;0.4166666666666667;0.0;0.0;0.4;0.4166666666666667;0.0;0.0;0.0;0.4;0.0;0.07142857142857142;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.4444444444444444;0.0;0.15384615384615385;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.23076923076923078;0.15384615384615385;0.2727272727272727;0.0;0.2;0.18181818181818182;0.4444444444444444;0.0;0.0;0.1111111111111111;0.2;0.18181818181818182;0.3;0.0;0.3;0.0;0.0;0.2727272727272727;0.25;0.5;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.2;0.0;0.18181818181818182;0.058823529411764705;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.36363636363636365;0.15384615384615385;0.16666666666666666;0.3333333333333333;0.07142857142857142
GO:0070207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0019886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.1111111111111111;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035556;0.23076923076923078;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;1.0;0.2727272727272727;0.3333333333333333;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.0;0.0;0.375;0.42857142857142855;0.0;0.0;0.3;0.0;0.375;0.16666666666666666;0.3;0.0;0.3;0.2727272727272727;0.2727272727272727;0.0;0.3;0.42857142857142855;0.42857142857142855;0.0;0.0;0.5;0.0;0.2727272727272727;0.0;0.2727272727272727;0.375;0.3333333333333333;0.0;0.375;0.3333333333333333;0.2727272727272727;0.0;0.0;0.3;0.0;0.14285714285714285;0.375;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.25;0.3;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.0;0.14285714285714285;0.3333333333333333;0.2727272727272727;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.125;0.375;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.42857142857142855;0.0;0.375;0.1;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.2727272727272727;0.3;0.3333333333333333;0.0;0.0
GO:0033138;0.5384615384615384;0.0;0.0;0.15384615384615385;0.0;0.0;0.1;0.0;0.0;0.3076923076923077;0.0;0.0;0.14285714285714285;0.0;0.0;0.2727272727272727;1.0;0.23076923076923078;0.0;0.15384615384615385;0.25;0.0;0.23076923076923078;0.0;0.0;0.0;0.36363636363636365;0.2727272727272727;0.25;0.25;0.3076923076923077;0.14285714285714285;0.25;0.0;0.3076923076923077;0.0;0.21428571428571427;0.7272727272727273;0.2;0.4;0.4166666666666667;0.4;0.2727272727272727;0.2727272727272727;0.3076923076923077;0.25;0.0;0.38461538461538464;0.07692307692307693;0.2;0.25;0.23076923076923078;0.0;0.36363636363636365;0.23076923076923078;0.8;0.0;0.2857142857142857;0.21428571428571427;0.0;0.0;0.36363636363636365;0.8;0.0;0.14285714285714285;0.0;0.16666666666666666;0.21428571428571427;0.11764705882352941;0.0;0.0;0.21428571428571427;0.15384615384615385;0.0;0.0;0.0;0.23076923076923078;0.0;0.7272727272727273;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.23076923076923078;0.23076923076923078;0.2;0.23076923076923078;0.0;0.0;0.2;0.2727272727272727;0.0;0.0;0.0;0.26666666666666666;0.46153846153846156;0.14285714285714285;0.25;0.46153846153846156;0.45454545454545453;0.15384615384615385;0.0;0.0;0.25;0.2727272727272727;0.3333333333333333;0.23076923076923078;0.0;0.23076923076923078;0.0;0.0;0.23076923076923078;0.2857142857142857;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.3333333333333333;0.0;0.3333333333333333;0.23076923076923078;0.0;0.4;0.0;0.36363636363636365;0.05263157894736842;0.0;0.0;0.0;0.0;0.23076923076923078;0.23076923076923078;0.2;0.6666666666666666;0.3333333333333333;0.16666666666666666;0.7272727272727273
GO:0050710;0.2857142857142857;0.0;0.0;0.7142857142857143;0.0;0.0;0.14285714285714285;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;0.23076923076923078;1.0;0.0;0.5555555555555556;0.3;0.0;0.3333333333333333;0.0;0.0;0.0;0.3;0.3333333333333333;0.2;0.3;0.3;0.3;0.3;0.0;0.25;0.0;0.3;0.23076923076923078;0.23076923076923078;0.2222222222222222;0.36363636363636365;0.3333333333333333;0.5;0.3333333333333333;0.0;0.3;0.0;0.23076923076923078;0.1;0.2727272727272727;0.4444444444444444;0.2727272727272727;0.0;0.3;0.2727272727272727;0.23076923076923078;0.0;0.0;0.8571428571428571;0.0;0.0;0.3;0.25;0.0;0.3;0.0;0.2222222222222222;0.3333333333333333;0.23076923076923078;0.0;0.0;0.3;0.3333333333333333;0.0;0.0;0.0;0.4444444444444444;0.0;0.2;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.3333333333333333;0.0;0.23076923076923078;0.0;0.0;0.0;0.45454545454545453;0.3333333333333333;0.0;0.0;0.0;0.21428571428571427;0.25;0.625;0.3;0.2857142857142857;0.2;0.3333333333333333;0.0;0.0;0.3;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.0;0.4;0.0;0.0;0.4;0.2727272727272727;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.3;0.0625;0.0;0.0;0.0;0.0;0.0;0.4;0.2727272727272727;0.25;0.2727272727272727;0.2222222222222222;0.2
GO:0032600;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042308;0.21428571428571427;0.0;0.0;0.3333333333333333;0.0;0.0;0.14285714285714285;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.15384615384615385;0.5555555555555556;0.0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.2222222222222222;0.2222222222222222;0.2;0.0;0.18181818181818182;0.3;0.2222222222222222;0.0;0.18181818181818182;0.0;0.3;0.16666666666666666;0.16666666666666666;0.2222222222222222;0.2727272727272727;0.2222222222222222;0.375;0.0;0.0;0.0;0.0;0.16666666666666666;0.1;0.2727272727272727;0.3333333333333333;0.2;0.0;0.2222222222222222;0.2;0.15384615384615385;0.0;0.0;0.5;0.0;0.0;0.36363636363636365;0.18181818181818182;0.0;0.3;0.0;0.2222222222222222;0.3333333333333333;0.23076923076923078;0.0;0.0;0.3;0.3333333333333333;0.0;0.0;0.0;0.3;0.0;0.07692307692307693;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.15384615384615385;0.16666666666666666;0.3;0.0;0.21428571428571427;0.2;0.3333333333333333;0.0;0.0;0.125;0.2222222222222222;0.36363636363636365;0.3333333333333333;0.0;0.4444444444444444;0.0;0.0;0.3;0.2727272727272727;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.0;0.2;0.0;0.0;0.2222222222222222;0.0;0.2;0.0625;0.0;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;0.16666666666666666;0.18181818181818182;0.2222222222222222;0.07692307692307693
GO:0007264;0.0;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.5;0.25;0.3;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.375;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.14285714285714285;0.3;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.125;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.3333333333333333;0.1;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.3;0.0;0.0
GO:0065004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902564;0.2857142857142857;0.0;0.0;0.3333333333333333;0.0;0.0;0.14285714285714285;0.0;0.0;0.3;0.0;0.0;0.4444444444444444;0.0;0.0;0.3333333333333333;0.23076923076923078;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;0.3;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.25;0.4444444444444444;0.3;0.0;0.25;0.0;0.36363636363636365;0.23076923076923078;0.23076923076923078;0.2222222222222222;0.36363636363636365;0.3333333333333333;0.5;0.3333333333333333;0.0;0.0;0.0;0.23076923076923078;0.1;0.5555555555555556;0.4444444444444444;0.2727272727272727;0.0;0.3;0.3333333333333333;0.23076923076923078;0.0;0.4;0.36363636363636365;0.0;0.0;0.3;0.25;0.0;0.4444444444444444;0.0;0.375;0.5;0.3333333333333333;0.0;0.0;0.625;0.3333333333333333;0.0;0.0;0.0;0.4444444444444444;0.0;0.07692307692307693;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.7142857142857143;0.0;0.23076923076923078;0.0;0.0;0.0;0.5555555555555556;0.3333333333333333;0.0;0.0;0.0;0.36363636363636365;0.25;0.3;0.0;0.2857142857142857;0.2;0.5;0.0;0.0;0.125;0.2222222222222222;0.2727272727272727;0.4;0.0;0.4;0.0;0.0;0.4;0.3333333333333333;0.375;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.3;0.0625;0.0;0.0;0.0;0.0;0.0;0.4;0.5555555555555556;0.25;0.2727272727272727;0.375;0.07692307692307693
GO:0051260;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007268;0.0;0.0;0.07142857142857142;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.08333333333333333;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007266;0.0;0.0;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0009967;0.21428571428571427;0.0;0.0;0.2222222222222222;0.0;0.0;0.16666666666666666;0.0;0.0;0.2727272727272727;0.0;0.4444444444444444;0.2;0.0;0.0;0.375;0.36363636363636365;0.3;0.0;0.2222222222222222;0.0;0.0;0.3;0.0;0.0;0.0;1.0;0.375;0.5714285714285714;0.375;0.3333333333333333;0.3333333333333333;0.6666666666666666;0.0;0.7142857142857143;0.0;0.5;0.625;0.4444444444444444;0.42857142857142855;0.2727272727272727;0.5714285714285714;0.375;0.375;0.0;0.0;0.0;0.3;0.1111111111111111;0.25;0.3333333333333333;0.5714285714285714;0.0;0.6666666666666666;0.5714285714285714;0.36363636363636365;0.0;0.3;0.2727272727272727;0.0;0.0;0.5;0.7142857142857143;0.0;0.2;0.0;0.25;0.5;0.25;0.0;0.0;0.2727272727272727;0.2222222222222222;0.0;0.0;0.0;0.3;0.0;0.3076923076923077;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3;0.0;0.4444444444444444;0.0;0.0;0.0;0.25;0.375;0.0;0.0;0.0;0.2727272727272727;0.4;0.2;0.0;0.21428571428571427;0.375;0.2222222222222222;0.0;0.0;0.6666666666666666;0.8333333333333334;0.375;0.3;0.0;0.3;0.0;0.0;0.3;0.25;0.375;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.375;0.0;0.3;0.0;0.0;0.6666666666666666;0.0;0.5;0.06666666666666667;0.0;0.0;0.0;0.0;0.0;0.3;0.25;0.5555555555555556;0.4444444444444444;0.42857142857142855;0.3076923076923077
