;GO:0060760;GO:0016925;GO:0015031;GO:0042256;GO:0000463;GO:0030307;GO:0051123;GO:0000184;GO:0001701;GO:0000060;GO:0090502;GO:1902166;GO:0051260;GO:0006298;GO:0006974;GO:0006334;GO:0006610;GO:0045540;GO:0051131;GO:0000070;GO:0072734;GO:0033488;GO:2000001;GO:0032436;GO:0010389;GO:0034613;GO:0032435;GO:0034453;GO:0030490;GO:0002181;GO:0008285;GO:1900034;GO:1905323;GO:0006260;GO:0006261;GO:0008284;GO:0043928;GO:0043486;GO:0009259;GO:0042276;GO:0042795;GO:1902857;GO:0045944;GO:0048539;GO:0000398;GO:0000165;GO:0071157;GO:0000281;GO:0048146;GO:0032147;GO:0071158;GO:0016476;GO:0042327;GO:0007004;GO:0006397;GO:0007517;GO:0045040;GO:0030595;GO:0008380;GO:0007052;GO:0007179;GO:0008543;GO:0046777;GO:0051291;GO:0051170;GO:0006364;GO:0006122;GO:0006400;GO:0006367;GO:0006401;GO:0006119;GO:0000381;GO:0060271;GO:0008033;GO:0007223;GO:1901798;GO:1904667;GO:0043312;GO:0045454;GO:0006414;GO:0042501;GO:0006412;GO:0000387;GO:0030855;GO:0000154;GO:0010629;GO:0051973;GO:0006888;GO:0070072;GO:0001516;GO:0030178;GO:0018107;GO:0043966;GO:0007035;GO:0006986;GO:0000122;GO:0045471;GO:0000086;GO:0006614;GO:0060628;GO:0032986;GO:2000059;GO:0072717;GO:0007286;GO:0006351;GO:0007162;GO:0000921;GO:0006355;GO:0051085;GO:0006353;GO:0000245;GO:0006357;GO:0019371;GO:0000492;GO:0097711;GO:0006508;GO:0034599;GO:0009060
GO:0008285;0.48300749985576874;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.0;1.0;0.6000000000000001;0.0;0.0;0.0;0.8;0.6830074998557688;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.6830074998557688;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.48300749985576874;0.43852901558847923;0.4;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.23852901558847928;0.0;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0
GO:1900034;0.5356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.6830074998557688;0.3660149997115376;0.48300749985576874;0.0;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;1.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.48300749985576874;0.43852901558847923;0.3356143810225276;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.23852901558847928;0.0;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0
GO:1905323;0.0;0.3660149997115376;0.0;0.8;0.8;0.0;0.8;0.3356143810225276;0.0;0.0;0.4;0.0;0.8;0.43852901558847923;0.5356143810225276;0.8;0.0;0.0;0.8;0.8;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.8;0.0;0.0;1.0;0.48300749985576874;0.43852901558847923;0.0;0.8;0.8;0.48300749985576874;0.8;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.4;0.8;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.4;0.8;0.0;0.8;0.8;0.8;0.8;0.48300749985576874;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.4;0.0;0.4;0.8;0.2830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.8;0.8;0.0;0.8;0.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.5356143810225276;0.48300749985576874
GO:0006260;0.0;0.43852901558847923;0.0;0.48300749985576874;0.6000000000000001;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.6830074998557688;0.43852901558847923;0.5356143810225276;0.0;0.0;0.48300749985576874;0.5356143810225276;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.0;0.0;0.48300749985576874;1.0;1.0;0.0;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.8;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.0;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.6830074998557688;0.6000000000000001;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.0;0.0;0.48300749985576874;0.48300749985576874;0.8;0.48300749985576874;0.8;0.5356143810225276;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.5356143810225276;0.2599120563717816;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.4;0.5356143810225276;0.8;0.0;0.48300749985576874;0.0;0.43852901558847923;0.6830074998557688;0.5356143810225276;0.0;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.43852901558847923
GO:0006261;0.0;0.4;0.0;0.43852901558847923;0.5356143810225276;0.0;0.48300749985576874;0.4;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.6000000000000001;0.4;0.48300749985576874;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.5356143810225276;0.6000000000000001;0.0;0.0;0.43852901558847923;1.0;1.0;0.0;0.6000000000000001;0.48300749985576874;0.4;0.6830074998557688;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.0;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.0;0.0;0.43852901558847923;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.6830074998557688;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.48300749985576874;0.23852901558847928;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.3660149997115376;0.48300749985576874;0.6830074998557688;0.0;0.43852901558847923;0.0;0.4;0.6000000000000001;0.48300749985576874;0.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.4;0.4
GO:0008284;0.6000000000000001;0.0;0.0;0.0;0.0;0.8;0.0;0.3356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.3660149997115376;0.0;0.0;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;1.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.5356143810225276;0.6830074998557688;0.0;1.0;0.4;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.48300749985576874;0.5356143810225276;0.3356143810225276;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.23852901558847928;0.0;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043928;0.6000000000000001;0.48300749985576874;0.0;0.8;0.8;0.6000000000000001;0.8;0.8;0.0;0.0;0.6830074998557688;0.5356143810225276;0.8;0.6000000000000001;0.6000000000000001;0.8;0.0;0.6000000000000001;0.8;0.8;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.6000000000000001;0.8;0.8;0.6830074998557688;0.6000000000000001;0.8;0.6830074998557688;0.6000000000000001;0.6000000000000001;1.0;0.8;0.6000000000000001;0.8;0.8;0.48300749985576874;0.6000000000000001;0.0;0.8;0.8;0.5356143810225276;0.8;0.5356143810225276;0.4;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.8;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.8;0.8;1.0;0.6830074998557688;0.6000000000000001;0.8;0.8;0.8;0.48300749985576874;0.43852901558847923;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;0.8;0.8;1.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.8;0.3356143810225276;0.0;0.6830074998557688;0.0;0.8;0.0;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.8;0.8;0.6830074998557688;0.8;0.8;0.6000000000000001;0.8;0.8;0.6830074998557688;0.8;0.8;0.8;0.6830074998557688;0.6000000000000001;0.5356143810225276
GO:0043486;0.0;0.4;0.0;0.8;0.8;0.0;0.8;0.4;0.0;0.0;0.4;0.0;0.8;0.48300749985576874;0.6000000000000001;0.8;0.0;0.0;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.48300749985576874;0.0;0.8;1.0;0.48300749985576874;0.8;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.8;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.8;0.0;0.8;0.8;0.8;0.8;0.5356143810225276;0.6000000000000001;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.4;0.0;0.43852901558847923;0.8;0.3356143810225276;0.0;0.0;0.0;0.8;0.0;0.0;0.6830074998557688;0.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.0;0.6000000000000001;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.6000000000000001;0.48300749985576874
GO:0009259;0.0;0.3356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.4;0.0;0.48300749985576874;0.4;0.4;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.3356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.6000000000000001;0.6000000000000001;0.0;0.0;0.48300749985576874;0.43852901558847923;0.4;0.0;0.6000000000000001;0.48300749985576874;1.0;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.0;0.6000000000000001;0.5356143810225276;0.6000000000000001;0.6000000000000001;0.48300749985576874;0.6830074998557688;0.0;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.0;0.0;0.48300749985576874;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;0.4;0.0;0.5356143810225276;0.48300749985576874;0.23852901558847928;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.3660149997115376;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.0;0.4;0.6000000000000001;0.48300749985576874;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.4;0.4
GO:0042276;0.0;0.48300749985576874;0.0;0.8;0.8;0.0;0.8;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.8;0.8;1.0;0.8;0.0;0.0;0.8;0.8;0.5356143810225276;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.0;0.0;0.8;0.8;0.6830074998557688;0.0;0.8;0.8;0.6000000000000001;1.0;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.8;0.8;0.6830074998557688;0.6830074998557688;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.3356143810225276;0.6830074998557688;0.0;0.6000000000000001;0.8;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.8;0.8;0.0;0.8;0.0;0.6000000000000001;0.8;0.8;0.0;0.8;0.8;0.8;0.6830074998557688;0.8;0.5356143810225276
GO:0042795;0.0;0.43852901558847923;0.0;0.8;0.8;0.0;0.8;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.8;0.5356143810225276;0.5356143810225276;0.8;0.0;0.0;0.8;0.8;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.5356143810225276;0.0;0.8;0.8;0.6000000000000001;0.8;1.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.8;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.48300749985576874;0.8;0.0;0.8;0.8;0.8;0.8;0.6000000000000001;0.6000000000000001;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.48300749985576874;0.0;0.48300749985576874;0.8;0.2830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.8;0.8;0.0;0.8;0.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.8;0.8;0.6830074998557688;0.5356143810225276;0.5356143810225276
GO:1902857;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.2830074998557688;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.3660149997115376;0.3081136762725405;0.3356143810225276;0.0;0.2599120563717816;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;1.0;0.3660149997115376;0.0;0.0;0.4;0.43852901558847923;0.0;0.43852901558847923;0.2830074998557688;0.4;0.4;0.3660149997115376;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.4;0.4;0.2830074998557688;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.20000000000000007;0.0;0.3081136762725405;0.0;0.0;0.0;0.4;0.0;0.2830074998557688;0.0;0.0;0.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045944;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.0;0.3660149997115376;1.0;0.0;0.0;0.3660149997115376;0.4;0.0;0.4;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.4;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.18250743174993223;0.0;0.8;0.0;0.0;0.0;0.4;0.0;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000398;0.0;0.43852901558847923;0.0;0.8;0.8;0.0;0.8;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.8;0.5356143810225276;0.5356143810225276;0.8;0.0;0.0;0.8;0.8;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.8;0.0;0.0;0.8;0.6000000000000001;0.5356143810225276;0.0;0.8;0.8;0.6000000000000001;0.8;0.8;0.0;0.0;0.0;1.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;1.0;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.48300749985576874;0.8;0.0;0.8;0.8;0.8;0.8;0.6000000000000001;0.6000000000000001;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.48300749985576874;0.0;0.48300749985576874;0.8;0.2830074998557688;0.0;0.0;0.0;0.8;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.8;0.8;0.0;0.8;0.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.8;0.8;0.6830074998557688;0.5356143810225276;0.5356143810225276
GO:0000165;0.48300749985576874;0.48300749985576874;0.0;0.8;0.8;0.5356143810225276;0.8;0.4;0.0;0.0;0.4;0.43852901558847923;0.8;0.48300749985576874;0.6000000000000001;0.8;0.0;0.43852901558847923;0.8;0.8;0.48300749985576874;0.4;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.6000000000000001;0.8;0.8;0.5356143810225276;0.5356143810225276;0.8;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.8;0.8;0.48300749985576874;0.8;0.8;0.4;0.3660149997115376;0.0;0.8;1.0;0.48300749985576874;0.8;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.4;0.4;0.8;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.6830074998557688;0.8;0.0;0.8;0.8;0.8;0.8;0.5356143810225276;0.6000000000000001;0.3660149997115376;0.8;0.8;0.8;0.4;0.4;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.43852901558847923;0.0;0.8;0.4;0.43852901558847923;0.6830074998557688;0.8;0.3356143810225276;0.0;0.3660149997115376;0.0;0.8;0.0;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.5356143810225276;0.8;0.8;0.5356143810225276;0.8;0.43852901558847923;0.6000000000000001;0.8;0.8;0.4;0.8;0.8;0.8;0.5356143810225276;0.6000000000000001;0.48300749985576874
GO:0071157;0.5356143810225276;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.3356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.6000000000000001;0.4;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.6830074998557688;0.5356143810225276;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.48300749985576874;1.0;0.0;0.6000000000000001;0.3660149997115376;0.8;0.43852901558847923;0.48300749985576874;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.21862188087829626;0.0;0.4;0.0;0.0;0.0;0.5356143810225276;0.0;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000281;0.0;0.4;0.0;0.8;0.8;0.0;0.8;0.4;0.0;0.0;0.4;0.0;0.8;0.48300749985576874;0.6000000000000001;0.8;0.0;0.0;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.0;0.0;0.8;0.5356143810225276;0.48300749985576874;0.0;0.8;0.8;0.48300749985576874;0.8;0.8;0.0;0.0;0.0;0.8;0.8;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4;0.8;0.0;0.8;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.8;0.0;0.8;0.8;0.8;0.8;0.5356143810225276;0.6000000000000001;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.0;0.8;0.4;0.0;0.43852901558847923;0.8;0.3356143810225276;0.0;0.0;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.0;0.6000000000000001;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.6000000000000001;0.48300749985576874
GO:0048146;0.5356143810225276;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.3081136762725405;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.48300749985576874;0.4;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.0;0.6830074998557688;0.5356143810225276;0.0;0.0;0.0;1.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;1.0;0.3660149997115376;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3081136762725405;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.21862188087829626;0.0;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032147;0.3356143810225276;0.0;0.0;0.0;0.0;0.4;0.0;0.2830074998557688;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.3081136762725405;0.4;0.2830074998557688;0.0;0.3356143810225276;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.2830074998557688;0.3660149997115376;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;1.0;0.3356143810225276;0.2830074998557688;0.6830074998557688;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.3660149997115376;0.3081136762725405;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.6000000000000001;0.0;0.0;0.0;0.2830074998557688;0.0;0.0;0.18250743174993223;0.0;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0
