;GO:2000480;GO:0061333;GO:0032693;GO:1902950;GO:0002634;GO:0071498;GO:0071374;GO:0002638;GO:0001947;GO:2000111;GO:0019886;GO:0050710;GO:0042308;GO:1902564;GO:0060998;GO:0045652;GO:0002922;GO:0002924;GO:0014902;GO:0030890;GO:0051898;GO:1905563;GO:0060025;GO:0045947;GO:1904753;GO:0002062;GO:0045666;GO:0045663;GO:0038096;GO:0045669;GO:0045944;GO:0043401;GO:0043524;GO:0000165;GO:0051145;GO:0030889;GO:0071277;GO:0001649;GO:0050731;GO:0050853;GO:0043537;GO:0046928;GO:1900165;GO:0060536;GO:1904646;GO:0048667;GO:0048666;GO:0043410;GO:0001782;GO:0007517;GO:0002467;GO:0002622;GO:0001811;GO:0016064;GO:0050869;GO:0001814;GO:2001199;GO:0060045;GO:0055012;GO:0006366;GO:0006367;GO:0035914;GO:0002316;GO:0043031;GO:0048167;GO:0030220;GO:2000311;GO:2000310;GO:0030224;GO:0071219;GO:0010694;GO:0014898;GO:0051966;GO:0030501;GO:0051963;GO:0043318;GO:0014033;GO:0030182;GO:0042100;GO:1904706;GO:0006898;GO:2000727;GO:0071560;GO:0002605;GO:2001016;GO:0010469;GO:0031666;GO:0050766;GO:0035984;GO:0050765;GO:0090073;GO:0000122;GO:0060297;GO:0035176;GO:0035690;GO:0007166;GO:1905898;GO:0072160;GO:1901216;GO:0006357;GO:0030318;GO:0009617;GO:0071222;GO:2000987;GO:0045087;GO:0046330;GO:0045088;GO:0071864;GO:0030279
GO:0045669;0.3081136762725405;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.48300749985576874;0.4;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.3660149997115376;0.0;0.43852901558847923;0.4;0.4;0.48300749985576874;0.4;0.3660149997115376;0.0;0.6000000000000001;0.8;0.43852901558847923;1.0;0.4;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.0;0.48300749985576874;0.3356143810225276;0.0;0.0;0.43852901558847923;0.2830074998557688;0.0;0.4;0.4;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.4;0.0;0.43852901558847923;0.8;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.0;0.6830074998557688;0.0;0.4;0.8;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.6000000000000001;0.0;0.0;0.5356143810225276;0.6830074998557688;0.0;0.6000000000000001;0.4;0.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.43852901558847923;0.6000000000000001;0.6830074998557688
GO:0045944;0.2830074998557688;0.0;0.3356143810225276;0.4;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.3081136762725405;0.0;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.4;0.3081136762725405;0.0;0.3356143810225276;0.3081136762725405;0.3081136762725405;0.4;0.48300749985576874;0.2830074998557688;0.0;0.3660149997115376;0.4;0.3660149997115376;0.4;1.0;0.3660149997115376;0.3356143810225276;0.3660149997115376;0.0;0.2830074998557688;0.0;0.0;0.4;0.3660149997115376;0.3081136762725405;0.4;0.3081136762725405;0.0;0.0;0.0;0.0;0.4;0.2830074998557688;0.0;0.0;0.3660149997115376;0.23852901558847928;0.0;0.3081136762725405;0.3356143810225276;0.3356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.3356143810225276;0.0;0.3356143810225276;0.4;0.4;0.2830074998557688;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.0;0.3356143810225276;0.4;0.3660149997115376;0.43852901558847923;0.4;0.0;0.3356143810225276;0.2830074998557688;0.8;0.3660149997115376;0.0;0.0;0.4;0.43852901558847923;0.0;0.4;1.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.3660149997115376;0.4;0.3660149997115376
GO:0043401;0.3356143810225276;0.0;0.43852901558847923;0.8;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.4;0.0;0.3660149997115376;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.8;0.48300749985576874;0.43852901558847923;0.4;0.8;0.3660149997115376;0.4;0.4;0.8;0.4;0.3660149997115376;0.8;0.8;0.48300749985576874;0.8;0.48300749985576874;0.3660149997115376;1.0;0.43852901558847923;0.8;0.8;0.3660149997115376;0.48300749985576874;0.8;0.3660149997115376;0.8;0.4;0.5356143810225276;0.4;0.0;0.48300749985576874;0.8;0.8;0.4;0.5356143810225276;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.4;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.6000000000000001;0.8;0.43852901558847923;0.43852901558847923;0.8;0.8;0.4;0.0;0.43852901558847923;0.43852901558847923;0.8;0.3660149997115376;0.8;0.8;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.0;0.6000000000000001;0.8;0.5356143810225276;0.8;0.48300749985576874;0.4;0.8;0.0;0.8;0.48300749985576874;0.0;0.4;0.48300749985576874;0.48300749985576874;0.48300749985576874
GO:0043524;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.4;0.0;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.4;0.43852901558847923;0.3660149997115376;0.4;0.0;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.4;0.43852901558847923;0.4;0.43852901558847923;0.3356143810225276;0.43852901558847923;1.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.3356143810225276;0.4;0.4;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.3081136762725405;0.0;0.0;0.4;0.3081136762725405;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.4;0.0;0.4;0.4;0.0;0.0;0.3081136762725405;0.0;0.4;0.3660149997115376;0.43852901558847923;0.4;0.0;0.0;0.0;0.48300749985576874;0.0;0.4;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.4;0.0;0.48300749985576874;0.3081136762725405;0.4;0.43852901558847923;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.6830074998557688;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.3660149997115376;0.4;0.43852901558847923;0.48300749985576874
GO:0000165;0.3356143810225276;0.0;0.43852901558847923;0.8;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.4;0.0;0.3660149997115376;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.8;0.48300749985576874;0.43852901558847923;0.4;0.8;0.3660149997115376;0.4;0.4;0.8;0.4;0.3660149997115376;0.8;0.8;0.48300749985576874;0.8;0.48300749985576874;0.3660149997115376;0.8;0.43852901558847923;1.0;0.8;0.3660149997115376;0.48300749985576874;0.8;0.3660149997115376;0.8;0.4;0.5356143810225276;0.4;0.0;0.48300749985576874;0.8;0.8;0.4;0.5356143810225276;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.4;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.6000000000000001;0.8;0.43852901558847923;0.43852901558847923;0.8;0.8;0.4;0.0;0.43852901558847923;0.43852901558847923;0.8;0.3660149997115376;0.8;0.8;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.0;0.6000000000000001;0.8;0.5356143810225276;0.8;0.48300749985576874;0.4;0.8;0.0;0.8;0.48300749985576874;0.0;0.4;0.48300749985576874;0.48300749985576874;0.48300749985576874
GO:0051145;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;1.0;0.0;0.43852901558847923;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.43852901558847923;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030889;0.2830074998557688;0.0;0.4;0.4;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.2830074998557688;0.0;0.4;0.4;0.6000000000000001;0.3660149997115376;0.4;0.4;0.43852901558847923;0.0;0.8;0.3660149997115376;0.43852901558847923;0.4;0.3660149997115376;0.3356143810225276;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.3660149997115376;0.4;0.3660149997115376;0.0;1.0;0.0;0.0;0.2830074998557688;0.3660149997115376;0.3660149997115376;0.4;0.3660149997115376;0.0;0.0;0.0;0.0;0.3081136762725405;0.2830074998557688;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;1.0;0.4;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.3660149997115376;0.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.2599120563717816;0.0;0.3356143810225276;0.3356143810225276;0.4;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;0.0;0.3356143810225276;0.0;0.48300749985576874;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.0;0.4;0.2830074998557688;0.3356143810225276;0.3660149997115376;0.0;0.0;0.4;0.4;0.0;0.3660149997115376;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.0;0.3081136762725405;0.43852901558847923;0.43852901558847923;0.43852901558847923
GO:0071277;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.0;1.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.3660149997115376;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.0
GO:0001649;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.43852901558847923;1.0;0.0;0.8;0.0;0.0;0.0;0.8;0.43852901558847923;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050731;0.48300749985576874;0.0;0.3081136762725405;0.3660149997115376;0.3356143810225276;0.0;0.0;0.2830074998557688;0.0;0.3356143810225276;0.0;0.3356143810225276;0.3081136762725405;0.3356143810225276;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.0;0.3356143810225276;0.3081136762725405;0.3081136762725405;0.3660149997115376;0.43852901558847923;0.2830074998557688;0.0;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.4;0.3660149997115376;0.3356143810225276;0.3660149997115376;0.0;0.2830074998557688;0.0;0.0;1.0;0.3356143810225276;0.2830074998557688;0.4;0.3081136762725405;0.0;0.0;0.0;0.0;0.8;0.2599120563717816;0.0;0.0;0.3356143810225276;0.21862188087829626;0.0;0.3081136762725405;0.3081136762725405;0.3356143810225276;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.48300749985576874;0.0;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.2830074998557688;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.0;0.3081136762725405;0.43852901558847923;0.3660149997115376;0.4;0.4;0.0;0.3356143810225276;0.2599120563717816;0.3356143810225276;0.3660149997115376;0.0;0.0;0.4;0.48300749985576874;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.6000000000000001;0.3356143810225276;0.43852901558847923;0.3356143810225276
GO:0050853;0.3356143810225276;0.0;0.43852901558847923;0.8;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.4;0.0;0.3356143810225276;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;0.4;0.8;0.3660149997115376;0.4;0.3660149997115376;0.8;0.3660149997115376;0.3660149997115376;0.8;0.8;0.43852901558847923;0.8;0.43852901558847923;0.3660149997115376;0.8;0.4;0.8;0.8;0.3660149997115376;0.48300749985576874;0.8;0.3356143810225276;1.0;0.4;0.5356143810225276;0.4;0.0;0.48300749985576874;0.8;0.8;0.4;0.5356143810225276;0.0;0.8;0.48300749985576874;0.3081136762725405;0.43852901558847923;0.4;0.43852901558847923;0.4;0.43852901558847923;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.6000000000000001;0.8;0.43852901558847923;0.43852901558847923;0.8;0.8;0.4;0.0;0.43852901558847923;0.43852901558847923;0.8;0.3660149997115376;0.8;0.8;0.48300749985576874;0.4;0.0;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.0;0.6000000000000001;0.8;0.48300749985576874;0.8;0.43852901558847923;0.4;0.8;0.0;0.8;0.48300749985576874;0.6000000000000001;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.48300749985576874
GO:0043537;0.2830074998557688;0.0;0.5356143810225276;0.43852901558847923;0.4;0.0;0.0;0.4;0.0;0.2830074998557688;0.0;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.4;0.4;0.3660149997115376;0.4;0.0;0.3081136762725405;0.4;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.5356143810225276;0.0;0.4;0.3660149997115376;0.4;0.43852901558847923;0.3081136762725405;0.4;0.4;0.4;0.0;0.3660149997115376;0.0;0.0;0.2830074998557688;0.4;1.0;0.4;0.48300749985576874;0.0;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.4;0.3081136762725405;0.0;0.4;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.2830074998557688;0.0;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.4;0.4;0.3660149997115376;0.0;0.43852901558847923;0.3081136762725405;0.3660149997115376;0.4;0.0;0.0;0.4;0.4;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.0;0.43852901558847923;0.0;0.3081136762725405;0.4;0.3660149997115376;0.6000000000000001
GO:0046928;0.3356143810225276;0.0;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.0;0.0;0.4;0.0;0.4;0.0;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.4;0.0;0.4;0.43852901558847923;0.43852901558847923;0.8;0.43852901558847923;0.4;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.4;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.0;0.4;0.0;0.0;0.4;0.5356143810225276;0.4;1.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.8;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.8;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.0;0.5356143810225276;0.4;0.4;0.5356143810225276;0.0;0.0;0.6000000000000001;0.6000000000000001;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.48300749985576874
GO:1900165;0.3081136762725405;0.0;0.6830074998557688;0.43852901558847923;0.4;0.0;0.0;0.4;0.0;0.3081136762725405;0.0;1.0;0.5356143810225276;0.43852901558847923;0.4;0.4;0.3660149997115376;0.4;0.0;0.3081136762725405;0.4;0.4;0.43852901558847923;0.4;0.3660149997115376;0.0;0.4;0.4;0.4;0.43852901558847923;0.3081136762725405;0.4;0.43852901558847923;0.4;0.0;0.3660149997115376;0.0;0.0;0.3081136762725405;0.4;0.48300749985576874;0.5356143810225276;1.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.4;0.3081136762725405;0.0;0.4;0.43852901558847923;0.48300749985576874;0.4;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.2830074998557688;0.0;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.43852901558847923;0.4;0.4;0.4;0.3660149997115376;0.0;0.43852901558847923;0.3081136762725405;0.3660149997115376;0.4;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.4;0.3356143810225276;0.0;0.0;0.0;0.43852901558847923;0.0;0.3356143810225276;0.4;0.4;0.6000000000000001
GO:0060536;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1904646;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;1.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.3660149997115376;0.6830074998557688;0.0;0.43852901558847923;0.0;0.0;0.0;0.0
GO:0048667;0.0;0.8;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.48300749985576874;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.48300749985576874;1.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048666;0.0;0.8;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.48300749985576874;0.8;0.0;0.8;0.0;0.0;0.0;0.8;0.48300749985576874;0.8;1.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043410;0.48300749985576874;0.0;0.3660149997115376;0.43852901558847923;0.4;0.0;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.4;0.4;0.5356143810225276;0.4;0.0;0.3660149997115376;0.6000000000000001;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.3081136762725405;0.0;0.4;0.48300749985576874;0.4;0.48300749985576874;0.4;0.4;0.3660149997115376;0.4;0.0;0.3081136762725405;0.0;0.0;0.8;0.4;0.3356143810225276;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.0;1.0;0.3081136762725405;0.0;0.0;0.4;0.3081136762725405;0.0;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.6000000000000001;0.6830074998557688;0.43852901558847923;0.0;0.3660149997115376;0.3081136762725405;0.3356143810225276;0.4;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.48300749985576874;0.4
GO:0001782;0.2599120563717816;0.0;0.3356143810225276;0.5356143810225276;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.2599120563717816;0.43852901558847923;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.5356143810225276;0.3356143810225276;0.3356143810225276;0.3081136762725405;0.0;0.2830074998557688;0.3081136762725405;0.2830074998557688;0.5356143810225276;0.2830074998557688;0.2830074998557688;0.0;0.5356143810225276;0.3356143810225276;0.5356143810225276;0.3356143810225276;0.2830074998557688;0.5356143810225276;0.3081136762725405;0.5356143810225276;0.0;0.2830074998557688;0.0;0.0;0.2599120563717816;0.5356143810225276;0.3081136762725405;0.43852901558847923;0.3081136762725405;0.0;0.0;0.0;0.0;0.3081136762725405;1.0;0.0;0.5356143810225276;0.3660149997115376;0.23852901558847928;0.4;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.3356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.3356143810225276;0.48300749985576874;0.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.3081136762725405;0.0;0.3356143810225276;0.3356143810225276;0.5356143810225276;0.2830074998557688;0.0;0.0;0.43852901558847923;0.3081136762725405;0.0;0.3356143810225276;0.0;0.3356143810225276;0.3356143810225276;0.43852901558847923;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.3356143810225276;0.2830074998557688;0.3660149997115376;0.0;0.0;0.5356143810225276;0.3660149997115376;0.0;0.3356143810225276;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.5356143810225276;0.2830074998557688;0.3660149997115376;0.3356143810225276;0.3660149997115376
