;GO:2000480;GO:0061333;GO:0032693;GO:1902950;GO:0002634;GO:0071498;GO:0071374;GO:0002638;GO:0001947;GO:2000111;GO:0019886;GO:0050710;GO:0042308;GO:1902564;GO:0060998;GO:0045652;GO:0002922;GO:0002924;GO:0014902;GO:0030890;GO:0051898;GO:1905563;GO:0060025;GO:0045947;GO:1904753;GO:0002062;GO:0045666;GO:0045663;GO:0038096;GO:0045669;GO:0045944;GO:0043401;GO:0043524;GO:0000165;GO:0051145;GO:0030889;GO:0071277;GO:0001649;GO:0050731;GO:0050853;GO:0043537;GO:0046928;GO:1900165;GO:0060536;GO:1904646;GO:0048667;GO:0048666;GO:0043410;GO:0001782;GO:0007517;GO:0002467;GO:0002622;GO:0001811;GO:0016064;GO:0050869;GO:0001814;GO:2001199;GO:0060045;GO:0055012;GO:0006366;GO:0006367;GO:0035914;GO:0002316;GO:0043031;GO:0048167;GO:0030220;GO:2000311;GO:2000310;GO:0030224;GO:0071219;GO:0010694;GO:0014898;GO:0051966;GO:0030501;GO:0051963;GO:0043318;GO:0014033;GO:0030182;GO:0042100;GO:1904706;GO:0006898;GO:2000727;GO:0071560;GO:0002605;GO:2001016;GO:0010469;GO:0031666;GO:0050766;GO:0035984;GO:0050765;GO:0090073;GO:0000122;GO:0060297;GO:0035176;GO:0035690;GO:0007166;GO:1905898;GO:0072160;GO:1901216;GO:0006357;GO:0030318;GO:0009617;GO:0071222;GO:2000987;GO:0045087;GO:0046330;GO:0045088;GO:0071864;GO:0030279
GO:1905563;0.26666666666666666;0.0;0.2727272727272727;0.1111111111111111;0.18181818181818182;0.0;0.0;0.25;0.0;0.21428571428571427;0.0;0.36363636363636365;0.2727272727272727;0.36363636363636365;0.0;0.2727272727272727;0.16666666666666666;0.25;0.0;0.3076923076923077;0.3333333333333333;1.0;0.1111111111111111;0.3333333333333333;0.3076923076923077;0.0;0.0;0.2727272727272727;0.0;0.2727272727272727;0.21428571428571427;0.2727272727272727;0.36363636363636365;0.2727272727272727;0.0;0.4166666666666667;0.0;0.0;0.21428571428571427;0.0;0.25;0.3;0.3333333333333333;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.18181818181818182;0.2;0.0;0.3333333333333333;0.2727272727272727;0.36363636363636365;0.4;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.1;0.0;0.25;0.25;0.0;0.0;0.2;0.0;0.25;0.16666666666666666;0.1111111111111111;0.3076923076923077;0.0;0.0;0.0;0.5;0.0;0.25;0.0;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.25;0.25;0.0;0.36363636363636365;0.07692307692307693;0.3076923076923077;0.2727272727272727;0.0;0.0;0.3;0.3;0.0;0.2727272727272727;0.23076923076923078;0.0;0.0;0.0;0.18181818181818182;0.0;0.23076923076923078;0.18181818181818182;0.4;0.3
GO:0060025;0.1;0.0;0.14285714285714285;0.3333333333333333;0.16666666666666666;0.0;0.0;0.125;0.0;0.1;0.0;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.125;0.0;0.1111111111111111;0.125;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.1111111111111111;0.0;0.125;0.0;0.0;0.1111111111111111;0.0;0.0;0.1;0.0;0.125;0.7142857142857143;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.09090909090909091;0.0;0.125;0.14285714285714285;0.125;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.7142857142857143;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.125;0.0;0.7142857142857143;0.14285714285714285;0.3333333333333333;0.1111111111111111;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.25;0.16666666666666666;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.1111111111111111;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.14285714285714285;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.1111111111111111;0.16666666666666666;0.14285714285714285;0.16666666666666666
GO:0045947;0.46153846153846156;0.0;0.2727272727272727;0.1111111111111111;0.18181818181818182;0.0;0.0;0.25;0.0;0.21428571428571427;0.0;0.36363636363636365;0.2727272727272727;0.36363636363636365;0.0;0.2727272727272727;0.16666666666666666;0.25;0.0;0.21428571428571427;0.3333333333333333;0.3333333333333333;0.1111111111111111;1.0;0.3076923076923077;0.0;0.0;0.2727272727272727;0.0;0.2727272727272727;0.5;0.2727272727272727;0.36363636363636365;0.2727272727272727;0.0;0.3076923076923077;0.0;0.0;0.4166666666666667;0.0;0.25;0.3;0.3333333333333333;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.18181818181818182;0.2;0.0;0.3333333333333333;0.2727272727272727;0.36363636363636365;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.25;0.0;0.25;0.25;0.0;0.0;0.2857142857142857;0.0;0.25;0.16666666666666666;0.2727272727272727;0.3076923076923077;0.0;0.0;0.0;0.36363636363636365;0.0;0.25;0.0;0.2727272727272727;0.2727272727272727;0.2727272727272727;0.25;0.25;0.0;0.36363636363636365;0.07692307692307693;0.6363636363636364;0.2727272727272727;0.0;0.0;0.3;0.3;0.0;0.2727272727272727;0.5454545454545454;0.0;0.0;0.0;0.18181818181818182;0.0;0.35714285714285715;0.18181818181818182;0.2727272727272727;0.3
GO:1904753;0.25;0.0;0.2727272727272727;0.1111111111111111;0.18181818181818182;0.0;0.0;0.25;0.0;0.2;0.0;0.2727272727272727;0.2727272727272727;0.3333333333333333;0.0;0.25;0.16666666666666666;0.25;0.0;0.2;0.3076923076923077;0.3076923076923077;0.1111111111111111;0.3076923076923077;1.0;0.0;0.0;0.25;0.0;0.25;0.2;0.0;0.3333333333333333;0.0;0.0;0.2857142857142857;0.0;0.0;0.2;0.0;0.5454545454545454;0.2727272727272727;0.3076923076923077;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.18181818181818182;0.2;0.0;0.3076923076923077;0.2727272727272727;0.3333333333333333;0.25;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.1;0.0;0.23076923076923078;0.23076923076923078;0.0;0.0;0.07142857142857142;0.0;0.23076923076923078;0.16666666666666666;0.1111111111111111;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.0;0.23076923076923078;0.0;0.2727272727272727;0.25;0.1;0.18181818181818182;0.23076923076923078;0.0;0.3333333333333333;0.07692307692307693;0.2857142857142857;0.25;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.25;0.21428571428571427;0.0;0.0;0.0;0.18181818181818182;0.0;0.21428571428571427;0.18181818181818182;0.25;0.3
GO:0002062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5555555555555556;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.4444444444444444;0.0;0.4;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.4;0.0
GO:0045663;0.21428571428571427;0.0;0.2;0.14285714285714285;0.375;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.0;0.3;0.2;0.3;0.0;0.5;0.3333333333333333;0.18181818181818182;0.0;0.36363636363636365;0.2727272727272727;0.2727272727272727;0.14285714285714285;0.2727272727272727;0.25;0.0;0.5555555555555556;1.0;0.0;0.7142857142857143;0.3333333333333333;0.3333333333333333;0.3;0.3333333333333333;0.0;0.25;0.0;0.0;0.36363636363636365;0.0;0.18181818181818182;0.375;0.2727272727272727;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.2222222222222222;0.14285714285714285;0.0;0.2727272727272727;0.2;0.4444444444444444;0.5;0.0;0.0;0.0;0.0;0.0;0.3;0.125;0.0;0.3;0.3;0.0;0.0;0.3333333333333333;0.0;0.3;0.5;0.14285714285714285;0.25;0.0;0.0;0.0;0.3;0.0;0.625;0.0;0.2;0.7142857142857143;0.3333333333333333;0.4444444444444444;0.4444444444444444;0.0;0.3;0.09090909090909091;0.25;0.5;0.0;0.0;0.375;0.5714285714285714;0.0;0.5;0.2727272727272727;0.0;0.0;0.0;0.375;0.0;0.2727272727272727;0.2222222222222222;0.5;0.2222222222222222
GO:0038096;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0
GO:0045669;0.21428571428571427;0.0;0.3333333333333333;0.14285714285714285;0.375;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.0;0.3333333333333333;0.2;0.3;0.0;0.5;0.3333333333333333;0.18181818181818182;0.0;0.36363636363636365;0.2727272727272727;0.2727272727272727;0.14285714285714285;0.2727272727272727;0.25;0.0;0.5555555555555556;0.7142857142857143;0.0;1.0;0.2727272727272727;0.3333333333333333;0.3;0.3333333333333333;0.0;0.25;0.0;0.0;0.36363636363636365;0.0;0.3;0.375;0.3;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.2222222222222222;0.14285714285714285;0.0;0.2727272727272727;0.2;0.4444444444444444;0.5;0.0;0.0;0.0;0.0;0.0;0.3;0.125;0.0;0.3;0.3;0.0;0.0;0.3333333333333333;0.0;0.3;0.7142857142857143;0.14285714285714285;0.25;0.0;0.0;0.0;0.3;0.0;0.625;0.0;0.2;0.7142857142857143;0.3333333333333333;0.375;0.4444444444444444;0.0;0.3;0.09090909090909091;0.25;0.5;0.0;0.0;0.375;0.5714285714285714;0.0;0.5;0.2727272727272727;0.0;0.0;0.0;0.5;0.0;0.2727272727272727;0.2222222222222222;0.5;0.5714285714285714
GO:0045944;0.25;0.0;0.16666666666666666;0.1111111111111111;0.18181818181818182;0.0;0.0;0.15384615384615385;0.0;0.21428571428571427;0.0;0.23076923076923078;0.16666666666666666;0.23076923076923078;0.0;0.25;0.2727272727272727;0.15384615384615385;0.0;0.23076923076923078;0.21428571428571427;0.21428571428571427;0.1111111111111111;0.5;0.2;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;1.0;0.25;0.23076923076923078;0.25;0.0;0.2;0.0;0.0;0.38461538461538464;0.0;0.15384615384615385;0.2727272727272727;0.21428571428571427;0.0;0.0;0.0;0.0;0.38461538461538464;0.0;0.0;0.0;0.18181818181818182;0.125;0.0;0.21428571428571427;0.16666666666666666;0.23076923076923078;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.1;0.0;0.23076923076923078;0.23076923076923078;0.0;0.0;0.2857142857142857;0.0;0.23076923076923078;0.2727272727272727;0.1111111111111111;0.2;0.0;0.0;0.0;0.23076923076923078;0.0;0.2727272727272727;0.0;0.16666666666666666;0.2727272727272727;0.25;0.3;0.2727272727272727;0.0;0.23076923076923078;0.07692307692307693;0.7777777777777778;0.25;0.0;0.0;0.2727272727272727;0.3;0.0;0.2727272727272727;0.875;0.0;0.0;0.0;0.3;0.0;0.3333333333333333;0.18181818181818182;0.2727272727272727;0.18181818181818182
GO:0043401;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.25;0.0;0.3;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.25;0.0;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.25;1.0;0.3;0.0;0.0;0.0;0.14285714285714285;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.375;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0
GO:0043524;0.2857142857142857;0.0;0.3;0.125;0.2;0.0;0.0;0.2727272727272727;0.0;0.5454545454545454;0.0;0.4;0.3;0.4;0.0;0.3;0.18181818181818182;0.2727272727272727;0.0;0.23076923076923078;0.36363636363636365;0.36363636363636365;0.125;0.36363636363636365;0.3333333333333333;0.0;0.0;0.3;0.0;0.3;0.23076923076923078;0.3;1.0;0.3;0.0;0.3333333333333333;0.0;0.0;0.23076923076923078;0.0;0.2727272727272727;0.3333333333333333;0.36363636363636365;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.2;0.21428571428571427;0.0;0.36363636363636365;0.3;0.4;0.3;0.0;0.0;0.0;0.0;0.0;0.4;0.1111111111111111;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.21428571428571427;0.0;0.2727272727272727;0.18181818181818182;0.125;0.3333333333333333;0.0;0.0;0.0;0.4;0.0;0.2727272727272727;0.0;0.3;0.3;0.3;0.2727272727272727;0.2727272727272727;0.0;0.4;0.08333333333333333;0.3333333333333333;0.3;0.0;0.0;0.3333333333333333;0.3333333333333333;0.0;0.625;0.25;0.0;0.0;0.0;0.2;0.0;0.25;0.2;0.3;0.3333333333333333
GO:0000165;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.25;0.0;0.3;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.25;0.0;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.25;0.0;0.3;1.0;0.0;0.25;0.14285714285714285;0.0;0.25;0.0;0.0;0.375;0.2727272727272727;0.0;0.14285714285714285;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.25;0.0;0.0;0.0;0.3;0.0;0.3;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.16666666666666666;0.3;0.0;0.25;0.3333333333333333;0.0;0.2;0.0;0.375;0.0;0.3333333333333333;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0
GO:0051145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030889;0.25;0.0;0.2727272727272727;0.1111111111111111;0.25;0.0;0.0;0.36363636363636365;0.0;0.2;0.0;0.2727272727272727;0.2727272727272727;0.5555555555555556;0.0;0.2727272727272727;0.2727272727272727;0.36363636363636365;0.0;0.7777777777777778;0.3076923076923077;0.4166666666666667;0.1111111111111111;0.3076923076923077;0.2857142857142857;0.0;0.0;0.25;0.0;0.25;0.2;0.0;0.3333333333333333;0.25;0.0;1.0;0.0;0.0;0.2;0.0;0.25;0.2727272727272727;0.25;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.3;0.2857142857142857;0.0;0.875;0.2727272727272727;0.36363636363636365;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.1;0.0;0.23076923076923078;0.23076923076923078;0.0;0.0;0.1875;0.0;0.23076923076923078;0.16666666666666666;0.1111111111111111;0.6;0.0;0.0;0.0;0.45454545454545453;0.0;0.23076923076923078;0.0;0.4;0.25;0.25;0.18181818181818182;0.23076923076923078;0.0;0.2727272727272727;0.07692307692307693;0.23076923076923078;0.25;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.25;0.21428571428571427;0.0;0.0;0.0;0.18181818181818182;0.0;0.21428571428571427;0.3;0.36363636363636365;0.3
GO:0071277;0.0;0.0;0.0;0.0;0.0;0.25;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;1.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.3333333333333333;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.25;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.09090909090909091;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.125;0.0;0.0;0.0;0.0
GO:0001649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050731;0.5384615384615384;0.0;0.15384615384615385;0.1;0.16666666666666666;0.0;0.0;0.14285714285714285;0.0;0.2857142857142857;0.0;0.23076923076923078;0.15384615384615385;0.23076923076923078;0.0;0.25;0.25;0.14285714285714285;0.0;0.2857142857142857;0.21428571428571427;0.21428571428571427;0.1;0.4166666666666667;0.2;0.0;0.3076923076923077;0.36363636363636365;0.0;0.36363636363636365;0.38461538461538464;0.25;0.23076923076923078;0.25;0.0;0.2;0.0;0.0;1.0;0.0;0.14285714285714285;0.2727272727272727;0.21428571428571427;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.16666666666666666;0.11764705882352941;0.0;0.21428571428571427;0.15384615384615385;0.23076923076923078;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.23076923076923078;0.0;0.23076923076923078;0.23076923076923078;0.0;0.0;0.5384615384615384;0.0;0.23076923076923078;0.25;0.25;0.2;0.0;0.0;0.0;0.23076923076923078;0.0;0.3333333333333333;0.0;0.15384615384615385;0.36363636363636365;0.25;0.2727272727272727;0.3333333333333333;0.0;0.23076923076923078;0.07142857142857142;0.2857142857142857;0.25;0.0;0.0;0.2727272727272727;0.4;0.0;0.36363636363636365;0.3076923076923077;0.0;0.0;0.0;0.2727272727272727;0.0;0.6666666666666666;0.16666666666666666;0.36363636363636365;0.16666666666666666
GO:0050853;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043537;0.2;0.0;0.4444444444444444;0.125;0.2;0.0;0.0;0.2727272727272727;0.0;0.14285714285714285;0.0;0.4444444444444444;0.3;0.3;0.0;0.2727272727272727;0.18181818181818182;0.2727272727272727;0.0;0.15384615384615385;0.2727272727272727;0.25;0.125;0.25;0.5454545454545454;0.0;0.0;0.18181818181818182;0.0;0.3;0.15384615384615385;0.0;0.2727272727272727;0.0;0.0;0.25;0.0;0.0;0.14285714285714285;0.0;1.0;0.2;0.4;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.21428571428571427;0.0;0.2727272727272727;0.3;0.4;0.25;0.0;0.0;0.0;0.0;0.0;0.3;0.1111111111111111;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.07692307692307693;0.0;0.18181818181818182;0.3;0.125;0.25;0.0;0.0;0.0;0.2727272727272727;0.0;0.3;0.0;0.3;0.25;0.1111111111111111;0.2;0.18181818181818182;0.0;0.3;0.08333333333333333;0.25;0.2;0.0;0.0;0.0;0.2;0.0;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.3;0.0;0.15384615384615385;0.2;0.18181818181818182;0.5
GO:0046928;0.23076923076923078;0.0;0.2222222222222222;0.2;0.25;0.0;0.0;0.2;0.0;0.2727272727272727;0.0;0.5;0.4444444444444444;0.3333333333333333;0.0;0.375;0.2222222222222222;0.2;0.0;0.2727272727272727;0.3;0.3;0.7142857142857143;0.3;0.2727272727272727;0.0;0.0;0.375;0.0;0.375;0.2727272727272727;0.0;0.3333333333333333;0.375;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.2;1.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.3;0.2222222222222222;0.0;0.0;0.25;0.15384615384615385;0.0;0.3;0.2222222222222222;0.3333333333333333;0.375;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.7142857142857143;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.1;0.0;0.7142857142857143;0.2222222222222222;0.2;0.4;0.0;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.2222222222222222;0.375;0.16666666666666666;0.3333333333333333;0.4444444444444444;0.0;0.4444444444444444;0.1111111111111111;0.2727272727272727;0.375;0.0;0.0;0.42857142857142855;0.42857142857142855;0.0;0.375;0.3;0.0;0.0;0.0;0.25;0.0;0.3;0.25;0.375;0.25
GO:1900165;0.26666666666666666;0.0;0.625;0.125;0.2;0.0;0.0;0.2727272727272727;0.0;0.21428571428571427;0.0;0.8571428571428571;0.5;0.36363636363636365;0.0;0.2727272727272727;0.18181818181818182;0.2727272727272727;0.0;0.21428571428571427;0.3333333333333333;0.3333333333333333;0.125;0.3333333333333333;0.3076923076923077;0.0;0.0;0.2727272727272727;0.0;0.3;0.21428571428571427;0.0;0.36363636363636365;0.2727272727272727;0.0;0.25;0.0;0.0;0.21428571428571427;0.0;0.4;0.4444444444444444;1.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.2;0.21428571428571427;0.0;0.2727272727272727;0.3;0.4;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.3;0.1111111111111111;0.0;0.25;0.25;0.0;0.0;0.2;0.0;0.25;0.3;0.125;0.4166666666666667;0.0;0.0;0.0;0.36363636363636365;0.0;0.3;0.0;0.3;0.2727272727272727;0.2727272727272727;0.2;0.3076923076923077;0.0;0.36363636363636365;0.08333333333333333;0.25;0.2727272727272727;0.0;0.0;0.3;0.3;0.0;0.2727272727272727;0.23076923076923078;0.0;0.0;0.0;0.3;0.0;0.23076923076923078;0.2;0.2727272727272727;0.5
GO:0060536;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
