;GO:0006083;GO:2001170;GO:0006681;GO:0006289;GO:0006366;GO:0006006;GO:0046459;GO:0051289;GO:0045892;GO:0001701;GO:0030308;GO:0032007;GO:0032008;GO:0019886;GO:0006094;GO:1900181;GO:0006098;GO:1900740;GO:0006014;GO:0006650;GO:0010508;GO:0001676;GO:0043161;GO:0006888;GO:0051693;GO:0010823;GO:0032436;GO:0070317;GO:0030336;GO:0051898;GO:0046718;GO:0009052;GO:0035024;GO:0015695;GO:0035065;GO:0009450;GO:0022904;GO:0006541;GO:0045787;GO:0045785;GO:0006540;GO:0045944;GO:1901723;GO:0045667;GO:0000122;GO:0000165;GO:0006977;GO:0072488;GO:0000083;GO:0035338;GO:0032465;GO:2000973;GO:0045070;GO:0016579;GO:0007043;GO:0030163;GO:0048821;GO:0031929;GO:0007166;GO:0061621;GO:0043456;GO:0006678;GO:0006511;GO:0070373;GO:0006749;GO:0001934;GO:0043065;GO:0050900;GO:0016540;GO:0030511
GO:0035024;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.0;0.0;0.4;0.0;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.23852901558847928;0.3660149997115376;0.3660149997115376;0.6000000000000001;0.0;0.0;1.0;0.0;0.2830074998557688;0.2599120563717816;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.2599120563717816;0.4;0.3660149997115376;0.3081136762725405;0.3356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.0;0.3660149997115376;0.3081136762725405;0.2830074998557688;0.0;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.3356143810225276;0.0;0.0;0.5356143810225276;0.0;0.2830074998557688;0.3081136762725405;0.0;0.0;0.4
GO:0015695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035065;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.3356143810225276;0.3356143810225276;0.0;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.4;0.48300749985576874;0.4;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.0;0.0;0.2830074998557688;0.0;1.0;0.2830074998557688;0.0;0.0;0.43852901558847923;0.4;0.0;0.3660149997115376;0.4;0.43852901558847923;0.3660149997115376;0.4;0.48300749985576874;0.0;0.4;0.0;0.43852901558847923;0.3660149997115376;0.3081136762725405;0.0;0.0;0.0;0.0;0.4;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.3660149997115376;0.0;0.0;0.4
GO:0009450;0.6830074998557688;0.2599120563717816;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.3081136762725405;0.0;0.3660149997115376;0.3081136762725405;0.3081136762725405;0.0;0.4;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.3081136762725405;0.6000000000000001;0.6830074998557688;0.0;0.3081136762725405;0.3081136762725405;0.23852901558847928;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.0;0.6000000000000001;0.2599120563717816;0.0;0.2830074998557688;1.0;0.6000000000000001;0.5356143810225276;0.3660149997115376;0.4;0.5356143810225276;0.2830074998557688;0.3356143810225276;0.3660149997115376;0.2830074998557688;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.4;0.3660149997115376;0.3081136762725405;0.3081136762725405;0.43852901558847923;0.48300749985576874;0.6830074998557688;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.43852901558847923;0.6830074998557688;0.2830074998557688;0.5356143810225276;0.2830074998557688;0.3081136762725405;0.48300749985576874;0.5356143810225276;0.3356143810225276
GO:0022904;0.6000000000000001;0.0;0.48300749985576874;0.5356143810225276;0.8;0.5356143810225276;0.6000000000000001;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.8;0.5356143810225276;0.6000000000000001;0.0;0.6000000000000001;0.8;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.6000000000000001;1.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.8;0.6000000000000001;0.8;0.8;0.8;0.6830074998557688;0.0;0.48300749985576874;0.8;0.0;0.6830074998557688;0.0;0.0;0.8;0.8;0.0
GO:0006541;0.48300749985576874;0.0;0.4;0.3660149997115376;0.48300749985576874;0.4;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.43852901558847923;0.4;0.4;0.0;0.43852901558847923;0.5356143810225276;0.0;0.23852901558847928;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;1.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.4;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.4;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0
GO:0045787;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.43852901558847923;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;1.0;0.6830074998557688;0.0;0.43852901558847923;0.5356143810225276;0.6000000000000001;0.4;0.5356143810225276;0.8;0.0;0.48300749985576874;0.0;0.6830074998557688;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.5356143810225276;0.6000000000000001;0.0;0.0;0.6830074998557688
GO:0045785;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.6000000000000001;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.43852901558847923;0.4;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.4;0.4;0.0;0.0;0.6830074998557688;1.0;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.4;0.5356143810225276;0.6830074998557688;0.0;0.5356143810225276;0.0;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.6000000000000001
GO:0006540;0.6000000000000001;0.0;0.4;0.43852901558847923;0.5356143810225276;0.4;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.0;0.48300749985576874;0.6000000000000001;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.6000000000000001;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.4;0.0;0.0;0.0;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.0;0.4;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0
GO:0045944;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.4;0.3081136762725405;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3081136762725405;0.3356143810225276;0.3660149997115376;0.3356143810225276;0.3356143810225276;0.3081136762725405;0.0;0.0;0.2599120563717816;0.0;0.3660149997115376;0.2830074998557688;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;1.0;0.3660149997115376;0.4;0.8;0.3660149997115376;0.43852901558847923;0.0;0.6830074998557688;0.0;0.4;0.3356143810225276;0.3660149997115376;0.0;0.0;0.0;0.0;0.3660149997115376;0.4;0.0;0.48300749985576874;0.0;0.0;0.3081136762725405;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.4
GO:1901723;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.6830074998557688;0.48300749985576874;0.4;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.3356143810225276;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.0;0.0;0.4;0.0;0.4;0.3356143810225276;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.3660149997115376;1.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.6830074998557688;0.0;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.4;0.43852901558847923;0.0;0.0;0.48300749985576874
GO:0045667;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.4;0.5356143810225276;1.0;0.4;0.5356143810225276;0.6830074998557688;0.0;0.48300749985576874;0.0;0.6000000000000001;0.6000000000000001;0.4;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.5356143810225276
GO:0000122;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.48300749985576874;0.3660149997115376;0.3081136762725405;0.0;0.0;0.43852901558847923;0.0;0.3660149997115376;0.0;0.0;0.4;0.0;0.0;0.0;0.3660149997115376;0.4;0.3356143810225276;0.4;0.4;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.3660149997115376;0.2830074998557688;0.0;0.0;0.4;0.4;0.0;0.8;0.43852901558847923;0.4;1.0;0.3660149997115376;0.48300749985576874;0.0;0.6830074998557688;0.0;0.4;0.3356143810225276;0.3081136762725405;0.0;0.0;0.0;0.0;0.3660149997115376;0.4;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.3660149997115376
GO:0000165;0.5356143810225276;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.48300749985576874;0.5356143810225276;0.8;0.4;0.0;0.5356143810225276;0.4;0.4;0.0;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.8;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.8;0.0;0.4;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.4;0.0;0.8;0.3356143810225276;0.0;0.4;0.5356143810225276;0.8;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.5356143810225276;0.3660149997115376;1.0;0.8;0.0;0.8;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.4;0.48300749985576874;0.8;0.5356143810225276;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.8;0.3660149997115376;0.6000000000000001;0.4;0.43852901558847923;0.8;0.8;0.48300749985576874
GO:0006977;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.6830074998557688;0.8;0.0;0.5356143810225276;0.8;0.5356143810225276;0.0;0.8;0.5356143810225276;0.48300749985576874;0.0;0.0;0.6830074998557688;0.5356143810225276;0.8;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.8;0.0;0.5356143810225276;0.6000000000000001;0.4;0.8;0.6000000000000001;0.5356143810225276;0.0;0.8;0.43852901558847923;0.0;0.48300749985576874;0.5356143810225276;0.8;0.43852901558847923;0.8;0.6830074998557688;0.5356143810225276;0.43852901558847923;0.6830074998557688;0.6830074998557688;0.48300749985576874;0.8;1.0;0.0;0.8;0.43852901558847923;0.8;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.8;0.0;0.8;0.8;0.8;0.3660149997115376;0.6000000000000001;0.43852901558847923;0.8;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.8;0.0;0.6000000000000001
GO:0072488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000083;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.8;0.0;0.5356143810225276;0.8;0.8;0.0;0.48300749985576874;0.4;0.4;0.0;0.0;0.48300749985576874;0.5356143810225276;0.8;0.0;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.8;0.0;0.4;0.4;0.3660149997115376;0.4;0.43852901558847923;0.4;0.0;0.8;0.3356143810225276;0.0;0.4;0.5356143810225276;0.8;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.6830074998557688;0.8;0.8;0.0;1.0;0.43852901558847923;0.48300749985576874;0.4;0.4;0.43852901558847923;0.8;0.0;0.8;0.8;0.8;0.3660149997115376;0.5356143810225276;0.43852901558847923;0.8;0.3660149997115376;0.6000000000000001;0.4;0.4;0.8;0.0;0.43852901558847923
GO:0035338;0.4;0.0;0.3660149997115376;0.3660149997115376;0.5356143810225276;0.4;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.4;0.43852901558847923;0.0;0.4;0.5356143810225276;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.48300749985576874;0.3660149997115376;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;1.0;0.0;0.0;0.0;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0
GO:0032465;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.6830074998557688;0.48300749985576874;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.6830074998557688;0.5356143810225276;0.0;0.4;0.5356143810225276;0.6000000000000001;0.4;0.5356143810225276;0.8;0.0;0.48300749985576874;0.0;1.0;0.48300749985576874;0.4;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.5356143810225276
GO:2000973;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.3660149997115376;0.3660149997115376;0.0;0.0;0.4;0.0;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.3660149997115376;0.4;0.3081136762725405;0.4;0.4;0.3660149997115376;0.0;0.0;0.3081136762725405;0.0;0.3660149997115376;0.3081136762725405;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.3356143810225276;0.43852901558847923;0.6000000000000001;0.3356143810225276;0.43852901558847923;0.5356143810225276;0.0;0.4;0.0;0.48300749985576874;1.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.3660149997115376;0.4;0.0;0.0;0.43852901558847923
GO:0045070;0.0;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.3356143810225276;0.4;0.0;0.0;0.4;0.0;0.43852901558847923;0.0;0.0;0.4;0.0;0.0;0.0;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.3356143810225276;0.3660149997115376;0.3356143810225276;0.0;0.0;0.2830074998557688;0.0;0.3081136762725405;0.3081136762725405;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.3660149997115376;0.3660149997115376;0.4;0.3081136762725405;0.4;0.48300749985576874;0.0;0.4;0.0;0.4;0.3356143810225276;1.0;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.4;0.0;0.0;0.3081136762725405;0.0;0.3660149997115376;0.4;0.0;0.0;0.43852901558847923
GO:0016579;0.3660149997115376;0.0;0.4;0.4;0.5356143810225276;0.4;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.43852901558847923;0.4;0.4;0.0;0.4;0.6000000000000001;0.0;0.23852901558847928;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;1.0;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3356143810225276;0.0;0.4;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0
GO:0007043;0.48300749985576874;0.0;0.4;0.43852901558847923;0.8;0.0;0.48300749985576874;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.8;0.0;0.48300749985576874;0.0;0.48300749985576874;0.8;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.48300749985576874;0.8;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;1.0;0.0;0.8;0.8;0.8;0.3660149997115376;0.0;0.4;0.8;0.0;0.5356143810225276;0.0;0.0;0.8;0.0;0.0
GO:0030163;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.6830074998557688;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.6000000000000001;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;1.0;0.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.8;0.0;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.0
GO:0048821;0.5356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.5356143810225276;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.8;0.0;0.5356143810225276;0.0;0.5356143810225276;0.8;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.5356143810225276;0.8;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.8;0.0;1.0;0.8;0.8;0.3660149997115376;0.0;0.43852901558847923;0.8;0.0;0.6000000000000001;0.0;0.0;0.8;0.0;0.0
GO:0031929;0.5356143810225276;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.0;0.5356143810225276;0.8;0.4;0.0;0.5356143810225276;0.4;0.4;0.0;0.0;0.48300749985576874;0.5356143810225276;0.8;0.0;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.8;0.0;0.4;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.4;0.0;0.8;0.3356143810225276;0.0;0.4;0.5356143810225276;0.8;0.43852901558847923;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.5356143810225276;0.3660149997115376;0.8;0.8;0.0;0.8;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.4;0.43852901558847923;0.8;0.0;0.8;1.0;0.8;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.8;0.3660149997115376;0.6000000000000001;0.4;0.43852901558847923;0.8;0.0;0.48300749985576874
GO:0007166;0.5356143810225276;0.4;0.43852901558847923;0.48300749985576874;0.8;0.0;0.5356143810225276;0.8;0.43852901558847923;0.0;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.5356143810225276;0.8;0.0;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.8;0.0;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.8;0.3660149997115376;0.0;0.43852901558847923;0.5356143810225276;0.8;0.43852901558847923;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.4;0.5356143810225276;0.6000000000000001;0.4;0.8;0.8;0.0;0.8;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.4;0.43852901558847923;0.8;0.0;0.8;0.8;1.0;0.3660149997115376;0.5356143810225276;0.43852901558847923;0.8;0.4;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.8;0.0;0.5356143810225276
GO:0061621;0.6000000000000001;0.0;0.3356143810225276;0.3081136762725405;0.4;0.6830074998557688;0.5356143810225276;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.5356143810225276;0.3660149997115376;0.43852901558847923;0.3660149997115376;0.0;0.5356143810225276;0.43852901558847923;0.0;0.21862188087829626;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.5356143810225276;0.6830074998557688;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.4;0.3660149997115376;0.3660149997115376;0.3660149997115376;1.0;0.0;0.3356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.4;0.0
GO:0043456;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.4;0.4;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.3356143810225276;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.5356143810225276;0.0;0.5356143810225276;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;1.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.48300749985576874
GO:0006678;0.4;0.0;0.8;0.3660149997115376;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.4;0.3660149997115376;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.4;0.4;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3356143810225276;0.0;1.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.4;0.48300749985576874;0.0
GO:0006511;0.6000000000000001;0.0;0.5356143810225276;0.6000000000000001;0.8;0.5356143810225276;0.6000000000000001;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.8;0.5356143810225276;0.6000000000000001;0.0;0.6000000000000001;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.6830074998557688;0.8;0.5356143810225276;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.8;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.8;0.8;0.8;0.8;0.8;0.43852901558847923;0.0;0.5356143810225276;1.0;0.0;0.6830074998557688;0.0;0.0;0.8;0.8;0.0
GO:0070373;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.6830074998557688;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.3660149997115376;0.4;0.3356143810225276;0.4;0.4;0.6830074998557688;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.2830074998557688;0.0;0.0;0.4;0.4;0.0;0.3081136762725405;0.43852901558847923;0.4;0.3660149997115376;0.3660149997115376;0.48300749985576874;0.0;0.3660149997115376;0.0;0.4;0.3356143810225276;0.3081136762725405;0.0;0.0;0.0;0.0;0.3660149997115376;0.4;0.0;0.4;0.0;0.0;1.0;0.0;0.6000000000000001;0.3356143810225276;0.0;0.0;0.43852901558847923
