;GO:0006281;GO:0034475;GO:0007131;GO:1904851;GO:0006123;GO:0006520;GO:0051170;GO:0006637;GO:0000187;GO:0030307;GO:0071051;GO:0042182;GO:0070126;GO:0070125;GO:0034427;GO:0010971;GO:1902042;GO:1902043;GO:0000707;GO:0007186;GO:0007066;GO:0007141;GO:0090263;GO:1902600;GO:0043278;GO:0009725;GO:0000467;GO:0042148;GO:0000387;GO:0000266;GO:0006412;GO:0006406;GO:0000077;GO:0051973;GO:0006606;GO:0016042;GO:0071049;GO:0035589;GO:0043967;GO:0043968;GO:1904874;GO:0043928;GO:1904871;GO:0046952;GO:0006784;GO:0043488;GO:1904837;GO:0000398;GO:0006417;GO:0045471;GO:0000165;GO:0106074;GO:0071035;GO:0072321;GO:0032508;GO:0071034;GO:0032543;GO:0071038;GO:0035774;GO:0016579;GO:0045638;GO:0006351;GO:0090521;GO:0046325;GO:0006310;GO:0000724;GO:0045039;GO:0000722;GO:0007602;GO:0000245;GO:0034080;GO:0008535;GO:0006357;GO:0006626;GO:0048034;GO:0006429;GO:0000492;GO:0051792;GO:0051790;GO:0006508;GO:0032212
GO:0006406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000077;0.6666666666666666;0.0;0.16666666666666666;0.18181818181818182;0.16666666666666666;0.0;0.0;0.125;0.1875;0.3;0.0;0.125;0.16666666666666666;0.16666666666666666;0.2;0.3333333333333333;0.3076923076923077;0.21428571428571427;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.23076923076923078;0.0;0.125;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.1111111111111111;0.0;0.0;1.0;0.23076923076923078;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.2;0.16666666666666666;0.16666666666666666;0.125;0.0;0.0;0.0;0.0;0.2727272727272727;0.125;0.16666666666666666;0.0;0.08333333333333333;0.0;0.09090909090909091;0.09090909090909091;0.0;0.08333333333333333;0.18181818181818182;0.0;0.4;0.0;0.0;0.25;0.1111111111111111;0.5;0.16666666666666666;0.09090909090909091;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.23076923076923078;0.0;0.0;0.16666666666666666;0.0;0.1;0.1;0.0;0.23076923076923078
GO:0051973;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.5;0.4444444444444444;0.0;0.0;0.0;0.0;0.2857142857142857;0.3333333333333333;0.21428571428571427;0.3076923076923077;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.4444444444444444;0.2727272727272727;0.0;0.0;0.4166666666666667;0.0;0.0;0.6;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.09090909090909091;0.3;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778
GO:0006606;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0016042;0.25;0.4;0.0;0.0;0.2;0.4;0.0;0.3333333333333333;0.0;0.0;0.4;0.6;0.0;0.4;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.5;0.125;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;0.4;0.3;0.0;0.25;0.0;0.4;0.0;0.0;0.25;0.2;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.4;0.0;0.42857142857142855;0.42857142857142855;0.3333333333333333;0.0
GO:0071049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035589;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.125;0.125;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0
GO:0043967;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.25;0.125;0.0;0.1111111111111111;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0
GO:0043968;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;1.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.25;0.125;0.0;0.1111111111111111;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0
GO:1904874;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.25;0.5;0.0;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.4;0.42857142857142855;0.0;0.0;0.14285714285714285;0.0;0.0;0.25;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.25;0.0;0.0;0.3;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333
GO:0043928;0.5714285714285714;0.0;0.0;0.3333333333333333;0.0;0.5;0.0;0.4;0.1;0.3333333333333333;0.0;0.6;0.0;0.0;0.8181818181818182;0.2222222222222222;0.3333333333333333;0.2222222222222222;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.6;0.6666666666666666;0.0;0.16666666666666666;0.6;0.0;0.16666666666666666;0.4444444444444444;0.0;0.6;0.0;0.0;0.0;0.0;0.4;1.0;0.2857142857142857;0.4;0.16666666666666666;0.2;0.0;0.6;0.625;0.0;0.0;0.5555555555555556;0.5555555555555556;0.0;0.125;0.625;0.6;0.5555555555555556;0.3333333333333333;0.2857142857142857;0.42857142857142855;0.6;0.0;0.375;0.5;0.375;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.625;0.0;0.16666666666666666;0.5;0.0;0.2857142857142857;0.2857142857142857;0.4;0.4444444444444444
GO:1904871;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.21428571428571427;0.375;0.0;0.0;0.0;0.0;0.14285714285714285;0.2727272727272727;0.16666666666666666;0.2727272727272727;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.2857142857142857;1.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.2;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.2;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727
GO:0046952;0.2857142857142857;0.2;0.2;0.0;0.5;0.16666666666666666;0.0;0.3333333333333333;0.0;0.0;0.2;0.6;0.2;0.4;0.2727272727272727;0.0;0.0;0.0;0.2;0.2;0.2;0.2;0.0;0.0;0.0;0.0;0.4;0.4;0.2;0.125;0.2;0.0;0.125;0.0;0.0;0.5;0.0;0.2;0.2;0.2;0.0;0.4;0.0;1.0;0.125;0.0;0.0;0.2;0.0;0.0;0.2;0.0;0.3;0.0;0.1;0.3333333333333333;0.2;0.3;0.0;0.1111111111111111;0.0;0.2;0.0;0.0;0.2857142857142857;0.2222222222222222;0.2;0.25;0.2;0.2;0.2;0.0;0.0;0.0;0.125;0.4;0.0;0.25;0.25;0.14285714285714285;0.0
GO:0006784;0.1111111111111111;0.16666666666666666;0.0;0.0;0.16666666666666666;0.14285714285714285;0.0;0.3333333333333333;0.0;0.0;0.16666666666666666;0.125;0.0;0.16666666666666666;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.125;1.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.23076923076923078;0.16666666666666666;0.21428571428571427;0.0;0.25;0.0;0.16666666666666666;0.0;0.0;0.2;0.16666666666666666;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.16666666666666666;0.0;0.2727272727272727;0.2727272727272727;0.3;0.0
GO:0043488;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.08333333333333333;0.3333333333333333;0.0;0.0;0.0;0.0;0.38461538461538464;0.25;0.23076923076923078;0.23076923076923078;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.2;0.1111111111111111;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.3;0.0;0.0;0.1;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25
GO:1904837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000398;0.42857142857142855;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.2;0.16666666666666666;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;0.0;0.3;0.0;0.375;0.0;0.0;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2857142857142857;0.2857142857142857;0.5;0.0
GO:0006417;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.4166666666666667;0.375;0.0;0.0;0.0;0.0;0.4166666666666667;0.2727272727272727;0.25;0.25;0.0;0.375;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.625;0.2;0.0;0.0;0.6666666666666666;0.0;0.0;1.0;0.0;0.3333333333333333;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.3333333333333333;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.09090909090909091;0.375;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6
GO:0045471;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0000165;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.375;0.0;0.2;0.0;0.0;0.1;0.2727272727272727;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;1.0;0.0;0.1111111111111111;0.0;0.125;0.125;0.0;0.1111111111111111;0.0;0.45454545454545453;0.3333333333333333;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.2727272727272727
GO:0106074;0.4;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.08333333333333333;0.125;0.0;0.0;0.0;0.0;0.38461538461538464;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.6666666666666666;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.5555555555555556;0.1111111111111111;0.0;0.0;0.3333333333333333;0.0;0.0;0.1111111111111111;0.0;0.0;1.0;0.5454545454545454;0.0;0.0;0.6;0.0;0.7;0.125;0.25;0.1111111111111111;0.0;0.0;0.1;0.4;0.3333333333333333;0.0;0.25;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.6363636363636364;0.0;0.0;0.0;0.3;0.25
GO:0071035;0.36363636363636365;0.46153846153846156;0.1111111111111111;0.0;0.2222222222222222;0.2222222222222222;0.0;0.2;0.0;0.0;0.46153846153846156;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.4166666666666667;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.0;0.7;0.4;0.1111111111111111;0.08333333333333333;0.3;0.0;0.08333333333333333;0.0;0.0;0.3;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.5555555555555556;0.0;0.3;0.21428571428571427;0.0;0.0;0.3;0.0;0.0;0.1111111111111111;0.5454545454545454;1.0;0.0;0.07142857142857142;0.6666666666666666;0.3;0.8;0.0;0.16666666666666666;0.0;0.3;0.0;0.0;0.3;0.25;0.1111111111111111;0.2727272727272727;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.21428571428571427;0.2222222222222222;0.0;0.16666666666666666;0.16666666666666666;0.2;0.0
GO:0072321;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032508;0.09090909090909091;0.0;0.125;0.0;0.125;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.125;0.125;0.06666666666666667;0.0;0.0;0.0;0.125;0.125;0.5;0.125;0.0;0.0;0.0;0.0;0.125;0.125;0.125;0.3333333333333333;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.125;0.25;0.25;0.0;0.125;0.0;0.1;0.0;0.0;0.125;0.0;0.0;0.0;0.125;0.0;0.07142857142857142;0.0;1.0;0.07692307692307693;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.07692307692307693;0.375;0.4;0.125;0.125;0.25;0.125;0.0;0.0;0.0;0.125;0.125;0.08333333333333333;0.08333333333333333;0.0;0.0
GO:0071034;0.4;0.5;0.125;0.0;0.25;0.25;0.0;0.2222222222222222;0.0;0.0;0.5;0.375;0.125;0.375;0.45454545454545453;0.0;0.0;0.0;0.125;0.125;0.125;0.125;0.0;0.0;0.0;0.0;0.6666666666666666;0.4444444444444444;0.125;0.09090909090909091;0.3333333333333333;0.0;0.09090909090909091;0.0;0.0;0.3333333333333333;0.0;0.125;0.125;0.125;0.0;0.625;0.0;0.3333333333333333;0.23076923076923078;0.0;0.0;0.3333333333333333;0.0;0.0;0.125;0.6;0.6666666666666666;0.0;0.07692307692307693;1.0;0.3333333333333333;0.6666666666666666;0.0;0.18181818181818182;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.2727272727272727;0.125;0.3;0.125;0.125;0.125;0.0;0.0;0.0;0.23076923076923078;0.25;0.0;0.18181818181818182;0.18181818181818182;0.2222222222222222;0.0
GO:0032543;0.42857142857142855;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;1.0;0.3;0.0;0.375;0.0;0.6;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.6;0.0;0.2857142857142857;0.2857142857142857;0.5;0.0
GO:0071038;0.36363636363636365;0.46153846153846156;0.1111111111111111;0.0;0.2222222222222222;0.2222222222222222;0.0;0.2;0.0;0.0;0.46153846153846156;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.4166666666666667;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.0;0.6;0.4;0.1111111111111111;0.08333333333333333;0.3;0.0;0.08333333333333333;0.0;0.0;0.3;0.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.5555555555555556;0.0;0.3;0.21428571428571427;0.0;0.0;0.3;0.0;0.0;0.1111111111111111;0.7;0.8;0.0;0.07142857142857142;0.6666666666666666;0.3;1.0;0.0;0.16666666666666666;0.0;0.3;0.0;0.0;0.3;0.25;0.1111111111111111;0.2727272727272727;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.21428571428571427;0.5833333333333334;0.0;0.16666666666666666;0.16666666666666666;0.2;0.0
GO:0035774;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.4;0.42857142857142855;0.0;0.0;0.0;0.0;0.15384615384615385;0.3;0.3;0.4444444444444444;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.3333333333333333;0.375;0.0;0.0;0.125;0.0;0.0;0.2222222222222222;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2222222222222222;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
GO:0016579;0.3;0.375;0.0;0.0;0.14285714285714285;0.375;0.0;0.2222222222222222;0.0;0.0;0.375;0.2222222222222222;0.0;0.375;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.2857142857142857;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.45454545454545453;0.45454545454545453;0.0;0.2857142857142857;0.0;0.1111111111111111;0.25;0.0;0.0;0.375;0.0;0.0;0.45454545454545453;0.25;0.16666666666666666;0.0;0.0;0.18181818181818182;0.375;0.16666666666666666;0.0;1.0;0.0;0.375;0.0;0.0;0.3;0.25;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.375;0.0;0.2;0.2;0.6666666666666666;0.0
GO:0045638;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.21428571428571427;0.375;0.0;0.0;0.0;0.0;0.23076923076923078;0.2727272727272727;0.36363636363636365;0.25;0.0;0.375;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.42857142857142855;0.2;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;0.0;0.3333333333333333;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;1.0;0.0;0.0;0.3;0.0;0.0;0.0;0.09090909090909091;0.375;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727
GO:0006351;0.42857142857142855;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;0.6;0.3;0.0;0.375;0.0;1.0;0.0;0.0;0.42857142857142855;0.3333333333333333;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.6;0.0;0.2857142857142857;0.2857142857142857;0.5;0.0
GO:0090521;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0046325;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.06666666666666667;0.2;0.0;0.0;0.0;0.0;0.21428571428571427;0.15384615384615385;0.25;0.15384615384615385;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.375;0.18181818181818182;0.0;0.0;0.1;0.0;0.0;0.18181818181818182;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.3;0.0;0.0;1.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385
