;GO:0061333;GO:0009435;GO:0051092;GO:0045892;GO:0019482;GO:0001701;GO:0071498;GO:0032729;GO:0050714;GO:0050679;GO:0090502;GO:0016239;GO:0046628;GO:0071805;GO:0000469;GO:0060513;GO:0090190;GO:0006569;GO:0071481;GO:0001678;GO:0050680;GO:0035822;GO:0030099;GO:0001837;GO:0001839;GO:0010942;GO:0043923;GO:0060382;GO:0030490;GO:0060261;GO:0080111;GO:0021533;GO:0043123;GO:0043001;GO:0060825;GO:0045944;GO:0043401;GO:0060302;GO:0045668;GO:0042832;GO:0002576;GO:0000165;GO:0000281;GO:0006816;GO:0001649;GO:0031297;GO:0060390;GO:1900042;GO:1902187;GO:0071709;GO:0000724;GO:0006275;GO:0048545;GO:0002230;GO:0030514;GO:0050862;GO:0010529;GO:0032496;GO:2001234;GO:0032897;GO:0060044;GO:0036297;GO:0048712;GO:0006366;GO:0097052;GO:0006884;GO:0046541;GO:0045332;GO:0051607;GO:1990968;GO:1990969;GO:2000313;GO:1903296;GO:0007182;GO:0060272;GO:0060394;GO:0042742;GO:0006888;GO:0048570;GO:0051693;GO:0043041;GO:0044130;GO:0030336;GO:1904380;GO:0045869;GO:0061037;GO:0061312;GO:1905006;GO:0006069;GO:0009972;GO:0090193;GO:0000122;GO:0030327;GO:0070383;GO:0030328;GO:0019542;GO:0016554;GO:0019427;GO:0051865;GO:0019805;GO:0060333;GO:0044829;GO:0006351;GO:1903078;GO:0007169;GO:0007166;GO:1901216;GO:0072160;GO:0006631;GO:0060337;GO:0090090;GO:0032735;GO:0071222;GO:0048477;GO:0045087;GO:0071347;GO:0006909;GO:0030035;GO:0071346;GO:0030433;GO:0030036;GO:0019413
GO:0030490;0.0;0.2608695652173913;0.0;0.0;0.21052631578947367;0.0;0.125;0.0;0.0;0.0;0.4;0.0;0.0;0.09523809523809523;0.1;0.0;0.0;0.2857142857142857;0.10526315789473684;0.10526315789473684;0.0;0.4;0.125;0.11764705882352941;0.0;0.0;0.0;0.0;1.0;0.0;0.19047619047619047;0.125;0.0;0.0;0.09523809523809523;0.0;0.1111111111111111;0.0;0.0;0.0;0.1;0.09523809523809523;0.11764705882352941;0.0;0.125;0.1;0.0;0.0;0.0;0.125;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.09090909090909091;0.2857142857142857;0.1111111111111111;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.1;0.0;0.0;0.36363636363636365;0.0;0.0;0.08333333333333333;0.0;0.21052631578947367;0.2608695652173913;0.0;0.0;0.1;0.38095238095238093;0.2857142857142857;0.18181818181818182;0.38095238095238093;0.2;0.36363636363636365;0.3;0.10526315789473684;0.0;0.09523809523809523;0.0;0.10526315789473684;0.11764705882352941;0.0;0.1111111111111111;0.21052631578947367;0.10526315789473684;0.0;0.0;0.1111111111111111;0.11764705882352941;0.0;0.1111111111111111;0.0;0.1111111111111111;0.1111111111111111;0.09090909090909091;0.11764705882352941;0.2
GO:0060261;0.0;0.0;0.3076923076923077;0.8333333333333334;0.19047619047619047;0.0;0.0;0.4;0.45454545454545453;0.5;0.0;0.45454545454545453;0.47619047619047616;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.19047619047619047;0.4;0.0;0.0;0.0;0.0;0.5263157894736842;0.32;0.47619047619047616;0.0;1.0;0.0;0.0;0.36363636363636365;0.0;0.08695652173913043;0.96;0.4;0.2727272727272727;0.4;0.0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.38095238095238093;0.3333333333333333;0.2727272727272727;0.0;0.0;0.6666666666666666;0.0;0.2727272727272727;0.8461538461538461;0.36363636363636365;0.42105263157894735;0.0;0.36363636363636365;0.2857142857142857;0.3333333333333333;0.0;0.08333333333333333;0.0;0.0;0.2;0.1;0.09090909090909091;0.0;0.09090909090909091;0.08;0.38095238095238093;0.4166666666666667;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.46153846153846156;0.0;0.2857142857142857;0.38095238095238093;0.0;0.2608695652173913;0.3;0.8461538461538461;0.36363636363636365;0.0;0.0;0.38095238095238093;0.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.34782608695652173;0.0;0.36363636363636365;0.09523809523809523;0.42105263157894735;0.5;0.0;0.0;0.09523809523809523;0.36363636363636365;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0080111;0.0;0.18181818181818182;0.0;0.0;0.2222222222222222;0.0;0.13333333333333333;0.0;0.0;0.0;0.631578947368421;0.0;0.0;0.2;0.21052631578947367;0.0;0.0;0.2;0.1111111111111111;0.1111111111111111;0.0;0.7368421052631579;0.13333333333333333;0.125;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;1.0;0.13333333333333333;0.0;0.0;0.1;0.0;0.11764705882352941;0.0;0.0;0.0;0.10526315789473684;0.1;0.125;0.0;0.13333333333333333;0.21052631578947367;0.0;0.0;0.0;0.13333333333333333;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7368421052631579;0.0;0.19047619047619047;0.2;0.11764705882352941;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.08695652173913043;0.21052631578947367;0.0;0.0;0.19047619047619047;0.0;0.0;0.08695652173913043;0.0;0.2222222222222222;0.18181818181818182;0.0;0.0;0.21052631578947367;0.8;0.2;0.19047619047619047;0.5;0.21052631578947367;0.47619047619047616;0.21052631578947367;0.1111111111111111;0.0;0.2;0.0;0.1111111111111111;0.125;0.0;0.11764705882352941;0.2222222222222222;0.1111111111111111;0.0;0.0;0.11764705882352941;0.125;0.0;0.11764705882352941;0.0;0.11764705882352941;0.11764705882352941;0.19047619047619047;0.125;0.21052631578947367
GO:0021533;0.16666666666666666;0.11764705882352941;0.0;0.0;0.15384615384615385;0.15384615384615385;0.2;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.26666666666666666;0.14285714285714285;0.15384615384615385;0.0;0.13333333333333333;0.15384615384615385;0.15384615384615385;0.0;0.14285714285714285;0.2;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.13333333333333333;1.0;0.0;0.0;0.13333333333333333;0.0;0.16666666666666666;0.0;0.0;0.0;0.2857142857142857;0.13333333333333333;0.18181818181818182;0.0;0.2;0.14285714285714285;0.0;0.0;0.0;0.2;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.125;0.13333333333333333;0.16666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.18181818181818182;0.1111111111111111;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.1111111111111111;0.0;0.15384615384615385;0.11764705882352941;0.0;0.0;0.14285714285714285;0.13333333333333333;0.13333333333333333;0.125;0.13333333333333333;0.14285714285714285;0.125;0.14285714285714285;0.15384615384615385;0.0;0.13333333333333333;0.0;0.15384615384615385;0.18181818181818182;0.0;0.16666666666666666;0.15384615384615385;0.15384615384615385;0.0;0.0;0.16666666666666666;0.18181818181818182;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.125;0.18181818181818182;0.14285714285714285
GO:0043123;0.0;0.0;0.36363636363636365;0.4;0.23529411764705882;0.0;0.0;0.5;0.5555555555555556;0.625;0.0;0.5555555555555556;0.8235294117647058;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.23529411764705882;0.5;0.0;0.0;0.0;0.0;0.6666666666666666;0.38095238095238093;0.47058823529411764;0.0;0.36363636363636365;0.0;0.0;1.0;0.0;0.10526315789473684;0.38095238095238093;0.125;0.6666666666666666;0.5;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.7058823529411765;0.4;0.3333333333333333;0.0;0.0;0.47058823529411764;0.0;0.4444444444444444;0.5454545454545454;0.7777777777777778;0.5333333333333333;0.0;0.6666666666666666;0.35294117647058826;0.4;0.0;0.1;0.0;0.0;0.25;0.125;0.1111111111111111;0.0;0.1111111111111111;0.09523809523809523;0.7058823529411765;0.5;0.0;0.0;0.6;0.0;0.0;0.0;0.36363636363636365;0.0;0.35294117647058826;0.47058823529411764;0.0;0.3157894736842105;0.375;0.09090909090909091;0.4444444444444444;0.0;0.0;0.47058823529411764;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.10526315789473684;0.0;0.4444444444444444;0.11764705882352941;0.5333333333333333;0.625;0.0;0.0;0.11764705882352941;0.6666666666666666;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0
GO:0060825;0.0;0.18181818181818182;0.08695652173913043;0.09523809523809523;0.2222222222222222;0.0;0.26666666666666666;0.11764705882352941;0.10526315789473684;0.11764705882352941;0.10526315789473684;0.10526315789473684;0.1111111111111111;0.2;0.10526315789473684;0.0;0.10526315789473684;0.2;0.1111111111111111;0.2222222222222222;0.11764705882352941;0.21052631578947367;0.13333333333333333;0.125;0.0;0.125;0.09090909090909091;0.1111111111111111;0.09523809523809523;0.08695652173913043;0.1;0.13333333333333333;0.10526315789473684;0.0;1.0;0.09090909090909091;0.11764705882352941;0.10526315789473684;0.11764705882352941;0.0;0.21052631578947367;0.1;0.125;0.0;0.13333333333333333;0.10526315789473684;0.1111111111111111;0.09523809523809523;0.10526315789473684;0.13333333333333333;0.2;0.1111111111111111;0.0;0.10526315789473684;0.08695652173913043;0.10526315789473684;0.125;0.0;0.10526315789473684;0.1111111111111111;0.09523809523809523;0.21052631578947367;0.09523809523809523;0.09523809523809523;0.2;0.23529411764705882;0.11764705882352941;0.10526315789473684;0.0;0.10526315789473684;0.09090909090909091;0.1111111111111111;0.09523809523809523;0.10526315789473684;0.0;0.09523809523809523;0.0;0.0;0.0;0.17391304347826086;0.10526315789473684;0.1111111111111111;0.1111111111111111;0.19047619047619047;0.1;0.11764705882352941;0.08695652173913043;0.10526315789473684;0.1111111111111111;0.18181818181818182;0.1111111111111111;0.09090909090909091;0.10526315789473684;0.2;0.2;0.19047619047619047;0.1;0.21052631578947367;0.19047619047619047;0.21052631578947367;0.1111111111111111;0.1;0.1;0.10526315789473684;0.1111111111111111;0.125;0.11764705882352941;0.11764705882352941;0.2222222222222222;0.1111111111111111;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.125;0.0;0.23529411764705882;0.0;0.11764705882352941;0.11764705882352941;0.09523809523809523;0.25;0.21052631578947367
GO:0045944;0.0;0.0;0.8;0.8695652173913043;0.2;0.0;0.0;0.42105263157894735;0.38095238095238093;0.5263157894736842;0.0;0.47619047619047616;0.4;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.2;0.42105263157894735;0.0;0.0;0.0;0.0;0.5555555555555556;0.6666666666666666;0.5;0.0;0.96;0.0;0.0;0.38095238095238093;0.0;0.09090909090909091;1.0;0.42105263157894735;0.2857142857142857;0.42105263157894735;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.4;0.34782608695652173;0.2857142857142857;0.0;0.0;0.7;0.0;0.2857142857142857;0.88;0.38095238095238093;0.4444444444444444;0.0;0.38095238095238093;0.3;0.34782608695652173;0.0;0.08695652173913043;0.0;0.0;0.21052631578947367;0.10526315789473684;0.09523809523809523;0.0;0.09523809523809523;0.6666666666666666;0.4;0.34782608695652173;0.0;0.0;0.43478260869565216;0.0;0.0;0.0;0.32;0.0;0.3;0.4;0.0;0.2727272727272727;0.3157894736842105;0.88;0.38095238095238093;0.0;0.0;0.4;0.9166666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.36363636363636365;0.0;0.38095238095238093;0.1;0.4444444444444444;0.42105263157894735;0.0;0.0;0.1;0.38095238095238093;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043401;0.0;0.21052631578947367;0.1;0.4444444444444444;0.26666666666666666;0.0;0.3333333333333333;0.14285714285714285;0.5;0.5714285714285714;0.125;0.5;0.5333333333333333;0.23529411764705882;0.125;0.0;0.125;0.23529411764705882;0.13333333333333333;0.26666666666666666;0.5714285714285714;0.25;0.16666666666666666;0.15384615384615385;0.0;0.6153846153846154;0.10526315789473684;0.13333333333333333;0.1111111111111111;0.4;0.11764705882352941;0.16666666666666666;0.125;0.0;0.11764705882352941;0.42105263157894735;1.0;0.125;0.5714285714285714;0.0;0.25;0.11764705882352941;0.15384615384615385;0.0;0.16666666666666666;0.125;0.13333333333333333;0.1111111111111111;0.125;0.16666666666666666;0.23529411764705882;0.13333333333333333;0.0;0.125;0.4;0.125;0.6153846153846154;0.0;0.125;0.13333333333333333;0.4444444444444444;0.25;0.1111111111111111;0.1111111111111111;0.23529411764705882;0.2857142857142857;0.14285714285714285;0.125;0.0;0.125;0.10526315789473684;0.13333333333333333;0.4444444444444444;0.125;0.0;0.1111111111111111;0.0;0.0;0.0;0.4;0.125;0.13333333333333333;0.13333333333333333;0.2222222222222222;0.11764705882352941;0.14285714285714285;0.1;0.125;0.13333333333333333;0.21052631578947367;0.13333333333333333;0.10526315789473684;0.125;0.23529411764705882;0.23529411764705882;0.2222222222222222;0.11764705882352941;0.25;0.2222222222222222;0.25;0.13333333333333333;0.11764705882352941;0.11764705882352941;0.125;0.13333333333333333;0.15384615384615385;0.5714285714285714;0.14285714285714285;0.26666666666666666;0.13333333333333333;0.125;0.14285714285714285;0.14285714285714285;0.15384615384615385;0.0;0.2857142857142857;0.0;0.14285714285714285;0.14285714285714285;0.1111111111111111;0.3076923076923077;0.25
GO:0060302;0.0;0.0;0.2727272727272727;0.4;0.23529411764705882;0.0;0.0;0.375;0.3333333333333333;0.375;0.0;0.3333333333333333;0.7058823529411765;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.23529411764705882;0.5;0.0;0.0;0.0;0.0;0.4;0.09523809523809523;0.35294117647058826;0.0;0.2727272727272727;0.0;0.0;0.6666666666666666;0.0;0.10526315789473684;0.2857142857142857;0.125;1.0;0.5;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.7058823529411765;0.3;0.4444444444444444;0.0;0.0;0.35294117647058826;0.0;0.3333333333333333;0.36363636363636365;0.6666666666666666;0.5333333333333333;0.0;0.4444444444444444;0.47058823529411764;0.4;0.0;0.1;0.0;0.0;0.25;0.125;0.1111111111111111;0.0;0.1111111111111111;0.09523809523809523;0.7058823529411765;0.3;0.0;0.0;0.4;0.0;0.0;0.0;0.36363636363636365;0.0;0.47058823529411764;0.47058823529411764;0.0;0.42105263157894735;0.5;0.09090909090909091;0.4444444444444444;0.0;0.0;0.35294117647058826;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.10526315789473684;0.0;0.3333333333333333;0.11764705882352941;0.13333333333333333;0.375;0.0;0.0;0.11764705882352941;0.4444444444444444;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045668;0.0;0.0;0.3;0.5555555555555556;0.26666666666666666;0.0;0.0;0.5714285714285714;0.5;0.5714285714285714;0.0;0.5;0.5333333333333333;0.0;0.0;0.0;0.5;0.0;0.0;0.26666666666666666;0.7142857142857143;0.0;0.0;0.0;0.0;0.6153846153846154;0.10526315789473684;0.5333333333333333;0.0;0.4;0.0;0.0;0.5;0.0;0.11764705882352941;0.42105263157894735;0.5714285714285714;0.5;1.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.5333333333333333;0.4444444444444444;0.5;0.0;0.0;0.5333333333333333;0.0;0.375;0.5;0.5;0.7692307692307693;0.0;0.625;0.5333333333333333;0.5555555555555556;0.0;0.6666666666666666;0.0;0.0;0.2857142857142857;0.14285714285714285;0.125;0.0;0.125;0.10526315789473684;0.5333333333333333;0.4444444444444444;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.5;0.0;0.5333333333333333;0.6666666666666666;0.0;0.47058823529411764;0.7142857142857143;0.1;0.75;0.0;0.0;0.5333333333333333;0.5263157894736842;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.11764705882352941;0.0;0.375;0.13333333333333333;0.6153846153846154;0.5714285714285714;0.0;0.0;0.13333333333333333;0.625;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042832;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.8571428571428571;0.25;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.6666666666666666;0.2857142857142857;0.0;0.0;0.2857142857142857;0.1111111111111111;0.0;0.0
GO:0002576;0.0;0.19047619047619047;0.0;0.0;0.23529411764705882;0.0;0.2857142857142857;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.21052631578947367;0.2222222222222222;0.0;0.0;0.21052631578947367;0.23529411764705882;0.23529411764705882;0.0;0.2222222222222222;0.2857142857142857;0.13333333333333333;0.0;0.0;0.0;0.0;0.1;0.0;0.10526315789473684;0.2857142857142857;0.0;0.5555555555555556;0.21052631578947367;0.0;0.25;0.0;0.0;0.0;1.0;0.21052631578947367;0.26666666666666666;0.4444444444444444;0.2857142857142857;0.2222222222222222;0.0;0.0;0.0;0.2857142857142857;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.1;0.21052631578947367;0.25;0.625;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.625;0.0;0.18181818181818182;0.2222222222222222;0.0;0.0;0.2;0.0;0.0;0.18181818181818182;0.0;0.23529411764705882;0.19047619047619047;0.0;0.0;0.2222222222222222;0.21052631578947367;0.21052631578947367;0.2;0.21052631578947367;0.2222222222222222;0.2;0.2222222222222222;0.23529411764705882;0.0;0.10526315789473684;0.0;0.23529411764705882;0.26666666666666666;0.0;0.125;0.23529411764705882;0.23529411764705882;0.0;0.0;0.125;0.26666666666666666;0.0;0.25;0.625;0.125;0.125;0.2;0.26666666666666666;0.2222222222222222
GO:0000165;0.0;0.18181818181818182;0.08695652173913043;0.38095238095238093;0.2222222222222222;0.0;0.26666666666666666;0.11764705882352941;0.42105263157894735;0.47058823529411764;0.10526315789473684;0.42105263157894735;0.4444444444444444;0.2;0.10526315789473684;0.0;0.10526315789473684;0.2;0.1111111111111111;0.2222222222222222;0.47058823529411764;0.21052631578947367;0.13333333333333333;0.125;0.0;0.5;0.09090909090909091;0.1111111111111111;0.09523809523809523;0.34782608695652173;0.1;0.13333333333333333;0.10526315789473684;0.0;0.1;0.36363636363636365;0.11764705882352941;0.10526315789473684;0.47058823529411764;0.0;0.21052631578947367;1.0;0.125;0.0;0.13333333333333333;0.10526315789473684;0.4444444444444444;0.38095238095238093;0.10526315789473684;0.13333333333333333;0.2;0.4444444444444444;0.0;0.10526315789473684;0.34782608695652173;0.42105263157894735;0.5;0.0;0.42105263157894735;0.1111111111111111;0.38095238095238093;0.21052631578947367;0.09523809523809523;0.09523809523809523;0.2;0.23529411764705882;0.11764705882352941;0.10526315789473684;0.0;0.10526315789473684;0.09090909090909091;0.4444444444444444;0.38095238095238093;0.10526315789473684;0.0;0.38095238095238093;0.0;0.0;0.0;0.34782608695652173;0.10526315789473684;0.1111111111111111;0.4444444444444444;0.6666666666666666;0.1;0.11764705882352941;0.08695652173913043;0.42105263157894735;0.1111111111111111;0.18181818181818182;0.1111111111111111;0.36363636363636365;0.10526315789473684;0.2;0.2;0.19047619047619047;0.1;0.21052631578947367;0.6666666666666666;0.21052631578947367;0.1111111111111111;0.1;0.1;0.10526315789473684;0.1111111111111111;0.125;0.47058823529411764;0.11764705882352941;0.2222222222222222;0.1111111111111111;0.42105263157894735;0.11764705882352941;0.11764705882352941;0.125;0.0;0.23529411764705882;0.0;0.11764705882352941;0.11764705882352941;0.09523809523809523;0.25;0.21052631578947367
GO:0000281;0.0;0.2222222222222222;0.0;0.0;0.2857142857142857;0.0;0.36363636363636365;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.25;0.13333333333333333;0.0;0.0;0.25;0.14285714285714285;0.2857142857142857;0.0;0.26666666666666666;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.125;0.18181818181818182;0.0;0.0;0.125;0.0;0.15384615384615385;0.0;0.0;0.0;0.26666666666666666;0.125;1.0;0.0;0.18181818181818182;0.13333333333333333;0.0;0.0;0.0;0.18181818181818182;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.11764705882352941;0.25;0.3076923076923077;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.13333333333333333;0.0;0.0;0.23529411764705882;0.0;0.0;0.10526315789473684;0.0;0.14285714285714285;0.2222222222222222;0.0;0.0;0.13333333333333333;0.25;0.25;0.23529411764705882;0.125;0.26666666666666666;0.23529411764705882;0.26666666666666666;0.14285714285714285;0.0;0.125;0.0;0.14285714285714285;0.16666666666666666;0.0;0.15384615384615385;0.2857142857142857;0.14285714285714285;0.0;0.0;0.15384615384615385;0.16666666666666666;0.0;0.3076923076923077;0.0;0.15384615384615385;0.15384615384615385;0.11764705882352941;0.3333333333333333;0.26666666666666666
GO:0006816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7368421052631579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0
GO:0001649;0.16666666666666666;0.11764705882352941;0.0;0.0;0.15384615384615385;0.15384615384615385;0.2;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.26666666666666666;0.14285714285714285;0.15384615384615385;0.0;0.13333333333333333;0.15384615384615385;0.15384615384615385;0.0;0.14285714285714285;0.2;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.13333333333333333;0.2;0.0;0.0;0.13333333333333333;0.0;0.16666666666666666;0.0;0.0;0.0;0.2857142857142857;0.13333333333333333;0.18181818181818182;0.0;1.0;0.14285714285714285;0.0;0.0;0.0;0.2;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.125;0.13333333333333333;0.16666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.18181818181818182;0.1111111111111111;0.14285714285714285;0.0;0.0;0.125;0.0;0.0;0.1111111111111111;0.0;0.15384615384615385;0.11764705882352941;0.0;0.0;0.14285714285714285;0.13333333333333333;0.13333333333333333;0.125;0.13333333333333333;0.14285714285714285;0.125;0.14285714285714285;0.15384615384615385;0.0;0.13333333333333333;0.0;0.15384615384615385;0.18181818181818182;0.0;0.16666666666666666;0.15384615384615385;0.15384615384615385;0.0;0.0;0.16666666666666666;0.18181818181818182;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.125;0.18181818181818182;0.14285714285714285
GO:0031297;0.0;0.38095238095238093;0.0;0.0;0.35294117647058826;0.0;0.2857142857142857;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.21052631578947367;0.6666666666666666;0.0;0.0;0.42105263157894735;0.11764705882352941;0.23529411764705882;0.0;0.7777777777777778;0.14285714285714285;0.13333333333333333;0.0;0.0;0.0;0.0;0.1;0.0;0.21052631578947367;0.14285714285714285;0.0;0.0;0.10526315789473684;0.0;0.125;0.0;0.0;0.0;0.2222222222222222;0.10526315789473684;0.13333333333333333;0.0;0.14285714285714285;1.0;0.0;0.0;0.0;0.14285714285714285;0.7368421052631579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;0.0;0.1;0.42105263157894735;0.25;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.1111111111111111;0.0;0.0;0.5;0.0;0.0;0.09090909090909091;0.0;0.23529411764705882;0.38095238095238093;0.0;0.0;0.1111111111111111;0.7368421052631579;0.3157894736842105;0.3;0.631578947368421;0.3333333333333333;0.5;0.4444444444444444;0.11764705882352941;0.0;0.10526315789473684;0.0;0.11764705882352941;0.13333333333333333;0.0;0.125;0.35294117647058826;0.11764705882352941;0.0;0.0;0.125;0.13333333333333333;0.0;0.25;0.0;0.125;0.125;0.1;0.26666666666666666;0.3333333333333333
