;GO:2000480;GO:0033144;GO:0034199;GO:1904695;GO:0051491;GO:1901224;GO:0051091;GO:0002363;GO:0090051;GO:0006686;GO:0007016;GO:0021795;GO:0003334;GO:0030307;GO:0001666;GO:0071377;GO:0010812;GO:0001947;GO:0001829;GO:0042789;GO:0038027;GO:1904504;GO:0045773;GO:0007266;GO:0009725;GO:0003100;GO:0009967;GO:0051016;GO:2000406;GO:0048010;GO:0051893;GO:0097498;GO:0048015;GO:0051496;GO:0048013;GO:0070830;GO:0071803;GO:0051017;GO:0035385;GO:0070507;GO:0060261;GO:0008285;GO:0090398;GO:0046512;GO:0051150;GO:0043123;GO:0048812;GO:0046513;GO:0043124;GO:0046511;GO:0046638;GO:0043525;GO:1903427;GO:0048538;GO:0043524;GO:2000811;GO:0060947;GO:0071277;GO:0045792;GO:0051384;GO:0030521;GO:0016579;GO:0090324;GO:1903673;GO:0048821;GO:0048666;GO:0005980;GO:0061621;GO:0005978;GO:0030517;GO:0010764;GO:0003091;GO:0045727;GO:0007179;GO:0002042;GO:0046016;GO:0043542;GO:0008306;GO:0043149;GO:0043547;GO:0003257;GO:0009749;GO:0010735;GO:0071333;GO:0030220;GO:0016055;GO:0055003;GO:0060292;GO:0007186;GO:0045214;GO:0003382;GO:1900222;GO:0043312;GO:0021861;GO:0007616;GO:0043280;GO:0001998;GO:0051056;GO:0010628;GO:0030336;GO:0090307;GO:0008360;GO:0019934;GO:0046716;GO:0033561;GO:1902894;GO:0022028;GO:0043200;GO:0046039;GO:1902895;GO:1904837;GO:0045987;GO:0000122;GO:0050773;GO:0045471;GO:0050771;GO:0050772;GO:0001569;GO:0043297;GO:0045198;GO:0035855;GO:0019388;GO:0060071;GO:1990869;GO:0060193;GO:0031532;GO:0032467;GO:0060693;GO:0006351;GO:0031098;GO:0060218;GO:0006357;GO:0090090;GO:0071222;GO:0030838;GO:0071346;GO:0030950;GO:0030036;GO:0071902
GO:0048010;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.2;0.25;0.0
GO:0051893;0.21428571428571427;0.3;0.2;0.0;0.3333333333333333;0.2727272727272727;0.25;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.3333333333333333;0.25;0.4444444444444444;0.0;0.0;0.0;0.3333333333333333;0.36363636363636365;0.18181818181818182;0.0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.4444444444444444;0.0;0.3333333333333333;0.375;0.4;0.375;0.0;0.0;0.3333333333333333;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.25;0.3;0.3;0.0;0.3;0.2727272727272727;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.2727272727272727;0.1;0.3;0.0;0.0;0.25;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.23076923076923078;0.08333333333333333;0.0;0.0;0.0;0.3;0.375;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.2727272727272727;0.14285714285714285;0.3;0.2;0.3;0.0;0.5;0.0;0.1;0.1;0.23076923076923078;0.0;0.0;0.0;0.23076923076923078;0.0;0.2;0.25;0.4;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.3333333333333333;0.2;0.0;0.3333333333333333;0.0;0.2727272727272727;0.2727272727272727;0.0;0.4444444444444444;0.0;0.0;0.0;0.21428571428571427
GO:0097498;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.2;0.25;0.0
GO:0051496;0.1875;0.25;0.2;0.3;0.5;0.3;0.42857142857142855;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.2727272727272727;0.25;0.3333333333333333;0.0;0.0;0.0;0.375;0.4166666666666667;0.3;0.0;0.3333333333333333;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0.2727272727272727;0.5454545454545454;0.4444444444444444;0.3;0.0;0.0;0.2727272727272727;0.3;0.0;0.0;0.23076923076923078;0.0;0.25;0.3;0.25;0.0;0.25;0.23076923076923078;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.23076923076923078;0.08333333333333333;0.3;0.0;0.0;0.25;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.25;0.07142857142857142;0.0;0.0;0.0;0.25;0.3;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.2727272727272727;0.1111111111111111;0.25;0.3333333333333333;0.25;0.0;0.2727272727272727;0.0;0.08333333333333333;0.08333333333333333;0.2;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.21428571428571427;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.3333333333333333;0.16666666666666666;0.0;0.2727272727272727;0.0;0.23076923076923078;0.23076923076923078;0.0;0.6666666666666666;0.0;0.0;0.0;0.21428571428571427
GO:0048013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.2;0.25;0.0
GO:0070830;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.2;0.25;0.0
GO:0071803;0.2;0.2727272727272727;0.26666666666666666;0.3;0.5;0.3;0.42857142857142855;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.4444444444444444;0.0;0.0;0.0;0.375;0.36363636363636365;0.3;0.0;0.4444444444444444;0.0;0.0;0.5;0.0;0.0;1.0;0.0;0.0;0.5;0.625;0.3333333333333333;0.0;0.0;0.3;0.3;0.0;0.0;0.25;0.0;0.25;0.4;0.2727272727272727;0.0;0.2727272727272727;0.25;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.25;0.1;0.4;0.0;0.0;0.25;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.25;0.08333333333333333;0.0;0.0;0.0;0.2727272727272727;0.3333333333333333;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.36363636363636365;0.14285714285714285;0.2727272727272727;0.3333333333333333;0.2727272727272727;0.0;0.4444444444444444;0.0;0.1;0.1;0.21428571428571427;0.0;0.0;0.0;0.25;0.0;0.3333333333333333;0.23076923076923078;0.0;0.0;0.4;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.4444444444444444;0.2;0.0;0.0;0.0;0.25;0.25;0.0;0.625;0.0;0.0;0.0;0.2857142857142857
GO:0051017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.2;0.25;0.0
GO:0035385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;1.0;0.375;0.0;0.375;0.2;0.16666666666666666;0.3333333333333333;0.0;0.0;0.14285714285714285;0.0;0.16666666666666666;0.25;0.3;0.0;0.0;0.3;0.2727272727272727;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.2;0.25;0.0
GO:0070507;0.23076923076923078;0.3333333333333333;0.21428571428571427;0.0;0.3;0.3;0.2857142857142857;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.375;0.0;0.0;0.0;0.375;0.2727272727272727;0.375;0.0;0.0;0.0;0.375;0.5454545454545454;0.2;0.0;0.375;0.0;0.0;0.5454545454545454;0.0;0.0;0.5;0.0;0.375;1.0;0.3;0.42857142857142855;0.0;0.0;0.375;0.3;0.0;0.0;0.3;0.0;0.2727272727272727;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.3;0.0;0.0;0.1;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.3;0.1111111111111111;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.1;0.0;0.0;0.25;0.09090909090909091;0.0;0.0;0.0;0.3333333333333333;0.42857142857142855;0.0;0.0;0.25;0.0;0.0;0.0;0.3;0.16666666666666666;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.0;0.375;0.0;0.1111111111111111;0.1111111111111111;0.25;0.0;0.0;0.0;0.25;0.0;0.2222222222222222;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.375;0.2222222222222222;0.0;0.375;0.0;0.3;0.3;0.0;0.6666666666666666;0.0;0.0;0.0;0.23076923076923078
GO:0060261;0.1875;0.25;0.3125;0.2727272727272727;0.4444444444444444;0.2727272727272727;0.5454545454545454;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.3076923076923077;0.4;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.2727272727272727;0.0;0.4;0.0;0.0;0.4444444444444444;0.0;0.0;0.625;0.0;0.0;0.3;1.0;0.3;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.23076923076923078;0.0;0.23076923076923078;0.36363636363636365;0.3333333333333333;0.0;0.25;0.23076923076923078;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.23076923076923078;0.09090909090909091;0.6;0.0;0.0;0.6363636363636364;0.0;0.0;0.0;0.08333333333333333;0.7272727272727273;0.0;0.8;0.07692307692307693;0.0;0.0;0.0;0.25;0.3;0.0;0.0;0.2;0.0;0.0;0.0;0.3333333333333333;0.125;0.25;0.6666666666666666;0.25;0.0;0.4;0.0;0.09090909090909091;0.09090909090909091;0.6363636363636364;0.0;0.0;0.0;0.8;0.0;0.3;0.7;0.3333333333333333;0.0;0.36363636363636365;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.4;0.18181818181818182;0.0;0.2727272727272727;0.0;0.7777777777777778;0.23076923076923078;0.0;0.5555555555555556;0.0;0.0;0.0;0.3333333333333333
GO:0008285;0.3333333333333333;0.5;0.21428571428571427;0.0;0.3;0.3;0.2857142857142857;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.375;0.2727272727272727;0.375;0.0;0.0;0.0;0.375;0.4;0.2;0.0;0.375;0.0;0.0;0.3;0.0;0.0;0.3333333333333333;0.0;0.375;0.42857142857142855;0.3;1.0;0.0;0.0;0.375;0.3;0.0;0.0;0.4444444444444444;0.0;0.2727272727272727;0.3333333333333333;0.5;0.0;0.5;0.4444444444444444;0.0;0.0;0.1;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.4444444444444444;0.1111111111111111;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.1;0.0;0.0;0.25;0.09090909090909091;0.0;0.0;0.0;0.5;0.42857142857142855;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.3;0.16666666666666666;0.3333333333333333;0.2222222222222222;0.5;0.0;0.375;0.0;0.1111111111111111;0.1111111111111111;0.36363636363636365;0.0;0.0;0.0;0.25;0.0;0.2222222222222222;0.4;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.375;0.2222222222222222;0.0;0.375;0.0;0.3;0.4444444444444444;0.0;0.3333333333333333;0.0;0.0;0.0;0.23076923076923078
GO:0090398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.1111111111111111;0.0;0.0;0.4;0.0;0.4;0.2222222222222222;0.0;0.2;0.2;0.0;0.2;0.0;0.0;0.2;0.16666666666666666;0.0;0.0;0.08333333333333333;0.0;0.2;0.0;0.2;0.2;0.0;0.2;0.2;0.0;0.2;0.2;0.0;0.0;0.0;1.0;0.125;0.0;0.0;0.4;0.1111111111111111;0.0;0.125;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.25;0.125;0.1111111111111111;0.2;0.0;0.0;0.2;0.4;0.4;0.1111111111111111;0.08333333333333333;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.2222222222222222;0.0;0.0;0.2;0.0;0.0;0.1;0.0;0.2;0.4;0.2;0.2;0.0;0.2;0.2;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.16666666666666666;0.0;0.0;0.0;0.14285714285714285;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.2;0.0;0.2;0.4;0.0;0.2;0.25;0.0;0.14285714285714285;0.0;0.0;0.0;0.6;0.2;0.0;0.0;0.2;0.1;0.2;0.14285714285714285;0.16666666666666666;0.0
GO:0046512;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.625;0.0;0.0;0.16666666666666666;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.07692307692307693;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.125;1.0;0.0;0.0;0.16666666666666666;0.625;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1111111111111111;0.0;0.16666666666666666;0.2727272727272727;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.2222222222222222;0.4;0.3333333333333333;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.09090909090909091;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.08333333333333333;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.18181818181818182;0.16666666666666666;0.1;0.0;0.125;0.0;0.0;0.42857142857142855;0.16666666666666666;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.125;0.14285714285714285;0.0
GO:0051150;0.21428571428571427;0.3;0.2;0.0;0.2727272727272727;0.2727272727272727;0.25;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.25;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.25;0.18181818181818182;0.0;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.3;0.0;0.3333333333333333;0.375;0.2727272727272727;0.375;0.0;0.0;1.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.36363636363636365;0.3;0.3;0.0;0.3;0.2727272727272727;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.2727272727272727;0.1;0.3;0.0;0.0;0.25;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.23076923076923078;0.08333333333333333;0.0;0.0;0.0;0.3;0.375;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.2727272727272727;0.14285714285714285;0.3;0.2;0.3;0.0;0.3333333333333333;0.0;0.1;0.1;0.23076923076923078;0.0;0.0;0.0;0.23076923076923078;0.0;0.2;0.25;0.0;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.3333333333333333;0.3333333333333333;0.0;0.3333333333333333;0.0;0.2727272727272727;0.2727272727272727;0.0;0.3;0.0;0.0;0.0;0.21428571428571427
GO:0043123;0.1875;0.4444444444444444;0.25;0.2727272727272727;0.3;0.75;0.375;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.3076923076923077;0.4;0.0;0.0;0.0;0.7142857142857143;0.21428571428571427;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.3;0.2727272727272727;0.3;0.0;0.0;0.2727272727272727;1.0;0.0;0.0;0.75;0.0;0.23076923076923078;0.36363636363636365;0.25;0.0;0.25;0.23076923076923078;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.23076923076923078;0.09090909090909091;0.36363636363636365;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.23076923076923078;0.07692307692307693;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.2;0.0;0.0;0.0;0.3333333333333333;0.125;0.625;0.3;0.25;0.0;0.1111111111111111;0.0;0.09090909090909091;0.09090909090909091;0.2;0.0;0.0;0.0;0.23076923076923078;0.0;0.3;0.21428571428571427;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.4;0.18181818181818182;0.0;0.0;0.0;0.23076923076923078;0.4;0.0;0.36363636363636365;0.0;0.0;0.0;0.26666666666666666
GO:0048812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.16666666666666666;0.0;0.0;1.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.2;0.25;0.0
GO:0046513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.7142857142857143;0.0;0.0;0.14285714285714285;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.2857142857142857;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.07142857142857142;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.1111111111111111;0.625;0.0;0.0;0.14285714285714285;1.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.1;0.0;0.14285714285714285;0.3;0.0;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.2;0.36363636363636365;0.3;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.08333333333333333;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.07692307692307693;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.125;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.18181818181818182;0.14285714285714285;0.09090909090909091;0.0;0.1111111111111111;0.0;0.0;0.375;0.14285714285714285;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.1111111111111111;0.125;0.0
