;GO:0045806;GO:0008380;GO:0007098;GO:1902311;GO:0007173;GO:0045445;GO:0007016;GO:0051090;GO:0043304;GO:0030866;GO:0006878;GO:0048246;GO:0002317;GO:0010812;GO:0010977;GO:0071333;GO:0048245;GO:0002758;GO:0010976;GO:0031116;GO:0035434;GO:1902041;GO:0007186;GO:2000251;GO:0031032;GO:0043312;GO:0002175;GO:0006897;GO:0006139;GO:0030855;GO:0048298;GO:0002522;GO:0033209;GO:0070232;GO:0001558;GO:2000521;GO:0031663;GO:0050727;GO:0071205;GO:0010469;GO:0071407;GO:0050764;GO:0072659;GO:0071801;GO:0008360;GO:0008284;GO:0043123;GO:0048812;GO:0046598;GO:0043488;GO:0038096;GO:0043687;GO:0002576;GO:0007229;GO:0071677;GO:0010951;GO:2001189;GO:0042129;GO:0060333;GO:0045639;GO:0031295;GO:0034120;GO:0043299;GO:0007169;GO:0038083;GO:0006397;GO:0045637;GO:0090280;GO:0030516;GO:0050860;GO:0001578;GO:0002548;GO:0030913;GO:0045087;GO:0043066;GO:0030838;GO:0030593;GO:2001237;GO:2000145
GO:0070232;0.25;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.09090909090909091;0.21428571428571427;0.0;0.05555555555555555;0.0;0.0;0.25;0.23076923076923078;0.06666666666666667;0.0;0.0;0.23076923076923078;0.23076923076923078;0.0;0.5;0.2727272727272727;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;1.0;0.2727272727272727;0.21428571428571427;0.25;0.16666666666666666;0.0;0.25;0.0;0.25;0.0;0.25;0.25;0.2727272727272727;0.21428571428571427;0.0;0.14285714285714285;0.23076923076923078;0.0;0.0;0.0;0.25;0.15384615384615385;0.2;0.15384615384615385;0.21428571428571427;0.0;0.25;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.2727272727272727;0.14285714285714285;0.1;0.21428571428571427;0.0;0.0;0.0;0.0;0.6;0.23076923076923078;0.0;0.5;0.2727272727272727
GO:0001558;0.5714285714285714;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.16666666666666666;0.25;0.0;0.07692307692307693;0.0;0.0;0.375;0.5;0.1;0.0;0.0;0.5;0.5;0.0;0.3;0.42857142857142855;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.2727272727272727;1.0;0.3;0.0;0.2857142857142857;0.0;0.16666666666666666;0.0;0.5714285714285714;0.0;0.5714285714285714;0.5714285714285714;0.42857142857142855;0.3;0.0;0.2222222222222222;0.14285714285714285;0.0;0.0;0.0;0.0;0.25;0.2727272727272727;0.25;0.3;0.0;0.375;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.42857142857142855;0.2222222222222222;0.6666666666666666;0.25;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.3;0.42857142857142855
GO:2000521;0.4;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.4;0.0;0.0625;0.0;0.0;0.4;0.36363636363636365;0.07692307692307693;0.0;0.0;0.0;0.25;0.0;0.23076923076923078;0.3;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.21428571428571427;0.3;1.0;0.0;0.2;0.0;0.1111111111111111;0.0;0.2727272727272727;0.0;0.2727272727272727;0.1111111111111111;0.3;0.23076923076923078;0.0;0.16666666666666666;0.1;0.0;0.0;0.0;0.0;0.3;0.3076923076923077;0.6666666666666666;0.5555555555555556;0.0;0.3;0.5;0.16666666666666666;0.0;0.0;0.0;0.0;0.3333333333333333;0.16666666666666666;0.125;0.4444444444444444;0.0;0.0;0.0;0.0;0.36363636363636365;0.25;0.0;0.3333333333333333;0.3
GO:0031663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.2727272727272727;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;1.0;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.375;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0
GO:0050727;0.25;0.0;0.0;0.2;0.0;0.0;0.0;0.14285714285714285;0.375;0.0;0.07142857142857142;0.0;0.0;0.25;0.0;0.09090909090909091;0.0;0.5;0.0;0.2;0.0;0.3333333333333333;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.16666666666666666;0.2857142857142857;0.2;0.0;1.0;0.0;0.42857142857142855;0.0;0.2222222222222222;0.0;0.25;0.14285714285714285;0.25;0.3333333333333333;0.0;0.2;0.125;0.0;0.0;0.0;0.0;0.2222222222222222;0.09090909090909091;0.375;0.2;0.0;0.2222222222222222;0.0;0.2;0.0;0.0;0.0;0.0;0.25;0.2;0.16666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.2;0.2;0.0;0.3333333333333333;0.2857142857142857
GO:0071205;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010469;0.14285714285714285;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.5;0.375;0.0;0.08333333333333333;0.0;0.0;0.14285714285714285;0.0;0.1111111111111111;0.0;0.0;0.0;0.3;0.0;0.5;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.25;0.16666666666666666;0.1111111111111111;0.0;0.42857142857142855;0.0;1.0;0.0;0.3333333333333333;0.0;0.14285714285714285;0.2;0.375;0.5;0.0;0.1111111111111111;0.16666666666666666;0.0;0.0;0.0;0.0;0.125;0.25;0.375;0.1111111111111111;0.0;0.3333333333333333;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.375;0.1111111111111111;0.25;0.5;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.5;0.16666666666666666
GO:0071407;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.125;0.08333333333333333;0.16666666666666666;0.0;0.0;0.0;0.4444444444444444;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.125;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.1;0.1111111111111111;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.125;0.16666666666666666;0.16666666666666666;0.14285714285714285;0.0;0.09090909090909091;0.16666666666666666;0.0;0.0
GO:0050764;0.7142857142857143;0.0;0.0;0.4;0.0;0.0;0.0;0.125;0.4444444444444444;0.0;0.06666666666666667;0.0;0.0;0.3333333333333333;0.4444444444444444;0.08333333333333333;0.0;0.0;0.4444444444444444;0.4444444444444444;0.0;0.2727272727272727;0.375;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.25;0.5714285714285714;0.2727272727272727;0.3333333333333333;0.2222222222222222;0.0;0.3333333333333333;0.0;1.0;0.0;0.5;0.5;0.375;0.2727272727272727;0.0;0.18181818181818182;0.3;0.0;0.0;0.0;0.3333333333333333;0.2;0.25;0.2;0.2727272727272727;0.0;0.3333333333333333;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.375;0.36363636363636365;0.4444444444444444;0.2727272727272727;0.0;0.0;0.0;0.0;0.3;0.4444444444444444;0.0;0.2727272727272727;0.375
GO:0072659;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071801;0.5;0.0;0.0;0.2;0.0;0.0;0.0;0.14285714285714285;0.2222222222222222;0.0;0.07142857142857142;0.0;0.0;0.3333333333333333;0.4444444444444444;0.09090909090909091;0.0;0.0;0.4444444444444444;0.5;0.0;0.2727272727272727;0.375;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.25;0.5714285714285714;0.2727272727272727;0.0;0.25;0.0;0.14285714285714285;0.0;0.5;0.0;1.0;0.5;0.375;0.2727272727272727;0.0;0.2;0.125;0.0;0.0;0.0;0.0;0.2222222222222222;0.25;0.2222222222222222;0.2727272727272727;0.0;0.3333333333333333;0.0;0.2;0.0;0.0;0.0;0.0;0.375;0.2;0.16666666666666666;0.2222222222222222;0.0;0.0;0.0;0.0;0.3;0.5;0.0;0.2727272727272727;0.375
GO:0008360;0.5;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.2;0.125;0.0;0.18181818181818182;0.0;0.0;0.14285714285714285;0.0;0.25;0.0;0.0;0.0;0.4444444444444444;0.0;0.1111111111111111;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.25;0.5714285714285714;0.1111111111111111;0.0;0.14285714285714285;0.0;0.2;0.0;0.5;0.0;0.5;1.0;0.375;0.1111111111111111;0.0;0.1111111111111111;0.4;0.0;0.0;0.0;0.0;0.125;0.1111111111111111;0.125;0.1111111111111111;0.0;0.3333333333333333;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.375;0.1111111111111111;0.25;0.125;0.0;0.0;0.0;0.0;0.3;0.4444444444444444;0.0;0.1111111111111111;0.16666666666666666
GO:0008284;0.375;0.0;0.0;0.2;0.0;0.0;0.0;0.14285714285714285;0.3333333333333333;0.0;0.07142857142857142;0.0;0.0;0.375;0.3333333333333333;0.09090909090909091;0.0;0.0;0.5;0.5;0.0;0.3;0.42857142857142855;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.2727272727272727;0.42857142857142855;0.3;0.375;0.25;0.0;0.375;0.0;0.375;0.0;0.375;0.375;1.0;0.4444444444444444;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.375;0.375;0.2727272727272727;0.2222222222222222;0.4444444444444444;0.0;0.5714285714285714;0.4;0.3333333333333333;0.0;0.0;0.0;0.0;0.42857142857142855;0.3333333333333333;0.16666666666666666;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.3;0.42857142857142855
GO:0043123;0.2727272727272727;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.3;0.0;0.0625;0.0;0.0;0.2727272727272727;0.0;0.07692307692307693;0.0;0.36363636363636365;0.36363636363636365;0.36363636363636365;0.0;0.4;0.3;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.21428571428571427;0.3;0.23076923076923078;0.0;0.3333333333333333;0.0;0.5;0.0;0.2727272727272727;0.0;0.2727272727272727;0.1111111111111111;0.4444444444444444;1.0;0.0;0.2727272727272727;0.1;0.0;0.0;0.0;0.0;0.3;0.21428571428571427;0.3;0.23076923076923078;0.0;0.4;0.25;0.2727272727272727;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;0.125;0.4;0.0;0.0;0.0;0.0;0.25;0.36363636363636365;0.0;0.4;0.3
GO:0048812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0
GO:0046598;0.2;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.2727272727272727;0.0;0.0625;0.0;0.0;0.2;0.0;0.07692307692307693;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.16666666666666666;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.14285714285714285;0.2222222222222222;0.16666666666666666;0.0;0.2;0.0;0.1111111111111111;0.0;0.18181818181818182;0.0;0.2;0.1111111111111111;0.3333333333333333;0.2727272727272727;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.3;0.07692307692307693;0.18181818181818182;0.16666666666666666;0.0;0.3;0.25;0.2727272727272727;0.0;0.0;0.0;0.0;0.2;0.2727272727272727;0.125;0.18181818181818182;0.0;0.0;0.0;0.0;0.16666666666666666;0.2727272727272727;0.0;0.16666666666666666;0.2222222222222222
GO:0043488;0.125;0.0;0.0;0.1;0.0;0.0;0.0;0.16666666666666666;0.1111111111111111;0.0;0.16666666666666666;0.0;0.0;0.125;0.0;0.2222222222222222;0.0;0.0;0.0;0.2727272727272727;0.0;0.1;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.23076923076923078;0.14285714285714285;0.1;0.0;0.125;0.0;0.16666666666666666;0.0;0.3;0.0;0.125;0.4;0.3333333333333333;0.1;0.0;0.1;1.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1;0.0;0.3;0.0;0.1;0.0;0.0;0.0;0.0;0.3333333333333333;0.1;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.2727272727272727;0.2;0.0;0.1;0.14285714285714285
GO:0038096;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.36363636363636365;0.2;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
GO:0043687;0.0;0.375;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.1111111111111111;0.07692307692307693;0.14285714285714285;0.0;0.0;0.0;0.07692307692307693;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.1111111111111111;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.14285714285714285;1.0;0.1;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.5555555555555556;0.375;0.0;0.0;0.0;0.0;0.1111111111111111;0.14285714285714285;0.14285714285714285;0.0;0.0;0.08333333333333333;0.14285714285714285;0.0;0.0
GO:0002576;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.125;0.125;0.0;0.0;0.125;0.08333333333333333;0.16666666666666666;0.0;0.0;0.0;0.08333333333333333;0.16666666666666666;0.16666666666666666;0.0;0.0;0.25;0.0;0.16666666666666666;0.0;0.125;0.6666666666666666;0.09090909090909091;0.5;0.125;0.125;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.09090909090909091;0.0;0.1111111111111111;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.1;1.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.75;0.16666666666666666;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.125;0.16666666666666666;0.16666666666666666;0.0;0.0;0.09090909090909091;0.16666666666666666;0.0;0.0
GO:0007229;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.2727272727272727;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;1.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.375;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0
GO:0071677;0.2222222222222222;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.125;0.4444444444444444;0.0;0.06666666666666667;0.0;0.0;0.2222222222222222;0.0;0.08333333333333333;0.0;0.4;0.3;0.3;0.0;0.18181818181818182;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.15384615384615385;0.25;0.3;0.0;0.2222222222222222;0.0;0.125;0.0;0.2;0.0;0.2222222222222222;0.125;0.375;0.3;0.0;0.3;0.1111111111111111;0.0;0.0;0.0;0.0;1.0;0.08333333333333333;0.3333333333333333;0.3;0.0;0.5;0.4;0.3;0.0;0.0;0.0;0.0;0.375;0.3;0.14285714285714285;0.3333333333333333;0.0;0.0;0.0;0.0;0.18181818181818182;0.3;0.0;0.18181818181818182;0.5
GO:0010951;0.36363636363636365;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.25;0.21428571428571427;0.0;0.0625;0.0;0.0;0.36363636363636365;0.0;0.07692307692307693;0.0;0.0;0.0;0.23076923076923078;0.0;0.21428571428571427;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.2;0.2727272727272727;0.3076923076923077;0.0;0.09090909090909091;0.0;0.25;0.0;0.25;0.0;0.25;0.1111111111111111;0.2727272727272727;0.21428571428571427;0.0;0.07692307692307693;0.3333333333333333;0.0;0.0;0.0;0.0;0.08333333333333333;1.0;0.25;0.21428571428571427;0.0;0.25;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.2727272727272727;0.07692307692307693;0.125;0.25;0.0;0.0;0.0;0.0;0.3333333333333333;0.23076923076923078;0.0;0.3076923076923077;0.2727272727272727
GO:2001189;0.375;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.125;0.5;0.0;0.06666666666666667;0.0;0.0;0.4444444444444444;0.3;0.08333333333333333;0.0;0.4444444444444444;0.0;0.18181818181818182;0.0;0.3;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.15384615384615385;0.25;0.6666666666666666;0.0;0.375;0.0;0.375;0.0;0.2;0.0;0.2222222222222222;0.125;0.2222222222222222;0.3;0.0;0.18181818181818182;0.1111111111111111;0.4;0.0;0.0;0.0;0.3333333333333333;0.25;1.0;0.6666666666666666;0.0;0.3333333333333333;0.6;0.36363636363636365;0.0;0.0;0.0;0.0;0.375;0.18181818181818182;0.14285714285714285;0.5;0.0;0.0;0.0;0.0;0.3;0.18181818181818182;0.0;0.4444444444444444;0.25
GO:0042129;0.2727272727272727;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.4;0.0;0.0625;0.0;0.0;0.2727272727272727;0.0;0.07692307692307693;0.0;0.0;0.0;0.25;0.0;0.23076923076923078;0.3;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.21428571428571427;0.3;0.5555555555555556;0.0;0.2;0.0;0.1111111111111111;0.0;0.2727272727272727;0.0;0.2727272727272727;0.1111111111111111;0.4444444444444444;0.23076923076923078;0.0;0.16666666666666666;0.1;0.0;0.0;0.0;0.0;0.3;0.21428571428571427;0.6666666666666666;1.0;0.0;0.3;0.6666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.3333333333333333;0.16666666666666666;0.125;0.3;0.0;0.0;0.0;0.0;0.25;0.25;0.0;0.23076923076923078;0.3
GO:0060333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
GO:0045639;0.3333333333333333;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.125;0.4444444444444444;0.0;0.06666666666666667;0.0;0.0;0.3333333333333333;0.3;0.08333333333333333;0.0;0.4;0.4444444444444444;0.4444444444444444;0.0;0.2727272727272727;0.375;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.25;0.375;0.3;0.3333333333333333;0.2222222222222222;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.3333333333333333;0.3333333333333333;0.5714285714285714;0.4;0.0;0.3;0.3;0.0;0.0;0.0;0.3333333333333333;0.5;0.25;0.3333333333333333;0.3;0.0;1.0;0.4;0.3;0.0;0.0;0.0;0.0;0.8333333333333334;0.3;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.3;0.4444444444444444;0.0;0.2727272727272727;0.375
GO:0031295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.25;0.3;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.3076923076923077;0.0;0.25;0.0;0.0;0.0;0.0;0.5454545454545454;0.25;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.25;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.6;0.6666666666666666;0.0;0.4;1.0;0.5;0.2;0.0;0.0;0.0;0.3;0.25;0.0;0.2727272727272727;0.0;0.0;0.0;0.2;0.23076923076923078;0.3333333333333333;0.0;0.0;0.0
GO:0034120;0.2;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.2727272727272727;0.0;0.0625;0.0;0.0;0.3333333333333333;0.0;0.07692307692307693;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.16666666666666666;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.14285714285714285;0.2222222222222222;0.16666666666666666;0.0;0.2;0.0;0.1111111111111111;0.0;0.18181818181818182;0.0;0.2;0.1111111111111111;0.3333333333333333;0.2727272727272727;0.0;0.2727272727272727;0.1;0.0;0.0;0.0;0.0;0.3;0.07692307692307693;0.36363636363636365;0.16666666666666666;0.0;0.3;0.5;1.0;0.0;0.0;0.0;0.0;0.2;0.2727272727272727;0.125;0.18181818181818182;0.0;0.0;0.0;0.0;0.16666666666666666;0.2727272727272727;0.0;0.16666666666666666;0.2222222222222222
GO:0043299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.75;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0
GO:0007169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0
GO:0038083;0.0;0.3;0.1111111111111111;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.09090909090909091;0.06666666666666667;0.1111111111111111;0.0;0.0;0.0;0.06666666666666667;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.09090909090909091;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.1111111111111111;0.5555555555555556;0.08333333333333333;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;1.0;0.3;0.0;0.0;0.0;0.0;0.09090909090909091;0.1111111111111111;0.1111111111111111;0.0;0.0;0.07142857142857142;0.1111111111111111;0.0;0.0
