;GO:0016525;GO:0090611;GO:1990090;GO:0015031;GO:0006366;GO:1902038;GO:0006886;GO:0006644;GO:0044878;GO:0006957;GO:1990048;GO:1990049;GO:0001701;GO:0045618;GO:0014032;GO:1901673;GO:0043552;GO:0045930;GO:0046620;GO:0008354;GO:0072010;GO:0048010;GO:0007219;GO:0010824;GO:0001756;GO:0050880;GO:0010628;GO:0071364;GO:1990778;GO:0015914;GO:0010469;GO:0030212;GO:0048490;GO:0051897;GO:0018406;GO:0007270;GO:0007274;GO:1902257;GO:1904798;GO:0048017;GO:0045944;GO:0002576;GO:0000122;GO:0010718;GO:0047497;GO:0034765;GO:0016197;GO:0010951;GO:0032466;GO:1990869;GO:0016236;GO:0030203;GO:1901491;GO:1902188;GO:0038084;GO:1904647;GO:0006396;GO:0035050;GO:0001541;GO:0001657;GO:0070098;GO:0070374;GO:0035725;GO:0030199;GO:0036258;GO:0007080
GO:0051897;0.3333333333333333;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.1;0.5555555555555556;0.0;0.0;0.0;0.4444444444444444;0.0;0.4;0.38095238095238093;0.5;0.4;0.0;0.0;0.1111111111111111;0.125;0.42105263157894735;0.0;0.13333333333333333;0.5;0.0;0.0;0.0;0.75;0.0;0.0;1.0;0.0;0.0;0.0;0.3;0.23529411764705882;0.125;0.38095238095238093;0.0;0.38095238095238093;0.5;0.0;0.375;0.0;0.4;0.47058823529411764;0.0;0.0;0.0;0.35294117647058826;0.4444444444444444;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.7619047619047619;0.0;0.0;0.0;0.0
GO:0018406;0.0;0.42105263157894735;0.1111111111111111;0.0;0.36363636363636365;0.0;0.0;0.35294117647058826;0.09090909090909091;0.5;0.09090909090909091;0.09090909090909091;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.1;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.42105263157894735;0.09090909090909091;0.0;1.0;0.1;0.1;0.0;0.0;0.1111111111111111;0.0;0.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.2222222222222222;0.35294117647058826;0.47058823529411764;0.0;0.0;0.1;0.0;0.42105263157894735;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.23529411764705882;0.10526315789473684;0.10526315789473684
GO:0007270;0.0;0.0;0.125;0.0;0.1;0.0;0.0;0.26666666666666666;0.1;0.0;0.1;0.1;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.1111111111111111;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.23529411764705882;0.1;0.0;0.1;1.0;0.8888888888888888;0.0;0.0;0.125;0.0;0.2222222222222222;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.25;0.26666666666666666;0.0;0.0;0.0;0.1111111111111111;0.0;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.26666666666666666;0.11764705882352941;0.11764705882352941
GO:0007274;0.0;0.0;0.125;0.0;0.1;0.0;0.0;0.26666666666666666;0.1;0.0;0.1;0.1;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.1111111111111111;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.23529411764705882;0.1;0.0;0.1;0.8888888888888888;1.0;0.0;0.0;0.125;0.0;0.2222222222222222;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.25;0.26666666666666666;0.0;0.0;0.0;0.1111111111111111;0.0;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.26666666666666666;0.11764705882352941;0.11764705882352941
GO:1902257;0.5;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.09090909090909091;0.1;0.0;0.0;0.0;0.4;0.0;0.2727272727272727;0.2608695652173913;0.4444444444444444;0.47058823529411764;0.0;0.0;0.1;0.1111111111111111;0.2857142857142857;0.0;0.11764705882352941;0.3333333333333333;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.3;0.0;0.0;0.0;1.0;0.21052631578947367;0.1111111111111111;0.2608695652173913;0.0;0.34782608695652173;0.4444444444444444;0.0;0.3333333333333333;0.0;0.36363636363636365;0.42105263157894735;0.0;0.0;0.0;0.5263157894736842;0.3;0.1;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.2608695652173913;0.0;0.0;0.0;0.0
GO:1904798;0.23529411764705882;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.10526315789473684;0.11764705882352941;0.0;0.0;0.0;0.23529411764705882;0.0;0.21052631578947367;0.4;0.26666666666666666;0.2857142857142857;0.0;0.0;0.11764705882352941;0.13333333333333333;0.2222222222222222;0.0;0.14285714285714285;0.26666666666666666;0.0;0.0;0.0;0.4;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.21052631578947367;1.0;0.13333333333333333;0.2;0.0;0.2;0.26666666666666666;0.0;0.26666666666666666;0.0;0.3157894736842105;0.25;0.0;0.0;0.0;0.25;0.23529411764705882;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.125;0.2;0.0;0.0;0.0;0.0
GO:0048017;0.125;0.0;0.14285714285714285;0.0;0.1111111111111111;0.5;0.0;0.3076923076923077;0.1111111111111111;0.125;0.1111111111111111;0.1111111111111111;0.0;0.125;0.15384615384615385;0.4444444444444444;0.10526315789473684;0.5714285714285714;0.15384615384615385;0.15384615384615385;0.0;0.125;0.14285714285714285;0.47058823529411764;0.0;0.15384615384615385;0.14285714285714285;0.14285714285714285;0.0;0.0;0.14285714285714285;0.26666666666666666;0.1111111111111111;0.125;0.1111111111111111;0.125;0.125;0.1111111111111111;0.13333333333333333;1.0;0.10526315789473684;0.25;0.10526315789473684;0.14285714285714285;0.125;0.14285714285714285;0.0;0.1111111111111111;0.5333333333333333;0.2857142857142857;0.3076923076923077;0.0;0.13333333333333333;0.125;0.125;0.0;0.13333333333333333;0.0;0.0;0.0;0.13333333333333333;0.10526315789473684;0.0;0.3076923076923077;0.13333333333333333;0.13333333333333333
GO:0045944;0.2857142857142857;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.08695652173913043;0.38095238095238093;0.0;0.0;0.0;0.38095238095238093;0.0;0.34782608695652173;0.4166666666666667;0.42105263157894735;0.3333333333333333;0.0;0.0;0.09523809523809523;0.10526315789473684;0.36363636363636365;0.0;0.1111111111111111;0.7368421052631579;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.2608695652173913;0.2;0.10526315789473684;1.0;0.0;0.9166666666666666;0.42105263157894735;0.0;0.3157894736842105;0.0;0.43478260869565216;0.4;0.0;0.0;0.0;0.3;0.38095238095238093;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.1;0.5;0.0;0.0;0.0;0.0
GO:0002576;0.0;0.0;0.25;0.35294117647058826;0.1;0.0;0.4444444444444444;0.26666666666666666;0.2;0.0;0.2;0.2;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.2222222222222222;0.25;0.0;0.0;0.0;0.0;0.25;0.26666666666666666;0.23529411764705882;0.0;0.23529411764705882;0.2;0.0;0.2;0.2222222222222222;0.2222222222222222;0.0;0.0;0.25;0.0;1.0;0.0;0.0;0.2222222222222222;0.0;0.6666666666666666;0.0;0.0;0.25;0.26666666666666666;0.0;0.0;0.0;0.2222222222222222;0.0;0.11764705882352941;0.0;0.0;0.0;0.23529411764705882;0.0;0.4444444444444444;0.26666666666666666;0.23529411764705882;0.23529411764705882
GO:0000122;0.38095238095238093;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.08695652173913043;0.09523809523809523;0.0;0.0;0.0;0.2857142857142857;0.0;0.34782608695652173;0.3333333333333333;0.5263157894736842;0.3333333333333333;0.0;0.0;0.09523809523809523;0.10526315789473684;0.36363636363636365;0.0;0.1111111111111111;0.631578947368421;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.34782608695652173;0.2;0.10526315789473684;0.9166666666666666;0.0;1.0;0.42105263157894735;0.0;0.3157894736842105;0.0;0.5217391304347826;0.5;0.0;0.0;0.0;0.4;0.2857142857142857;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.1;0.4166666666666667;0.0;0.0;0.0;0.0
GO:0010718;0.625;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.1111111111111111;0.5;0.0;0.0;0.0;0.625;0.0;0.4444444444444444;0.42105263157894735;0.5714285714285714;0.6153846153846154;0.0;0.0;0.125;0.14285714285714285;0.47058823529411764;0.0;0.15384615384615385;0.5714285714285714;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.5;0.0;0.0;0.0;0.4444444444444444;0.26666666666666666;0.14285714285714285;0.42105263157894735;0.0;0.42105263157894735;1.0;0.0;0.42857142857142855;0.0;0.4444444444444444;0.5333333333333333;0.0;0.0;0.0;0.5333333333333333;0.5;0.125;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.42105263157894735;0.0;0.0;0.0;0.0
GO:0047497;0.0;0.0;0.125;0.23529411764705882;0.1;0.0;0.1111111111111111;0.13333333333333333;0.1;0.0;0.3;0.3;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.1111111111111111;0.125;0.0;0.0;0.0;0.0;0.125;0.4;0.11764705882352941;0.0;0.11764705882352941;0.3;0.0;0.1;0.1111111111111111;0.1111111111111111;0.0;0.0;0.125;0.0;0.2222222222222222;0.0;0.0;1.0;0.0;0.13333333333333333;0.0;0.0;0.125;0.13333333333333333;0.0;0.0;0.0;0.1111111111111111;0.0;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.0;0.2222222222222222;0.13333333333333333;0.11764705882352941;0.11764705882352941
GO:0034765;0.375;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.1111111111111111;0.125;0.0;0.0;0.0;0.375;0.0;0.3333333333333333;0.3157894736842105;0.42857142857142855;0.46153846153846156;0.0;0.0;0.125;0.14285714285714285;0.35294117647058826;0.0;0.15384615384615385;0.42857142857142855;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.375;0.0;0.0;0.0;0.3333333333333333;0.26666666666666666;0.14285714285714285;0.3157894736842105;0.0;0.3157894736842105;0.42857142857142855;0.0;1.0;0.0;0.2222222222222222;0.4;0.0;0.0;0.0;0.4;0.375;0.125;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.3157894736842105;0.0;0.0;0.0;0.0
GO:0016197;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.35294117647058826;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.14285714285714285;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.13333333333333333;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.14285714285714285
GO:0010951;0.4;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.09090909090909091;0.1;0.0;0.0;0.0;0.2;0.0;0.36363636363636365;0.34782608695652173;0.5555555555555556;0.23529411764705882;0.0;0.0;0.1;0.1111111111111111;0.38095238095238093;0.0;0.11764705882352941;0.5555555555555556;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.4;0.0;0.0;0.0;0.36363636363636365;0.3157894736842105;0.1111111111111111;0.43478260869565216;0.0;0.5217391304347826;0.4444444444444444;0.0;0.2222222222222222;0.0;1.0;0.5263157894736842;0.0;0.0;0.0;0.42105263157894735;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.6086956521739131;0.0;0.0;0.0;0.0
GO:0032466;0.47058823529411764;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.631578947368421;0.11764705882352941;0.0;0.0;0.0;0.35294117647058826;0.0;0.631578947368421;0.4;0.8;0.42857142857142855;0.0;0.0;0.11764705882352941;0.5333333333333333;0.6666666666666666;0.0;0.14285714285714285;0.4;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.42105263157894735;0.25;0.5333333333333333;0.4;0.0;0.5;0.5333333333333333;0.0;0.4;0.0;0.5263157894736842;1.0;0.0;0.0;0.0;0.5;0.35294117647058826;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.125;0.4;0.0;0.0;0.0;0.0
GO:1990869;0.0;0.0;0.7142857142857143;0.0;0.1111111111111111;0.0;0.0;0.3076923076923077;0.2222222222222222;0.25;0.1111111111111111;0.1111111111111111;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.25;0.2857142857142857;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.26666666666666666;0.1111111111111111;0.0;0.2222222222222222;0.25;0.25;0.0;0.0;0.2857142857142857;0.0;0.25;0.0;0.0;0.125;0.0;0.0;0.0;0.0;1.0;0.3076923076923077;0.0;0.0;0.0;0.25;0.6153846153846154;0.13333333333333333;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.3076923076923077;0.26666666666666666;0.26666666666666666
GO:0016236;0.0;0.14285714285714285;0.15384615384615385;0.0;0.11764705882352941;0.0;0.0;0.5;0.23529411764705882;0.13333333333333333;0.11764705882352941;0.11764705882352941;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.26666666666666666;0.3076923076923077;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.42857142857142855;0.11764705882352941;0.0;0.35294117647058826;0.26666666666666666;0.26666666666666666;0.0;0.0;0.3076923076923077;0.0;0.26666666666666666;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.3076923076923077;1.0;0.3333333333333333;0.0;0.0;0.26666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.3333333333333333;0.2857142857142857;0.2857142857142857
GO:0030203;0.0;0.5714285714285714;0.0;0.0;0.47058823529411764;0.0;0.0;0.5;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;1.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901491;0.8235294117647058;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.10526315789473684;0.11764705882352941;0.0;0.0;0.0;0.47058823529411764;0.0;0.3157894736842105;0.3;0.5333333333333333;0.5714285714285714;0.0;0.0;0.11764705882352941;0.13333333333333333;0.3333333333333333;0.0;0.14285714285714285;0.4;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.5263157894736842;0.25;0.13333333333333333;0.3;0.0;0.4;0.5333333333333333;0.0;0.4;0.0;0.42105263157894735;0.5;0.0;0.0;0.0;1.0;0.35294117647058826;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.125;0.3;0.0;0.0;0.0;0.0
GO:1902188;0.3333333333333333;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.1;0.4444444444444444;0.0;0.0;0.0;0.4444444444444444;0.0;0.3;0.38095238095238093;0.375;0.4;0.0;0.0;0.1111111111111111;0.125;0.3157894736842105;0.0;0.13333333333333333;0.5;0.0;0.0;0.0;0.25;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.3;0.23529411764705882;0.125;0.38095238095238093;0.0;0.2857142857142857;0.5;0.0;0.375;0.0;0.2;0.35294117647058826;0.0;0.0;0.0;0.35294117647058826;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.38095238095238093;0.0;0.0;0.0;0.0
GO:0038084;0.1111111111111111;0.0;0.125;0.0;0.1;0.1111111111111111;0.0;0.26666666666666666;0.1;0.1111111111111111;0.1;0.1;0.0;0.1111111111111111;0.13333333333333333;0.1;0.09523809523809523;0.125;0.13333333333333333;0.13333333333333333;0.0;0.1111111111111111;0.125;0.10526315789473684;0.0;0.13333333333333333;0.125;0.125;0.0;0.0;0.125;0.23529411764705882;0.1;0.1111111111111111;0.1;0.1111111111111111;0.1111111111111111;0.1;0.11764705882352941;0.125;0.09523809523809523;0.2222222222222222;0.09523809523809523;0.125;0.1111111111111111;0.125;0.0;0.1;0.11764705882352941;0.25;0.26666666666666666;0.0;0.11764705882352941;0.1111111111111111;1.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.09523809523809523;0.0;0.26666666666666666;0.11764705882352941;0.11764705882352941
GO:1904647;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006396;0.0;0.5;0.13333333333333333;0.0;0.42105263157894735;0.0;0.0;0.42857142857142855;0.10526315789473684;0.47058823529411764;0.10526315789473684;0.10526315789473684;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.5;0.10526315789473684;0.0;0.42105263157894735;0.11764705882352941;0.11764705882352941;0.0;0.0;0.13333333333333333;0.0;0.11764705882352941;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.5714285714285714;0.0;0.0;0.11764705882352941;0.0;1.0;0.0;0.0;0.0;0.125;0.0;0.0;0.14285714285714285;0.125;0.125
GO:0035050;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.18181818181818182;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.18181818181818182;0.15384615384615385;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;1.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;1.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0070098;0.11764705882352941;0.0;0.13333333333333333;0.0;0.10526315789473684;0.11764705882352941;0.0;0.2857142857142857;0.10526315789473684;0.11764705882352941;0.10526315789473684;0.10526315789473684;0.0;0.11764705882352941;0.14285714285714285;0.10526315789473684;0.1;0.13333333333333333;0.14285714285714285;0.14285714285714285;0.0;0.11764705882352941;0.13333333333333333;0.1111111111111111;0.0;0.14285714285714285;0.13333333333333333;0.13333333333333333;0.0;0.0;0.13333333333333333;0.25;0.10526315789473684;0.11764705882352941;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.10526315789473684;0.125;0.13333333333333333;0.1;0.23529411764705882;0.1;0.13333333333333333;0.11764705882352941;0.13333333333333333;0.0;0.10526315789473684;0.125;0.26666666666666666;0.2857142857142857;0.0;0.125;0.11764705882352941;0.11764705882352941;0.0;0.125;0.0;0.0;0.0;1.0;0.1;0.0;0.2857142857142857;0.125;0.125
GO:0070374;0.2857142857142857;0.0;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.08695652173913043;0.47619047619047616;0.0;0.0;0.0;0.38095238095238093;0.0;0.34782608695652173;0.75;0.42105263157894735;0.3333333333333333;0.0;0.0;0.09523809523809523;0.10526315789473684;0.36363636363636365;0.0;0.1111111111111111;0.631578947368421;0.0;0.0;0.0;0.631578947368421;0.0;0.0;0.7619047619047619;0.0;0.0;0.0;0.2608695652173913;0.2;0.10526315789473684;0.5;0.0;0.4166666666666667;0.42105263157894735;0.0;0.3157894736842105;0.0;0.6086956521739131;0.4;0.0;0.0;0.0;0.3;0.38095238095238093;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.1;1.0;0.0;0.0;0.0;0.0
GO:0035725;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.5882352941176471;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.2222222222222222;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.23529411764705882
GO:0030199;0.0;0.0;0.15384615384615385;0.0;0.11764705882352941;0.0;0.0;0.3333333333333333;0.23529411764705882;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.26666666666666666;0.3076923076923077;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.2857142857142857;0.11764705882352941;0.0;0.23529411764705882;0.26666666666666666;0.26666666666666666;0.0;0.0;0.3076923076923077;0.0;0.26666666666666666;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.3076923076923077;0.3333333333333333;0.0;0.0;0.0;0.26666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;1.0;0.42857142857142855;0.2857142857142857
GO:0036258;0.0;0.0;0.13333333333333333;0.0;0.10526315789473684;0.0;0.0;0.2857142857142857;0.10526315789473684;0.0;0.10526315789473684;0.10526315789473684;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.25;0.10526315789473684;0.0;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.0;0.0;0.13333333333333333;0.0;0.23529411764705882;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.26666666666666666;0.2857142857142857;0.0;0.0;0.0;0.11764705882352941;0.0;0.125;0.0;0.0;0.0;0.125;0.0;0.0;0.42857142857142855;1.0;0.125
GO:0007080;0.0;0.0;0.13333333333333333;0.25;0.10526315789473684;0.0;0.11764705882352941;0.2857142857142857;0.10526315789473684;0.0;0.3157894736842105;0.3157894736842105;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.42857142857142855;0.125;0.0;0.25;0.3157894736842105;0.0;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.0;0.0;0.13333333333333333;0.0;0.23529411764705882;0.0;0.0;0.11764705882352941;0.0;0.14285714285714285;0.0;0.0;0.26666666666666666;0.2857142857142857;0.0;0.0;0.0;0.11764705882352941;0.0;0.125;0.0;0.0;0.0;0.125;0.0;0.23529411764705882;0.2857142857142857;0.125;1.0
